latitude,longitude,brightness,acq_date,acq_time,daynight,type
51.4868,6.7103,307.1,2007-01-01,2113,N,2
51.3638,6.7057,301.9,2007-01-01,2113,N,2
51.4915,6.7395,302.8,2007-01-01,2113,N,2
52.1523,10.3991,310.8,2007-01-01,2113,N,2
51.4878,6.7199,312.4,2007-01-03,202,N,2
51.4813,6.722,306.1,2007-01-04,1032,D,2
51.4837,6.7142,313.0,2007-01-10,2107,N,2
51.368,6.7056,315.6,2007-01-10,2107,N,2
52.1572,10.4116,304.1,2007-01-11,113,N,2
51.4844,6.7093,302.4,2007-01-12,156,N,2
51.4975,6.7456,303.1,2007-01-12,156,N,2
51.4848,6.7269,320.1,2007-01-14,1109,D,2
52.151,10.3961,300.7,2007-01-14,2042,N,2
51.4868,6.7188,300.2,2007-01-15,227,N,2
51.4889,6.7277,302.0,2007-01-15,227,N,2
52.1494,10.3973,308.7,2007-01-15,1200,D,2
51.4811,6.73,303.1,2007-01-15,1200,D,2
51.4891,6.7183,314.0,2007-01-15,2125,N,2
52.1565,10.4047,319.2,2007-01-16,131,N,2
52.1585,10.4063,306.1,2007-01-21,150,N,2
51.3645,6.7116,307.7,2007-01-21,150,N,2
51.4893,6.7142,306.8,2007-01-21,2049,N,2
52.1529,10.4037,308.5,2007-01-22,2131,N,2
51.4895,6.7452,301.7,2007-01-23,138,N,2
52.1761,10.426,308.0,2007-01-23,138,N,2
52.1783,10.4116,300.7,2007-01-23,138,N,0
51.3647,6.7019,308.8,2007-01-24,2119,N,2
51.4879,6.7167,307.6,2007-01-24,2119,N,2
52.1491,10.3976,305.6,2007-01-27,1225,D,2
51.4877,6.7101,300.9,2007-01-31,1014,D,0
52.155,10.404,301.6,2007-01-31,1200,D,2
51.4828,6.7252,308.6,2007-02-03,1045,D,2
49.3537,6.7521,301.9,2007-02-03,1045,D,2
49.0452,8.2825,304.8,2007-02-03,1045,D,0
49.0499,8.2903,315.5,2007-02-03,1045,D,0
51.485,6.7111,311.7,2007-02-03,1045,D,2
49.3518,6.7364,310.3,2007-02-03,1230,D,2
51.488,6.717,303.0,2007-02-04,2101,N,2
51.4913,6.7345,305.5,2007-02-04,2101,N,2
51.4846,6.7182,304.4,2007-02-05,2144,N,2
52.151,10.3933,300.0,2007-02-06,2049,N,2
51.4853,6.7125,301.5,2007-02-07,1206,D,2
51.3674,6.7074,313.1,2007-02-07,2131,N,2
51.4923,6.7409,306.5,2007-02-07,2131,N,2
52.1525,10.4047,300.3,2007-02-12,113,N,2
51.3667,6.7031,307.0,2007-02-12,1225,D,2
51.4863,6.7289,301.5,2007-02-16,227,N,2
52.1538,10.3993,312.2,2007-02-16,1014,D,2
48.366,13.3025,323.6,2007-02-16,1159,D,0
48.3639,13.2891,300.9,2007-02-16,1159,D,0
51.4839,6.71,301.6,2007-02-16,1200,D,2
51.4869,6.7188,302.0,2007-02-18,215,N,2
51.3644,6.7109,300.9,2007-02-20,2101,N,2
51.4908,6.7129,302.9,2007-02-20,2101,N,2
51.4812,6.7178,318.2,2007-02-20,2101,N,2
51.3646,6.7006,302.6,2007-02-21,1033,D,2
51.3627,6.716,306.8,2007-02-21,1033,D,2
48.4759,10.3573,307.8,2007-02-21,1218,D,0
49.2417,6.848,300.9,2007-02-21,1218,D,2
51.367,6.7149,300.5,2007-02-24,138,N,2
51.3598,6.699,303.5,2007-03-01,1308,D,2
51.3667,6.7056,310.1,2007-03-05,1057,D,2
51.4804,6.7223,306.6,2007-03-07,2156,N,2
52.1544,10.4021,303.6,2007-03-08,203,N,2
51.3631,6.7158,300.7,2007-03-08,2101,N,2
51.4896,6.7179,303.1,2007-03-08,2101,N,2
52.157,14.6472,300.3,2007-03-09,1032,D,0
51.4885,6.7324,302.9,2007-03-09,2144,N,2
51.3678,6.7146,300.6,2007-03-09,2144,N,2
51.4866,6.7129,309.0,2007-03-09,2144,N,2
51.494,6.7386,311.3,2007-03-10,151,N,2
51.3682,6.7081,304.4,2007-03-10,151,N,2
