latitude,longitude,brightness,acq_date,acq_time,daynight,type
13.264,144.7223,319.8,2007-02-03,406,D,0
13.2962,144.7421,315.3,2007-03-22,323,D,0
13.334,144.7351,314.5,2007-03-22,323,D,0
13.3307,144.7161,315.6,2007-03-22,323,D,0
13.4407,144.7354,321.8,2007-03-25,354,D,0
13.4249,144.7516,321.6,2007-04-14,329,D,0
13.2707,144.6987,317.5,2007-04-15,412,D,0
13.273,144.717,326.0,2007-04-15,412,D,0
13.2769,144.709,327.1,2007-04-15,412,D,0
13.544,144.8152,319.0,2007-04-19,347,D,0
13.2929,144.7246,322.8,2007-06-13,353,D,0
13.302,144.7232,324.4,2007-06-13,353,D,0
