latitude,longitude,brightness,acq_date,acq_time,daynight,type
48.3057,57.3873,315.4,2007-01-06,703,D,2
48.3039,57.4026,320.8,2007-01-06,703,D,2
46.1559,53.4112,308.7,2007-01-13,710,D,2
48.3077,57.3959,330.2,2007-01-13,1819,N,2
46.1609,53.4152,300.5,2007-01-18,1837,N,2
46.1635,53.4084,314.5,2007-01-18,2246,N,0
46.1611,53.4222,327.5,2007-01-18,2246,N,2
46.1572,53.4096,307.4,2007-01-20,716,D,2
46.1496,53.4064,300.9,2007-01-20,859,D,2
46.1614,53.4117,304.7,2007-01-20,1824,N,2
48.3245,57.4325,346.2,2007-01-20,1825,N,2
48.3087,57.3792,301.2,2007-01-20,1825,N,2
48.3105,57.3979,326.9,2007-01-20,1825,N,2
48.3277,57.4361,353.4,2007-01-20,2233,N,2
48.3252,57.4505,303.5,2007-01-20,2233,N,2
48.2399,57.3491,303.0,2007-01-20,2233,N,2
48.3144,57.4007,326.7,2007-01-20,2233,N,2
48.3105,57.3919,317.8,2007-01-20,2233,N,2
48.308,57.4063,323.6,2007-01-20,2233,N,2
46.153,53.402,307.3,2007-01-23,930,D,2
46.1547,53.4149,307.7,2007-01-23,930,D,2
48.3287,57.4339,316.6,2007-01-23,2304,N,2
48.3213,57.464,304.3,2007-01-23,2304,N,2
48.3105,57.3913,303.5,2007-01-23,2304,N,2
48.3031,57.4213,302.5,2007-01-23,2304,N,2
45.9504,65.7266,300.8,2007-01-24,1800,N,2
45.9537,65.7186,303.8,2007-01-26,1747,N,2
45.9491,65.7319,303.3,2007-01-26,2157,N,2
42.9659,71.2634,301.5,2007-01-28,628,D,0
42.9256,71.2436,300.9,2007-01-28,628,D,0
42.8715,71.2693,319.6,2007-01-28,628,D,0
42.9634,71.2771,300.2,2007-01-28,628,D,0
45.9574,65.7241,300.2,2007-01-28,2145,N,2
45.9555,65.7368,306.7,2007-01-28,2145,N,2
42.9869,70.6013,324.2,2007-01-29,852,D,0
48.3276,57.4241,328.3,2007-01-29,1819,N,2
48.3047,57.3971,329.6,2007-01-29,1819,N,2
48.3293,57.4403,335.5,2007-01-29,1819,N,2
48.3268,57.4394,341.8,2007-01-29,2227,N,2
42.9998,71.2285,307.6,2007-01-30,615,D,0
40.885,68.0928,304.6,2007-01-30,616,D,0
40.653,68.4995,300.6,2007-01-31,659,D,0
40.6565,68.4942,300.3,2007-01-31,659,D,0
40.9907,68.5666,300.9,2007-01-31,659,D,0
41.3649,68.029,308.2,2007-01-31,839,D,0
41.3726,68.0205,304.6,2007-01-31,839,D,0
41.3543,68.0189,310.7,2007-01-31,839,D,0
40.9426,68.5991,301.6,2007-01-31,839,D,0
40.941,68.5867,300.9,2007-01-31,839,D,0
40.9817,68.5593,318.8,2007-01-31,839,D,0
40.603,68.5984,301.1,2007-01-31,839,D,0
40.6287,68.5994,304.6,2007-01-31,839,D,0
40.6162,68.5014,315.2,2007-01-31,839,D,0
40.6378,68.5974,318.2,2007-01-31,839,D,0
40.6978,68.489,309.1,2007-01-31,839,D,0
41.04,68.1476,324.6,2007-01-31,839,D,0
41.0384,68.1354,318.7,2007-01-31,839,D,0
40.9583,68.4304,303.0,2007-01-31,839,D,0
41.4104,68.0242,307.3,2007-01-31,839,D,0
41.317,69.0377,303.6,2007-01-31,839,D,0
40.9599,68.4427,332.5,2007-01-31,839,D,0
43.0541,71.1728,307.3,2007-01-31,840,D,0
43.0018,75.5007,300.4,2007-01-31,1627,N,0
43.0086,75.5135,311.8,2007-01-31,2038,N,0
43.0104,75.4934,306.2,2007-01-31,2038,N,0
45.9535,65.7308,304.9,2007-02-01,602,D,2
42.9913,74.9132,302.1,2007-02-01,603,D,0
43.0007,75.5061,302.9,2007-02-01,603,D,0
42.9963,75.8258,307.6,2007-02-01,603,D,0
42.9943,75.8387,318.8,2007-02-01,603,D,0
43.0287,75.5645,313.0,2007-02-01,603,D,0
43.0198,75.5621,312.6,2007-02-01,603,D,0
40.9708,68.1646,315.7,2007-02-01,604,D,0
43.6822,78.2118,300.2,2007-02-01,744,D,0
42.9862,75.8311,303.9,2007-02-01,744,D,0
42.9961,75.8287,325.6,2007-02-01,744,D,0
43.019,75.5551,312.1,2007-02-01,744,D,0
44.1712,69.9547,321.3,2007-02-01,745,D,0
44.1797,69.9467,326.7,2007-02-01,745,D,0
44.1839,69.9489,313.5,2007-02-01,745,D,0
40.9548,68.5574,300.7,2007-02-01,922,D,0
40.9583,68.5521,301.9,2007-02-01,922,D,0
50.0406,73.0192,306.3,2007-02-01,2119,N,2
45.9484,65.7211,301.4,2007-02-02,645,D,2
44.8947,65.3986,306.2,2007-02-02,828,D,0
45.9482,65.7215,304.6,2007-02-02,828,D,2
45.0668,64.4732,313.8,2007-02-03,911,D,0
48.3251,57.4377,329.8,2007-02-03,2246,N,2
48.312,57.3925,311.6,2007-02-03,2246,N,2
48.3082,57.4109,315.3,2007-02-03,2246,N,2
46.5649,49.0688,300.6,2007-02-04,955,D,0
46.4734,75.3868,311.2,2007-02-05,721,D,0
41.1351,68.8383,313.4,2007-02-05,858,D,0
41.1332,68.8174,304.1,2007-02-05,858,D,0
