latitude,longitude,brightness,acq_date,acq_time,daynight,type
37.9904,-8.8151,308.2,2007-01-04,249,N,0
38.268,-8.671,302.3,2007-01-18,1406,D,0
32.7149,-17.1107,316.4,2007-01-20,251,N,0
32.7148,-17.1037,308.7,2007-01-20,251,N,0
32.7163,-17.1168,306.6,2007-01-20,251,N,0
38.2691,-8.6692,300.1,2007-01-21,1119,D,0
40.4834,-8.281,351.6,2007-01-26,2242,N,0
40.4849,-8.2685,317.7,2007-01-26,2242,N,0
41.5628,-8.0878,303.4,2007-01-28,1125,D,0
41.8982,-8.2336,304.3,2007-01-28,2231,N,0
41.7522,-8.3218,300.1,2007-02-02,1143,D,0
37.9879,-8.819,303.7,2007-02-17,1101,D,0
41.4982,-7.4009,307.1,2007-02-18,1324,D,0
39.4749,-7.8903,312.8,2007-03-08,1132,D,0
38.2896,-8.3681,300.6,2007-03-08,1132,D,0
38.0093,-8.2317,302.2,2007-03-08,1132,D,0
39.4838,-7.888,306.5,2007-03-08,1132,D,0
37.8624,-8.5384,302.0,2007-03-08,1132,D,0
40.4633,-7.492,301.9,2007-03-10,1119,D,0
37.8286,-8.5066,304.9,2007-03-10,1120,D,0
32.6712,-16.971,315.6,2007-03-10,1436,D,0
32.672,-16.9656,313.7,2007-03-10,1436,D,0
41.9975,-8.2373,313.9,2007-03-11,1201,D,0
42.0574,-8.2506,324.8,2007-03-11,1201,D,0
42.0023,-8.2594,336.8,2007-03-11,1201,D,0
42.0138,-8.2551,313.3,2007-03-11,1201,D,0
42.0518,-8.2573,327.3,2007-03-11,1201,D,0
41.7528,-8.1821,311.3,2007-03-11,1202,D,0
41.757,-8.1748,314.3,2007-03-11,1202,D,0
40.8877,-7.9086,306.6,2007-03-11,1342,D,0
40.334,-6.9298,318.3,2007-03-11,1342,D,0
40.3355,-6.9176,310.1,2007-03-11,1342,D,0
40.3282,-6.9229,343.9,2007-03-11,1342,D,0
39.6921,-7.4229,307.0,2007-03-11,1342,D,0
40.8787,-7.9066,303.1,2007-03-11,1342,D,0
41.7535,-8.1782,328.7,2007-03-11,1343,D,0
42.0107,-8.2468,309.6,2007-03-11,1343,D,0
42.0091,-8.2589,338.0,2007-03-11,1343,D,0
42.0002,-8.2565,311.4,2007-03-11,1343,D,0
42.0467,-8.2546,324.0,2007-03-11,1343,D,0
42.0556,-8.2568,316.5,2007-03-11,1343,D,0
41.9276,-6.8942,312.0,2007-03-11,1343,D,0
41.7519,-8.19,307.7,2007-03-11,1343,D,0
41.4429,-7.6741,303.2,2007-03-13,1149,D,0
38.1785,-8.7133,304.3,2007-03-13,1150,D,0
38.1816,-8.7292,304.8,2007-03-13,1150,D,0
40.564,-7.8368,306.8,2007-03-13,1330,D,0
41.8199,-8.0142,300.1,2007-03-14,1054,D,0
38.8829,-8.3106,308.0,2007-03-14,1055,D,0
41.8127,-8.0308,302.8,2007-03-14,1413,D,0
41.3099,-7.8217,306.1,2007-03-15,212,N,0
41.3101,-7.8157,302.7,2007-03-15,212,N,0
41.8676,-7.7469,304.2,2007-03-15,1137,D,0
41.3051,-7.8227,325.4,2007-03-15,1137,D,0
41.3071,-7.8349,306.9,2007-03-15,1137,D,0
41.4517,-8.4471,306.2,2007-03-15,1137,D,0
38.7805,-8.5753,308.9,2007-03-15,1138,D,0
38.1339,-8.3091,311.0,2007-03-15,1138,D,0
39.4103,-7.4108,303.7,2007-03-15,1138,D,0
38.2635,-8.761,310.9,2007-03-15,1138,D,0
38.6283,-8.49,307.2,2007-03-15,1138,D,0
38.2615,-8.7491,318.4,2007-03-15,1138,D,0
38.1799,-8.3164,304.9,2007-03-15,1138,D,0
39.0892,-8.8552,308.1,2007-03-15,1317,D,0
41.3052,-7.8323,319.8,2007-03-15,1318,D,0
41.8704,-7.7561,307.5,2007-03-15,1318,D,0
40.0567,-8.419,304.3,2007-03-15,1318,D,0
40.986,-7.9795,302.2,2007-03-15,1318,D,0
41.8708,-7.7388,308.8,2007-03-15,2243,N,0
41.8693,-7.752,306.3,2007-03-15,2243,N,0
41.8788,-7.754,319.3,2007-03-15,2243,N,0
41.8803,-7.7407,326.0,2007-03-15,2243,N,0
38.7815,-8.5744,311.8,2007-03-16,1400,D,0
38.7839,-8.568,310.0,2007-03-16,1400,D,0
41.8896,-6.7572,338.7,2007-03-16,1401,D,0
41.0197,-8.1057,309.0,2007-03-16,1401,D,0
41.7743,-8.3218,304.9,2007-03-16,1401,D,0
41.8878,-6.78,369.5,2007-03-16,1401,D,0
41.0244,-8.0952,304.1,2007-03-16,1401,D,0
40.4674,-7.1974,305.4,2007-03-17,1125,D,0
