latitude,longitude,brightness,acq_date,acq_time,daynight,type
44.2767,22.4467,306.2,2007-01-08,1151,D,0
45.4308,19.9781,303.1,2007-01-10,1139,D,0
44.0848,22.1065,306.6,2007-01-10,2104,N,0
44.0826,22.1001,308.5,2007-01-10,2104,N,0
44.6966,21.1636,312.4,2007-01-11,1044,D,0
44.6895,21.1747,314.3,2007-01-11,1044,D,0
43.8097,22.0261,305.2,2007-01-11,1222,D,0
45.2108,19.787,302.2,2007-01-13,1210,D,0
45.209,19.7653,314.0,2007-01-13,1210,D,0
44.5931,20.9761,321.6,2007-01-14,932,D,2
44.2291,22.6111,308.5,2007-01-14,933,D,0
44.8082,20.0143,302.6,2007-01-14,1115,D,0
44.8041,19.9943,305.2,2007-01-14,1115,D,0
46.1114,19.9694,309.7,2007-01-15,1158,D,0
44.0836,22.1162,302.6,2007-01-16,920,D,0
44.0853,22.1017,315.9,2007-01-16,920,D,0
45.1409,21.3208,300.7,2007-01-16,920,D,0
43.2332,22.8083,301.1,2007-01-16,1102,D,0
43.6903,22.2977,300.4,2007-01-16,1102,D,0
44.0058,22.1466,309.6,2007-01-17,1145,D,0
44.6043,22.5678,302.3,2007-01-17,1145,D,0
44.3004,22.5134,304.4,2007-01-17,1145,D,0
44.6139,22.5657,328.4,2007-01-17,1145,D,0
43.7413,22.0026,300.4,2007-01-17,1145,D,0
44.6123,22.5512,303.2,2007-01-17,1145,D,0
44.0667,21.5854,306.3,2007-01-17,1145,D,0
44.0575,21.5877,301.6,2007-01-17,1145,D,0
44.2946,22.5243,306.6,2007-01-18,1050,D,0
44.2906,22.5302,306.1,2007-01-18,1050,D,0
43.4303,21.5605,305.1,2007-01-19,951,D,0
43.0525,22.8033,300.2,2007-01-19,951,D,0
43.0938,21.484,302.5,2007-01-19,1133,D,0
43.1027,21.0659,300.7,2007-01-19,1133,D,0
43.0246,21.8749,354.4,2007-01-19,1133,D,0
43.0265,21.8871,309.6,2007-01-19,1133,D,0
43.0335,21.8724,330.8,2007-01-19,1133,D,0
43.1008,21.0534,308.5,2007-01-19,1133,D,0
42.8209,22.3079,302.5,2007-01-21,1120,D,0
42.8601,21.3815,306.4,2007-01-21,1121,D,0
43.0017,21.4182,301.8,2007-01-21,1121,D,0
43.6603,21.944,306.5,2007-01-21,1121,D,0
44.6906,20.4247,304.2,2007-01-21,1121,D,0
42.7999,21.4205,301.2,2007-01-22,1203,D,0
42.8707,21.4488,306.5,2007-01-22,1203,D,0
42.8705,21.4408,308.0,2007-01-22,1203,D,0
44.1959,22.5541,317.1,2007-01-26,1139,D,0
45.7933,19.2584,301.5,2007-01-29,1210,D,0
45.4938,20.2241,306.8,2007-01-30,2040,N,0
46.1505,19.9017,308.4,2007-01-31,1158,D,0
45.2818,20.6205,302.8,2007-01-31,1158,D,0
43.4696,21.6223,300.1,2007-01-31,1158,D,0
45.9054,19.1317,315.6,2007-01-31,1158,D,0
45.9071,19.1467,302.1,2007-01-31,1158,D,0
43.1073,21.8565,308.5,2007-02-01,921,D,0
43.109,21.8424,319.4,2007-02-01,921,D,0
43.1041,21.8492,318.3,2007-02-01,921,D,0
46.0763,20.0531,308.0,2007-02-01,1103,D,0
46.0885,20.0471,306.3,2007-02-01,1103,D,0
45.4528,19.367,304.0,2007-02-02,1146,D,0
45.4833,20.1999,309.5,2007-02-02,1146,D,0
45.6507,20.3522,309.0,2007-02-02,1146,D,0
45.3975,20.3241,301.5,2007-02-02,1146,D,0
45.7063,20.1408,304.8,2007-02-02,1146,D,0
45.7973,19.249,300.5,2007-02-02,1146,D,0
45.0614,21.0666,305.5,2007-02-02,1146,D,0
45.4511,19.3543,304.2,2007-02-02,1146,D,0
45.8385,19.086,301.4,2007-02-02,1146,D,0
45.6597,20.3498,308.1,2007-02-02,1146,D,0
45.5885,20.2336,304.1,2007-02-02,1146,D,0
45.6195,19.3651,309.9,2007-02-02,1146,D,0
45.8752,18.9493,300.1,2007-02-02,1146,D,0
45.485,20.2129,303.2,2007-02-02,1146,D,0
45.3621,20.7592,302.9,2007-02-02,1146,D,0
44.5125,22.5299,304.3,2007-02-02,1146,D,0
45.8679,18.9295,313.5,2007-02-04,951,D,0
45.8768,18.9323,303.5,2007-02-04,951,D,0
45.7149,19.2152,327.9,2007-02-04,1134,D,0
45.5756,19.0631,302.7,2007-02-05,1217,D,0
45.8742,18.9513,305.0,2007-02-05,1217,D,0
45.5692,19.0469,306.6,2007-02-05,1217,D,0
45.4027,19.2339,304.6,2007-02-05,1217,D,0
46.1303,19.8691,305.1,2007-02-06,938,D,0
43.9139,22.3258,301.2,2007-02-06,1121,D,0
43.9713,22.344,320.5,2007-02-06,1121,D,0
43.9689,22.3301,307.3,2007-02-06,1121,D,0
45.0198,20.4986,302.0,2007-02-07,1021,D,0
45.3092,20.7297,312.1,2007-02-07,1021,D,0
45.3017,20.7606,315.0,2007-02-07,1021,D,0
44.8512,20.1314,318.2,2007-02-07,1022,D,0
45.5865,20.2627,317.4,2007-02-07,1204,D,0
45.3004,20.7437,319.0,2007-02-07,1204,D,0
45.2032,21.1891,307.0,2007-02-07,1204,D,0
45.252,20.6838,307.8,2007-02-08,926,D,0
44.0827,22.1128,305.1,2007-02-08,1109,D,0
45.38,20.8529,309.1,2007-02-08,1109,D,0
45.285,20.347,302.5,2007-02-08,2034,N,0
45.2956,20.3569,317.4,2007-02-08,2034,N,0
45.2831,20.3344,303.5,2007-02-08,2034,N,0
44.0547,22.5311,310.8,2007-02-09,45,N,0
45.0025,21.2561,314.6,2007-02-09,1009,D,0
