latitude,longitude,brightness,acq_date,acq_time,daynight,type
-9.4518,160.2713,314.2,2007-01-05,251,D,0
-9.4496,160.2672,312.8,2007-01-13,2354,D,0
-9.4405,160.1821,321.1,2007-03-17,258,D,0
-9.4443,160.2792,314.3,2007-04-25,304,D,0
-9.4457,160.2698,316.1,2007-04-25,304,D,0
-9.4429,160.2769,312.5,2007-04-28,2348,D,0
-9.4367,160.0513,324.1,2007-05-06,246,D,0
-9.4384,160.0388,314.5,2007-05-06,246,D,0
-9.4482,160.2719,312.9,2007-05-09,316,D,0
-9.443,160.272,310.1,2007-05-29,252,D,0
-9.3092,159.762,312.4,2007-06-19,310,D,0
-9.434,160.2351,315.6,2007-06-21,258,D,0
-9.4786,160.1775,317.9,2007-10-29,245,D,0
-9.5398,160.274,318.4,2007-12-07,0,D,0
