latitude,longitude,brightness,acq_date,acq_time,daynight,type
36.8817,6.9463,321.3,2008-01-01,147,N,2
36.8791,6.9604,305.1,2008-01-01,147,N,2
31.6578,6.0592,328.5,2008-01-01,1249,D,2
31.6683,6.0577,331.6,2008-01-01,2215,N,2
31.6662,6.034,307.2,2008-01-01,2215,N,2
36.8797,6.9413,304.5,2008-01-02,1018,D,2
36.788,7.7019,301.8,2008-01-02,1018,D,2
36.8782,6.9532,301.1,2008-01-02,1018,D,2
27.67,9.8736,308.2,2008-01-02,1020,D,0
27.7657,9.1911,308.0,2008-01-02,1020,D,2
27.7525,9.1528,308.3,2008-01-02,1020,D,2
28.9236,9.7461,330.6,2008-01-02,2119,N,2
28.0755,9.7853,309.6,2008-01-02,2119,N,0
28.6306,9.7837,305.2,2008-01-02,2119,N,2
28.3163,9.6883,300.2,2008-01-02,2119,N,0
28.6404,9.7815,306.0,2008-01-02,2119,N,2
31.6623,6.0538,302.0,2008-01-02,2120,N,2
30.965,5.7551,300.7,2008-01-02,2120,N,2
31.0191,8.1645,351.3,2008-01-03,136,N,2
31.6648,6.0711,306.5,2008-01-03,136,N,2
31.0167,8.1779,327.2,2008-01-03,136,N,2
31.6966,5.8097,305.1,2008-01-03,136,N,2
31.6665,6.0602,318.5,2008-01-03,136,N,2
28.9273,9.7548,312.7,2008-01-03,137,N,2
28.6409,9.7956,312.0,2008-01-03,137,N,2
28.0831,9.7953,305.1,2008-01-03,137,N,0
30.9737,5.762,313.6,2008-01-03,137,N,2
27.7647,9.1914,317.9,2008-01-03,1236,D,2
29.7557,6.7418,301.6,2008-01-03,2202,N,2
28.6369,9.7931,305.8,2008-01-03,2202,N,2
28.9171,9.7435,310.2,2008-01-03,2202,N,2
31.0122,8.1656,312.3,2008-01-03,2203,N,2
28.9205,9.7492,300.4,2008-01-04,42,N,2
28.6369,9.7941,309.2,2008-01-04,42,N,2
27.7628,9.1965,315.9,2008-01-04,1008,D,2
28.9099,9.7454,317.0,2008-01-04,1319,D,2
28.9159,9.74,322.6,2008-01-04,1319,D,2
28.9181,9.7546,301.5,2008-01-04,2107,N,2
30.9686,5.7592,310.9,2008-01-05,124,N,2
31.6624,6.0677,309.5,2008-01-05,124,N,2
28.64,9.7936,326.1,2008-01-05,125,N,2
28.9161,9.7478,335.5,2008-01-05,125,N,2
28.9141,9.7596,308.9,2008-01-05,125,N,2
28.642,9.7816,308.0,2008-01-05,125,N,2
35.8131,-0.2695,328.5,2008-01-05,1049,D,2
31.6659,6.0604,320.2,2008-01-05,1050,D,2
28.9208,9.747,313.0,2008-01-05,1051,D,2
36.869,6.9382,302.8,2008-01-05,1226,D,2
28.6325,9.7834,310.6,2008-01-05,2150,N,2
30.9705,5.7528,321.7,2008-01-05,2150,N,2
29.7498,6.7351,301.5,2008-01-05,2150,N,2
28.9182,9.7471,317.0,2008-01-05,2150,N,2
28.6431,9.7819,308.5,2008-01-05,2150,N,2
28.6371,9.777,312.4,2008-01-05,2150,N,2
31.013,8.1608,301.3,2008-01-05,2150,N,2
28.6387,9.7914,313.2,2008-01-05,2150,N,2
31.8497,5.0541,305.5,2008-01-05,2151,N,0
31.6653,6.0641,320.2,2008-01-05,2151,N,2
31.6638,6.0532,317.9,2008-01-05,2151,N,2
31.8005,6.0493,302.2,2008-01-05,2151,N,2
28.9199,9.7472,307.2,2008-01-06,956,D,2
35.8043,-0.2584,301.5,2008-01-06,1309,D,2
36.874,6.9391,312.2,2008-01-06,1309,D,2
35.8115,-0.2714,308.6,2008-01-06,1309,D,2
28.6376,9.7728,302.6,2008-01-06,2055,N,2
28.6393,9.7791,305.9,2008-01-06,2055,N,2
36.8829,6.9419,304.9,2008-01-07,110,N,2
36.8811,6.9587,302.6,2008-01-07,110,N,2
31.6678,6.0713,309.6,2008-01-07,112,N,2
28.9183,9.7538,304.6,2008-01-07,112,N,2
31.6695,6.0562,300.5,2008-01-07,112,N,2
28.9287,9.7453,300.2,2008-01-07,112,N,2
28.9198,9.7437,300.4,2008-01-07,112,N,2
27.9325,9.1126,332.7,2008-01-07,113,N,0
28.6452,9.789,313.4,2008-01-07,113,N,2
27.7641,9.1943,303.0,2008-01-07,113,N,2
28.6363,9.7873,331.6,2008-01-07,113,N,2
27.9339,9.1024,310.5,2008-01-07,113,N,0
36.8712,6.9453,303.9,2008-01-07,1214,D,2
31.6604,6.0655,317.0,2008-01-07,2138,N,2
31.797,6.0575,305.7,2008-01-07,2138,N,2
31.6587,6.0545,314.9,2008-01-07,2138,N,2
31.6678,6.0525,306.2,2008-01-07,2138,N,2
