latitude,longitude,brightness,acq_date,acq_time,daynight,type
15.0078,-90.0028,309.2,2008-01-01,1616,D,0
14.033,-90.6931,314.9,2008-01-01,1617,D,0
14.0546,-90.9757,333.8,2008-01-01,1617,D,0
14.3375,-91.2695,318.9,2008-01-01,1617,D,0
14.0672,-90.9742,333.3,2008-01-01,1617,D,0
14.2245,-90.9797,323.2,2008-01-01,1617,D,0
14.2222,-90.9605,323.1,2008-01-01,1617,D,0
14.2217,-90.9675,328.0,2008-01-01,1617,D,0
14.3359,-91.2638,322.8,2008-01-01,1617,D,0
14.7368,-91.5713,313.5,2008-01-01,1920,D,2
14.029,-90.9336,318.5,2008-01-02,1700,D,0
14.3463,-91.3036,314.6,2008-01-02,1700,D,0
14.0688,-90.5552,319.4,2008-01-02,1700,D,0
14.108,-90.8548,315.6,2008-01-02,1700,D,0
14.1968,-90.8334,322.0,2008-01-02,1700,D,0
14.1996,-90.9283,317.7,2008-01-02,1700,D,0
13.9569,-90.571,315.8,2008-01-02,1700,D,0
14.2966,-90.9445,313.2,2008-01-02,1700,D,0
13.9882,-90.7605,317.3,2008-01-02,1700,D,0
13.989,-90.7668,315.4,2008-01-02,1700,D,0
14.2453,-91.1873,314.8,2008-01-02,1700,D,0
14.2028,-90.9361,318.4,2008-01-02,1700,D,0
14.3427,-91.31,314.2,2008-01-02,1700,D,0
14.1032,-90.9738,315.4,2008-01-02,2003,D,0
14.1045,-90.9688,321.6,2008-01-02,2003,D,0
14.1194,-90.9706,316.0,2008-01-02,2003,D,0
14.118,-90.9756,319.9,2008-01-02,2003,D,0
14.0613,-90.7794,300.5,2008-01-03,351,N,0
14.2378,-91.1537,306.2,2008-01-03,351,N,0
14.253,-91.1566,320.6,2008-01-03,351,N,0
14.2258,-91.1459,310.7,2008-01-03,351,N,0
14.2875,-90.7171,302.2,2008-01-03,351,N,0
14.2227,-91.1508,308.2,2008-01-03,351,N,0
14.2348,-91.1484,303.4,2008-01-03,816,N,0
14.1621,-90.8151,324.6,2008-01-03,816,N,0
14.2281,-91.1444,310.2,2008-01-03,816,N,0
14.2145,-91.1469,306.1,2008-01-03,816,N,0
14.2212,-91.151,312.7,2008-01-03,816,N,0
14.1527,-90.8115,313.6,2008-01-03,816,N,0
14.1668,-90.8091,309.8,2008-01-03,816,N,0
14.1938,-91.1559,306.3,2008-01-03,816,N,0
14.115,-90.7461,328.1,2008-01-03,1908,D,0
14.1177,-90.7299,334.9,2008-01-03,1908,D,0
14.1061,-90.7279,328.2,2008-01-03,1908,D,0
