latitude,longitude,brightness,acq_date,acq_time,daynight,type
22.3867,113.9587,312.2,2008-01-01,1820,N,0
22.3977,113.9497,306.9,2008-01-01,1820,N,0
22.3884,113.9478,315.8,2008-01-01,1820,N,0
22.3934,113.9328,331.8,2008-01-02,1442,N,0
22.3745,113.9324,303.8,2008-01-02,1442,N,0
22.4834,114.1538,308.6,2008-02-27,257,D,0
22.4782,114.1582,300.2,2008-02-27,257,D,0
22.4819,114.1652,306.3,2008-02-27,257,D,0
22.3894,114.1202,309.9,2008-03-15,1435,N,0
22.3909,114.1301,342.7,2008-03-15,1435,N,0
22.4355,114.0921,313.1,2008-08-01,322,D,0
22.3336,114.146,311.0,2008-08-01,322,D,0
22.2498,113.9561,328.5,2008-09-15,251,D,0
22.5507,114.1702,334.1,2008-11-11,556,D,0
22.4298,114.0416,324.6,2008-11-13,543,D,0
22.4049,114.0465,319.0,2008-11-25,257,D,0
22.461,114.0956,311.3,2008-11-25,257,D,0
22.4623,114.0851,315.1,2008-11-25,257,D,0
22.4612,114.0941,309.6,2008-11-25,608,D,0
22.4594,114.0779,312.4,2008-11-25,608,D,0
22.4376,114.1088,309.2,2008-11-28,328,D,0
22.4404,114.0938,303.9,2008-11-28,328,D,0
22.5163,114.0854,314.2,2008-11-29,544,D,0
22.5073,114.087,313.3,2008-11-29,544,D,0
22.5341,114.1425,309.7,2008-11-29,544,D,0
22.5326,114.1327,308.1,2008-11-29,544,D,0
22.4553,114.0358,319.8,2008-11-30,316,D,0
22.4998,114.1155,304.3,2008-12-06,550,D,0
22.4199,114.0465,311.2,2008-12-08,538,D,0
22.4759,114.0014,313.6,2008-12-20,603,D,0
