latitude,longitude,brightness,acq_date,acq_time,daynight,type
45.5513,13.7468,300.9,2008-03-31,1009,D,0
45.5484,13.7362,303.6,2008-03-31,1152,D,0
46.393,14.11,305.0,2008-04-05,1027,D,0
45.551,13.7444,303.6,2008-04-07,1015,D,0
45.5492,13.7437,305.9,2008-04-07,1158,D,0
46.232,15.276,303.1,2008-04-27,1134,D,0
46.4303,14.0956,305.4,2008-05-02,1009,D,0
45.5517,13.7492,311.7,2008-05-09,1016,D,0
45.5509,13.7429,313.9,2008-05-14,1217,D,0
45.5466,13.7448,314.4,2008-05-16,1022,D,0
45.547,13.7398,317.1,2008-05-16,1205,D,0
45.5462,13.7341,314.4,2008-06-08,1211,D,0
45.5479,13.747,313.4,2008-06-08,1211,D,0
45.5589,13.755,314.0,2008-06-10,1016,D,0
45.5475,13.739,320.2,2008-06-10,1159,D,0
46.6543,16.1643,306.7,2008-06-19,1009,D,0
45.551,13.7476,317.0,2008-06-19,1153,D,0
45.5502,13.7385,319.4,2008-06-26,1016,D,0
45.5466,13.7365,317.8,2008-06-28,1147,D,0
45.7049,13.8606,311.3,2008-06-28,1147,D,0
45.5458,13.7411,322.6,2008-07-03,1205,D,0
45.5492,13.7411,319.6,2008-07-05,1153,D,0
45.5511,13.7413,321.5,2008-07-19,1022,D,0
45.5487,13.7403,324.0,2008-07-19,1205,D,0
45.5489,13.7481,312.3,2008-07-26,1028,D,0
46.2276,14.1768,309.9,2008-07-28,1015,D,0
46.3629,15.1059,313.5,2008-08-04,1021,D,0
45.7955,15.1744,309.6,2008-08-06,1009,D,0
45.5502,13.7446,320.6,2008-08-06,1153,D,0
45.5551,13.7562,302.5,2008-08-16,1046,D,0
45.5516,13.7466,314.3,2008-08-20,1022,D,0
45.5467,13.7423,315.2,2008-08-20,1206,D,0
45.5496,13.7448,316.8,2008-08-22,1153,D,0
46.6518,16.166,311.9,2008-08-24,1141,D,0
45.5479,13.7404,316.4,2008-08-27,1212,D,0
45.5491,13.7455,314.6,2008-08-29,1200,D,0
