latitude,longitude,brightness,acq_date,acq_time,daynight,type
9.2462,1.2735,311.2,2008-01-01,155,N,0
9.2416,1.2803,307.2,2008-01-01,155,N,0
8.9215,0.8846,322.5,2008-01-01,1243,D,0
8.9314,0.8387,319.5,2008-01-01,1243,D,0
8.8482,0.7801,320.5,2008-01-01,1243,D,0
8.9147,0.8453,339.0,2008-01-01,1243,D,0
9.438,0.7105,319.0,2008-01-01,1243,D,0
8.9222,0.8878,320.3,2008-01-01,1243,D,0
8.9137,0.8421,335.6,2008-01-01,1243,D,0
8.8468,0.7718,317.7,2008-01-01,1243,D,0
10.1402,0.749,320.7,2008-01-01,1244,D,0
9.2535,0.6743,314.3,2008-01-01,2209,N,0
10.0937,0.6814,309.5,2008-01-01,2209,N,0
9.2517,0.6628,304.2,2008-01-01,2209,N,0
9.8004,0.7815,320.5,2008-01-02,1025,D,0
10.3071,0.3894,321.4,2008-01-02,1025,D,0
9.7581,1.2024,322.0,2008-01-02,1025,D,0
9.7595,1.1931,324.4,2008-01-02,1025,D,0
10.0198,1.0463,320.6,2008-01-02,1025,D,0
10.8704,0.6876,319.9,2008-01-02,1025,D,0
9.8047,0.9352,341.3,2008-01-02,1025,D,0
10.3434,0.4425,324.8,2008-01-02,1025,D,0
6.8696,0.9247,327.7,2008-01-02,1026,D,0
6.6277,1.0662,309.8,2008-01-02,1026,D,0
8.9552,0.8968,314.0,2008-01-02,1026,D,0
7.002,1.0894,317.4,2008-01-02,1026,D,0
6.994,1.1438,328.8,2008-01-02,1026,D,0
7.0197,0.9061,319.6,2008-01-02,1026,D,0
6.9927,1.1528,340.2,2008-01-02,1026,D,0
8.7425,1.4086,314.3,2008-01-02,1026,D,0
6.7654,1.0708,321.0,2008-01-02,1026,D,0
8.7762,0.4684,314.6,2008-01-02,1026,D,0
7.6343,1.5529,320.2,2008-01-02,1026,D,0
6.9353,1.3563,321.3,2008-01-02,1026,D,0
8.8719,1.1519,330.0,2008-01-02,1026,D,0
7.7569,1.5949,328.8,2008-01-02,1026,D,0
8.5183,1.1139,315.2,2008-01-02,1026,D,0
7.6356,1.5439,327.6,2008-01-02,1026,D,0
7.1245,1.3225,316.0,2008-01-02,1026,D,0
7.1258,1.3135,317.1,2008-01-02,1026,D,0
6.8511,0.9253,311.4,2008-01-02,1026,D,0
6.7516,1.2898,317.1,2008-01-02,1026,D,0
6.7529,1.2808,333.0,2008-01-02,1026,D,0
6.7543,1.2718,317.0,2008-01-02,1026,D,0
9.3063,1.3308,315.9,2008-01-02,1026,D,0
8.7847,0.6077,318.6,2008-01-02,1026,D,0
6.6276,0.8156,330.0,2008-01-02,1026,D,0
9.1935,1.0937,320.7,2008-01-02,1026,D,0
6.5258,1.0082,312.4,2008-01-02,1026,D,0
6.5245,1.0173,324.2,2008-01-02,1026,D,0
7.7582,1.5859,321.3,2008-01-02,1026,D,0
6.5158,0.9513,314.1,2008-01-02,1026,D,0
8.6679,1.2887,325.0,2008-01-02,1026,D,0
8.5223,1.3393,327.7,2008-01-02,1026,D,0
6.5081,0.9409,311.4,2008-01-02,1026,D,0
6.5067,0.95,329.2,2008-01-02,1026,D,0
8.419,0.9709,315.4,2008-01-02,1026,D,0
7.0257,0.9907,316.0,2008-01-02,1026,D,0
8.5237,1.3302,345.8,2008-01-02,1026,D,0
8.963,0.9076,315.1,2008-01-02,1026,D,0
8.9644,0.8981,327.2,2008-01-02,1026,D,0
9.3077,1.3216,323.1,2008-01-02,1026,D,0
9.3707,0.5703,327.4,2008-01-02,1026,D,0
8.3928,0.8371,316.1,2008-01-02,1026,D,0
8.7559,1.5685,325.9,2008-01-02,1026,D,0
8.7572,1.5594,319.8,2008-01-02,1026,D,0
8.6769,1.29,316.8,2008-01-02,1026,D,0
6.7478,0.8762,332.3,2008-01-02,1026,D,0
6.8083,0.9657,316.8,2008-01-02,1026,D,0
6.8989,1.4793,316.0,2008-01-02,1026,D,0
6.8976,1.4883,341.8,2008-01-02,1026,D,0
6.7395,0.9958,318.3,2008-01-02,1026,D,0
6.7381,1.0048,328.2,2008-01-02,1026,D,0
6.8886,1.487,328.8,2008-01-02,1026,D,0
7.0175,1.5483,317.9,2008-01-02,1026,D,0
9.0137,0.6231,328.5,2008-01-02,1026,D,0
8.6109,1.4887,315.4,2008-01-02,1026,D,0
9.2474,0.6557,324.0,2008-01-02,1026,D,0
9.2566,0.657,331.4,2008-01-02,1026,D,0
7.1735,1.4917,310.7,2008-01-02,1026,D,0
7.9972,1.529,321.9,2008-01-02,1026,D,0
6.7491,0.867,313.2,2008-01-02,1026,D,0
8.8659,1.5719,319.4,2008-01-02,1026,D,0
7.012,1.3366,315.0,2008-01-02,1026,D,0
9.2552,0.6668,321.7,2008-01-02,1026,D,0
9.42,0.9948,318.1,2008-01-02,1026,D,0
7.0162,1.5572,315.5,2008-01-02,1026,D,0
7.0134,1.3277,313.6,2008-01-02,1026,D,0
8.6906,1.3854,314.0,2008-01-02,1026,D,0
9.263,1.1861,323.6,2008-01-02,1026,D,0
9.2617,1.1953,336.9,2008-01-02,1026,D,0
9.4214,0.9853,319.2,2008-01-02,1026,D,0
6.8707,0.9807,328.9,2008-01-02,1026,D,0
8.9532,1.4794,314.2,2008-01-02,1026,D,0
8.455,1.0424,318.1,2008-01-02,1026,D,0
8.5095,1.0467,316.7,2008-01-02,1026,D,0
6.645,0.6963,322.9,2008-01-02,1026,D,0
6.6436,0.7055,308.8,2008-01-02,1026,D,0
9.3328,1.2118,317.4,2008-01-02,1026,D,0
7.0532,1.3058,316.1,2008-01-02,1026,D,0
7.03,1.3392,315.5,2008-01-02,1026,D,0
7.021,1.3379,317.3,2008-01-02,1026,D,0
8.1734,0.7014,316.8,2008-01-02,1026,D,0
9.4969,0.7096,328.3,2008-01-02,1026,D,0
6.7265,1.0217,315.7,2008-01-02,1026,D,0
8.1748,0.692,327.8,2008-01-02,1026,D,0
6.9836,0.9009,318.2,2008-01-02,1026,D,0
8.9539,0.9062,318.5,2008-01-02,1026,D,0
6.865,1.2404,315.0,2008-01-02,1325,D,0
6.8368,1.0436,324.5,2008-01-02,1325,D,0
6.6079,1.2509,313.8,2008-01-02,1325,D,0
6.5491,1.159,325.5,2008-01-02,1325,D,0
6.7598,1.3443,324.4,2008-01-02,1325,D,0
6.5478,1.1501,336.9,2008-01-02,1325,D,0
6.3858,1.1129,312.1,2008-01-02,1325,D,0
6.4691,0.9206,318.6,2008-01-02,1325,D,0
6.4549,0.8218,313.1,2008-01-02,1325,D,0
6.5939,1.3442,313.7,2008-01-02,1325,D,0
6.7508,1.2817,313.0,2008-01-02,1325,D,0
6.7419,1.283,320.0,2008-01-02,1325,D,0
6.7133,0.7016,314.2,2008-01-02,1325,D,0
6.7124,1.0133,323.0,2008-01-02,1325,D,0
6.7277,0.9928,334.1,2008-01-02,1325,D,0
6.7264,0.9839,330.6,2008-01-02,1325,D,0
6.9333,1.5264,321.6,2008-01-02,1325,D,0
6.8163,1.0283,336.7,2008-01-02,1325,D,0
6.8253,1.027,328.5,2008-01-02,1325,D,0
6.8431,1.0244,331.5,2008-01-02,1325,D,0
6.693,0.8148,325.8,2008-01-02,1325,D,0
6.6957,0.9609,318.0,2008-01-02,1325,D,0
6.9257,1.4725,321.2,2008-01-02,1325,D,0
6.7558,0.9978,326.1,2008-01-02,1325,D,0
6.9269,1.4815,315.4,2008-01-02,1325,D,0
6.932,1.5174,318.4,2008-01-02,1325,D,0
6.8906,1.4835,327.8,2008-01-02,1325,D,0
6.4255,1.2623,323.0,2008-01-02,1325,D,0
6.3527,1.2638,317.1,2008-01-02,1325,D,0
6.5272,0.9429,322.8,2008-01-02,1325,D,0
6.5055,0.9187,320.7,2008-01-02,1325,D,0
6.508,0.9366,336.8,2008-01-02,1325,D,0
6.5093,0.9455,326.5,2008-01-02,1325,D,0
6.4978,0.9289,325.2,2008-01-02,1325,D,0
6.4991,0.9379,347.8,2008-01-02,1325,D,0
6.5004,0.9469,319.9,2008-01-02,1325,D,0
6.8198,1.4452,330.1,2008-01-02,1325,D,0
6.7956,1.4671,347.7,2008-01-02,1325,D,0
6.7968,1.476,332.0,2008-01-02,1325,D,0
6.9742,1.4929,335.8,2008-01-02,1325,D,0
6.9461,1.4237,315.6,2008-01-02,1325,D,0
6.6245,0.7847,326.6,2008-01-02,1325,D,0
6.6258,0.7937,339.2,2008-01-02,1325,D,0
6.6156,0.7861,344.0,2008-01-02,1325,D,0
6.6169,0.7951,361.4,2008-01-02,1325,D,0
6.6016,0.8156,342.4,2008-01-02,1325,D,0
6.6028,0.8246,339.8,2008-01-02,1325,D,0
6.5748,0.8837,358.1,2008-01-02,1325,D,0
6.8982,1.3451,326.6,2008-01-02,1325,D,0
6.8395,1.3811,325.8,2008-01-02,1325,D,0
6.8292,1.3735,322.8,2008-01-02,1325,D,0
6.8305,1.3824,322.7,2008-01-02,1325,D,0
6.5364,1.2613,319.2,2008-01-02,1325,D,0
6.6314,1.3413,312.5,2008-01-02,1325,D,0
6.7585,1.3354,314.0,2008-01-02,1325,D,0
6.8969,1.3362,318.1,2008-01-02,1325,D,0
6.5888,1.3084,332.4,2008-01-02,1325,D,0
6.6323,0.8387,322.9,2008-01-02,1325,D,0
6.851,1.3977,324.3,2008-01-02,1325,D,0
6.4512,0.9232,327.4,2008-01-02,1325,D,0
6.4434,0.8693,343.7,2008-01-02,1325,D,0
6.4421,0.8604,314.7,2008-01-02,1325,D,0
6.4562,0.8308,318.4,2008-01-02,1325,D,0
6.661,0.847,313.1,2008-01-02,1325,D,0
6.8186,1.4363,317.3,2008-01-02,1325,D,0
6.7253,1.1667,314.5,2008-01-02,1325,D,0
6.5383,1.4675,313.7,2008-01-02,1325,D,0
6.7495,1.081,327.0,2008-01-02,1325,D,0
6.7956,1.4031,324.4,2008-01-02,1325,D,0
6.738,1.0644,329.4,2008-01-02,1325,D,0
6.7392,1.0734,333.0,2008-01-02,1325,D,0
6.7188,1.0581,319.5,2008-01-02,1325,D,0
6.7239,1.0939,323.6,2008-01-02,1325,D,0
6.7252,1.1028,320.0,2008-01-02,1325,D,0
6.9141,1.072,340.6,2008-01-02,1325,D,0
6.9154,1.081,334.2,2008-01-02,1325,D,0
6.9115,1.1181,320.7,2008-01-02,1325,D,0
6.5396,1.4765,313.1,2008-01-02,1325,D,0
6.6854,0.8892,328.2,2008-01-02,1325,D,0
6.5875,1.2995,314.5,2008-01-02,1325,D,0
