latitude,longitude,brightness,acq_date,acq_time,daynight,type
-20.1441,32.6246,344.7,2008-01-04,1127,D,0
-20.0611,32.628,339.7,2008-01-04,1127,D,0
-20.0625,32.6173,358.7,2008-01-04,1127,D,0
-18.4595,25.5705,324.2,2008-01-14,1204,D,0
-18.7862,32.7387,301.6,2008-02-05,2053,N,0
-20.0221,32.6773,309.4,2008-02-07,1115,D,0
-20.1058,32.6576,315.8,2008-02-14,1121,D,0
-19.9122,32.9119,311.9,2008-02-14,1121,D,0
-20.1161,32.6591,318.6,2008-02-14,1121,D,0
-20.0534,32.6216,368.1,2008-02-19,1140,D,0
-19.8988,32.906,312.6,2008-02-25,1103,D,0
-21.0429,31.6057,303.0,2008-02-25,2028,N,0
-18.9222,29.9298,319.6,2008-02-28,1134,D,0
-19.2697,30.6872,318.1,2008-03-03,823,D,0
-20.0075,32.7165,317.4,2008-03-03,1109,D,0
-18.382,31.4845,312.6,2008-03-10,829,D,0
-19.9043,32.9224,315.8,2008-03-12,817,D,0
-19.9112,32.9061,311.8,2008-03-12,1103,D,0
-18.7043,32.7837,305.1,2008-03-12,2028,N,0
-18.7056,32.7742,309.6,2008-03-12,2028,N,0
-18.402,26.4278,320.0,2008-03-13,900,D,0
-17.8864,30.9762,315.2,2008-03-26,829,D,0
-20.7817,31.6342,314.4,2008-03-28,817,D,0
-20.4042,28.1235,322.0,2008-03-29,1146,D,0
-20.4028,28.1341,352.0,2008-03-29,1146,D,0
-20.5615,28.144,315.5,2008-03-31,848,D,0
-20.5576,28.1502,311.8,2008-03-31,848,D,0
-17.4502,30.05,310.3,2008-04-02,835,D,0
-20.1517,32.6298,336.8,2008-04-02,1121,D,0
-20.1501,32.6428,351.9,2008-04-02,1121,D,0
-18.5507,32.6601,315.6,2008-04-02,1122,D,0
-20.1479,32.6461,319.2,2008-04-04,1109,D,0
-20.1502,32.6248,323.8,2008-04-04,1109,D,0
-20.1484,32.6314,337.8,2008-04-04,1109,D,0
-19.4596,30.0592,318.2,2008-04-05,1152,D,0
-19.9815,32.7768,323.4,2008-04-07,1140,D,0
-19.9724,32.7751,322.5,2008-04-07,1140,D,0
-20.1646,32.3456,326.7,2008-04-07,1140,D,0
-20.0525,30.7469,328.5,2008-04-07,1140,D,0
-20.0538,30.7371,324.0,2008-04-07,1140,D,0
-18.7841,32.465,327.2,2008-04-07,1140,D,0
-18.3036,30.7317,322.5,2008-04-08,759,D,0
-20.0108,32.6576,344.6,2008-04-09,1128,D,0
-20.0094,32.6682,309.1,2008-04-09,1128,D,0
-19.2191,30.2491,313.5,2008-04-11,830,D,0
-19.2176,30.2374,324.3,2008-04-11,830,D,0
-20.2638,32.4186,320.6,2008-04-11,1115,D,0
-19.1993,30.2267,330.5,2008-04-11,1116,D,0
-19.213,30.2282,322.7,2008-04-11,1116,D,0
-19.2017,30.2025,317.9,2008-04-11,1116,D,0
-19.2071,30.2226,338.9,2008-04-11,1116,D,0
-21.7688,30.4548,324.5,2008-04-12,1158,D,0
-21.7669,30.4664,327.4,2008-04-12,1158,D,0
-18.9311,30.0661,317.6,2008-04-12,1159,D,0
-18.1759,31.0171,319.2,2008-04-14,1146,D,0
-17.8667,30.7613,309.7,2008-04-15,805,D,0
-21.0779,31.7568,311.7,2008-04-15,806,D,0
-18.9265,30.0686,311.9,2008-04-16,848,D,0
