latitude,longitude,brightness,acq_date,acq_time,daynight,type
26.4498,-77.1455,335.2,2009-01-11,1838,D,0
26.4512,-77.1347,314.0,2009-01-11,1838,D,0
26.6795,-78.1164,314.5,2009-01-18,1845,D,0
26.7025,-78.0647,308.9,2009-01-21,640,N,0
26.663,-78.1163,319.5,2009-01-21,1601,D,0
26.6614,-78.1063,318.0,2009-01-21,1601,D,0
26.6839,-78.0878,306.3,2009-01-21,1915,D,0
26.682,-78.0935,340.1,2009-01-22,1820,D,0
26.6704,-78.09,314.6,2009-01-25,1851,D,0
26.6587,-78.1098,323.5,2009-01-27,1839,D,0
26.6719,-78.0807,313.2,2009-01-27,1839,D,0
26.6806,-78.0799,311.8,2009-01-28,1608,D,0
26.7217,-77.4131,311.3,2009-01-28,1608,D,0
24.9699,-78.0779,305.9,2009-02-01,336,N,0
26.7126,-77.4197,311.6,2009-02-09,1808,D,0
24.9445,-78.0697,307.0,2009-02-10,329,N,0
24.7402,-78.1369,320.1,2009-02-10,1851,D,0
24.9076,-78.0945,317.8,2009-02-10,1851,D,0
24.9061,-78.1075,326.5,2009-02-10,1851,D,0
24.9431,-78.0597,315.4,2009-02-10,1851,D,0
26.4594,-77.0764,328.1,2009-02-11,658,N,0
26.4608,-77.0867,331.3,2009-02-11,658,N,0
24.9156,-78.1165,322.4,2009-02-11,1620,D,0
24.9167,-78.1049,313.7,2009-02-11,1620,D,0
26.4531,-77.0916,322.3,2009-02-11,1620,D,0
26.4651,-77.0888,369.8,2009-02-11,1620,D,0
26.4687,-77.1076,325.4,2009-02-11,1620,D,0
26.4564,-77.1188,313.3,2009-02-11,1756,D,0
26.4434,-77.0987,321.0,2009-02-12,1839,D,0
25.1025,-78.0391,311.7,2009-02-12,1839,D,0
25.0846,-78.036,314.3,2009-02-12,1839,D,0
24.9534,-78.052,319.6,2009-02-12,1839,D,0
24.952,-78.0619,319.4,2009-02-12,1839,D,0
24.7515,-78.1535,340.0,2009-02-14,1826,D,0
24.7457,-78.1293,325.7,2009-02-14,1826,D,0
24.7534,-78.1423,327.4,2009-02-14,1826,D,0
26.4349,-77.0991,323.3,2009-02-16,1815,D,0
26.4246,-77.0969,322.4,2009-02-16,1815,D,0
26.4249,-77.0995,320.3,2009-02-17,1543,D,0
25.0842,-78.0254,312.4,2009-02-17,1544,D,0
25.073,-78.0172,325.0,2009-02-17,1857,D,0
25.0712,-78.0339,331.5,2009-02-17,1857,D,0
25.0598,-78.0324,328.1,2009-02-17,1857,D,0
24.6871,-77.7986,313.6,2009-02-17,1857,D,0
26.4128,-77.1183,324.6,2009-02-17,1858,D,0
26.4103,-77.1104,323.1,2009-02-17,1858,D,0
26.4228,-77.1119,324.1,2009-02-17,1858,D,0
26.4147,-77.0979,324.4,2009-02-17,1858,D,0
26.4521,-77.099,314.1,2009-02-18,1626,D,0
26.457,-77.123,317.2,2009-02-18,1626,D,0
26.45,-77.147,310.7,2009-02-18,1802,D,0
26.4544,-77.1249,331.7,2009-02-18,1802,D,0
24.2241,-75.3453,328.9,2009-02-19,1531,D,0
26.4119,-77.1193,317.7,2009-02-19,1845,D,0
24.2249,-75.3486,320.8,2009-02-19,1845,D,0
26.422,-77.1208,317.4,2009-02-19,1845,D,0
25.101,-78.0173,320.1,2009-02-19,1845,D,0
25.0996,-78.0284,314.9,2009-02-19,1845,D,0
24.2231,-75.3637,311.4,2009-02-19,1845,D,0
25.0691,-78.0068,321.6,2009-02-19,1845,D,0
25.0676,-78.0178,336.2,2009-02-19,1845,D,0
25.0959,-78.0223,326.5,2009-02-19,1845,D,0
26.513,-78.7224,311.0,2009-02-20,1614,D,0
26.4106,-77.1208,323.6,2009-02-20,1614,D,0
26.4079,-77.1059,313.9,2009-02-20,1614,D,0
24.2329,-75.3518,331.1,2009-02-21,1832,D,0
24.2251,-75.3399,314.9,2009-02-21,1832,D,0
24.2237,-75.3503,350.2,2009-02-21,1832,D,0
26.4262,-77.1262,327.1,2009-02-21,1833,D,0
26.3789,-77.1149,314.0,2009-02-25,1809,D,0
26.3904,-77.1176,317.6,2009-02-25,1809,D,0
26.5522,-78.8074,319.2,2009-02-26,330,N,0
26.376,-77.1148,320.4,2009-02-26,1537,D,0
26.3793,-77.1083,318.8,2009-02-26,1537,D,0
26.3821,-77.1088,312.0,2009-02-27,1620,D,0
25.0172,-78.0106,330.0,2009-02-27,1620,D,0
25.0037,-78.0196,313.2,2009-02-27,1756,D,0
25.0055,-78.0331,321.3,2009-02-28,317,N,0
25.0073,-78.022,309.8,2009-02-28,317,N,0
25.1141,-78.0323,313.4,2009-02-28,1839,D,0
25.0138,-78.03,364.7,2009-02-28,1839,D,0
25.0152,-78.0201,348.9,2009-02-28,1839,D,0
25.1127,-78.0422,311.7,2009-02-28,1839,D,0
26.3793,-77.107,329.4,2009-02-28,1839,D,0
24.9959,-78.0269,323.4,2009-02-28,1839,D,0
25.0049,-78.0284,343.9,2009-02-28,1839,D,0
26.3886,-77.1086,318.2,2009-02-28,1839,D,0
25.021,-78.0204,328.8,2009-03-01,1608,D,0
25.0229,-78.0317,316.4,2009-03-01,1608,D,0
24.9794,-78.0144,320.3,2009-03-04,1815,D,0
25.0378,-78.0172,327.9,2009-03-05,1544,D,0
