latitude,longitude,brightness,acq_date,acq_time,daynight,type
28.0724,90.1814,300.7,2009-01-08,500,D,0
27.0898,90.0894,308.9,2009-01-09,719,D,0
26.8227,91.2429,306.8,2009-01-09,719,D,0
26.8241,91.2528,304.4,2009-01-09,719,D,0
27.0883,90.0792,310.4,2009-01-09,719,D,0
27.3311,89.4975,301.4,2009-01-10,448,D,0
26.912,91.2379,327.3,2009-01-13,654,D,0
26.9084,91.2344,322.1,2009-01-13,654,D,0
26.9115,91.2506,309.1,2009-01-13,654,D,0
26.7863,89.7046,306.0,2009-01-14,737,D,0
26.7859,90.7869,304.9,2009-01-15,506,D,0
26.7826,90.8044,315.7,2009-01-15,506,D,0
26.7771,90.815,305.5,2009-01-15,642,D,0
26.7767,90.8077,303.9,2009-01-15,642,D,0
27.1975,91.4635,304.1,2009-01-17,454,D,0
27.2074,91.4641,312.0,2009-01-17,454,D,0
27.7826,91.1163,309.3,2009-01-17,454,D,0
27.7807,91.1276,319.3,2009-01-17,454,D,0
27.1997,91.4503,311.1,2009-01-17,454,D,0
27.327,89.2185,349.9,2009-01-17,808,D,0
27.3234,89.1686,304.2,2009-01-17,808,D,0
27.313,89.2179,336.7,2009-01-17,808,D,0
27.3296,89.2115,327.3,2009-01-17,808,D,0
27.3576,89.1232,308.7,2009-01-17,808,D,0
27.3223,89.2183,310.3,2009-01-18,713,D,0
27.6846,90.8902,304.0,2009-01-19,756,D,0
27.6744,90.8993,300.6,2009-01-19,756,D,0
27.671,90.8579,303.8,2009-01-19,756,D,0
27.006,91.1445,301.8,2009-01-21,429,D,0
27.0143,91.1591,310.2,2009-01-21,429,D,0
27.0158,91.1471,331.0,2009-01-21,429,D,0
27.6937,90.6166,309.6,2009-01-21,744,D,0
27.244,89.6579,316.2,2009-01-21,744,D,0
26.7791,90.891,318.8,2009-01-22,512,D,0
26.7763,90.8854,312.3,2009-01-22,648,D,0
27.6657,90.0732,304.8,2009-01-23,731,D,0
27.667,90.0838,313.4,2009-01-23,731,D,0
27.6305,89.2738,329.1,2009-01-23,731,D,0
27.6319,89.2842,307.4,2009-01-23,731,D,0
27.3543,89.1326,325.0,2009-01-23,731,D,0
27.6591,90.2929,324.6,2009-01-23,731,D,0
27.6604,90.3037,333.0,2009-01-23,731,D,0
27.6752,90.0712,327.9,2009-01-23,731,D,0
27.6765,90.0822,370.2,2009-01-23,731,D,0
27.3723,89.1462,352.6,2009-01-24,500,D,0
27.3705,89.1568,313.3,2009-01-24,500,D,0
27.6771,90.0828,318.8,2009-01-24,500,D,0
27.3816,89.148,322.9,2009-01-24,500,D,0
26.9905,91.2226,308.5,2009-01-25,719,D,0
27.4181,89.0954,308.0,2009-01-27,707,D,0
26.9462,89.2574,305.9,2009-01-30,738,D,0
27.9297,90.8116,301.3,2009-01-30,738,D,0
27.2731,89.4348,432.2,2009-01-30,738,D,0
27.2717,89.4232,318.6,2009-01-30,738,D,0
27.351,89.2461,308.8,2009-01-31,506,D,0
27.3538,89.2304,328.1,2009-01-31,506,D,0
26.8911,91.2076,308.3,2009-01-31,642,D,0
27.2814,89.4308,310.9,2009-01-31,1604,N,0
27.2909,89.4284,323.5,2009-01-31,1604,N,0
26.9484,91.2232,302.3,2009-02-02,454,D,0
26.9601,91.2133,310.4,2009-02-02,454,D,0
26.9582,91.2244,325.3,2009-02-02,454,D,0
