latitude,longitude,brightness,acq_date,acq_time,daynight,type
10.2362,-85.171,323.3,2009-01-03,1618,D,0
9.8076,-84.5864,314.1,2009-01-03,1618,D,0
10.4247,-85.4443,328.9,2009-01-03,1618,D,0
10.467,-84.3132,315.6,2009-01-03,1618,D,0
10.5235,-84.1783,315.2,2009-01-03,1923,D,0
10.4003,-85.4964,307.5,2009-01-05,350,N,0
10.4636,-85.4786,322.7,2009-01-05,1911,D,0
10.4458,-84.2992,334.0,2009-01-10,1624,D,0
10.4475,-84.3101,310.5,2009-01-10,1624,D,0
10.46,-84.7047,306.9,2009-01-10,1624,D,1
9.7958,-85.1159,310.1,2009-01-10,1625,D,0
10.4671,-85.4965,328.7,2009-01-10,1929,D,0
10.4688,-85.4838,333.9,2009-01-10,1929,D,0
10.0268,-84.7761,317.8,2009-01-18,1841,D,0
10.0242,-84.7691,324.4,2009-01-18,1841,D,0
9.1262,-83.4142,312.2,2009-01-19,1619,D,0
9.1278,-83.4245,311.2,2009-01-19,1619,D,0
10.3519,-85.1934,313.9,2009-01-23,338,N,0
10.3518,-85.2085,317.5,2009-01-23,338,N,0
10.3483,-85.2143,309.0,2009-01-23,338,N,0
10.3553,-85.1875,305.1,2009-01-23,338,N,0
10.4762,-85.4948,314.3,2009-01-23,1554,D,0
8.8787,-83.4405,314.1,2009-01-23,1859,D,0
10.3891,-85.1532,316.1,2009-01-23,1859,D,0
10.5744,-85.6663,322.5,2009-01-23,1859,D,0
9.9977,-84.7666,329.5,2009-01-23,1859,D,0
9.9995,-84.755,351.1,2009-01-23,1859,D,0
10.3794,-85.4795,315.8,2009-01-24,715,N,0
10.3851,-85.4966,304.4,2009-01-26,409,N,0
10.0005,-84.747,324.8,2009-01-26,1930,D,0
9.9722,-84.8363,312.5,2009-01-28,1917,D,3
9.2401,-83.4956,300.4,2009-01-30,344,N,0
8.9188,-83.5556,319.0,2009-01-30,1905,D,0
8.6214,-82.9414,317.2,2009-01-30,1905,D,0
10.5119,-84.4919,318.1,2009-01-30,1905,D,0
10.6503,-85.3516,311.3,2009-02-01,1853,D,0
9.2155,-83.1526,313.0,2009-02-02,1631,D,0
10.0352,-84.2064,317.6,2009-02-02,1631,D,0
9.2279,-83.1522,309.3,2009-02-02,1631,D,0
10.0375,-84.2203,323.1,2009-02-02,1631,D,0
9.2236,-83.1575,325.0,2009-02-02,1631,D,0
10.0343,-84.2128,326.1,2009-02-02,1631,D,0
10.3744,-85.5048,329.1,2009-02-02,1936,D,0
10.3821,-85.4945,332.3,2009-02-02,1936,D,0
10.0815,-85.5476,322.4,2009-02-02,1936,D,0
10.3766,-85.4884,332.5,2009-02-02,1936,D,0
9.0099,-83.2094,301.8,2009-02-04,402,N,0
9.0112,-83.2001,316.9,2009-02-04,402,N,0
10.3093,-85.6041,315.9,2009-02-04,1618,D,0
10.6478,-85.452,320.3,2009-02-04,1924,D,0
