latitude,longitude,brightness,acq_date,acq_time,daynight,type
55.5684,8.1095,306.0,2009-03-19,1243,D,0
55.3402,12.2958,302.7,2009-04-03,1200,D,0
55.4178,12.1861,308.9,2009-04-03,1200,D,0
55.4521,12.0477,335.3,2009-04-03,1200,D,0
56.1064,9.9061,300.9,2009-04-04,1050,D,0
56.1153,9.911,301.3,2009-04-04,1050,D,0
56.1181,9.8947,301.3,2009-04-04,1050,D,0
55.8919,8.8211,310.2,2009-04-04,1243,D,0
55.8898,8.7986,307.4,2009-04-04,1243,D,0
55.2517,11.9731,302.0,2009-04-06,1038,D,0
55.2511,11.9747,310.6,2009-04-06,1231,D,0
55.3829,10.4987,304.6,2009-04-10,1206,D,0
55.3805,10.4832,305.5,2009-04-10,1206,D,0
55.4318,10.409,316.4,2009-04-12,1154,D,0
55.4286,10.3916,306.9,2009-04-12,1154,D,0
55.5971,12.2747,308.7,2009-04-12,1154,D,0
55.3273,10.5339,300.6,2009-04-15,1032,D,0
55.0816,10.3613,311.9,2009-04-15,1032,D,0
55.5764,8.474,326.7,2009-04-17,1212,D,0
55.5852,8.4696,340.9,2009-04-17,1212,D,0
55.5827,8.454,305.7,2009-04-17,1212,D,0
56.2926,8.7463,306.4,2009-04-18,1103,D,0
56.1441,10.0613,302.9,2009-04-19,1200,D,0
55.583,9.0764,315.9,2009-04-19,1200,D,0
55.4334,10.4049,300.8,2009-04-23,1135,D,0
55.4301,9.2172,303.8,2009-04-23,1136,D,0
55.8552,8.8149,312.2,2009-04-24,1026,D,0
55.632,12.5814,311.7,2009-04-29,1044,D,0
55.332,10.308,309.2,2009-05-01,1032,D,0
55.3231,10.3043,321.1,2009-05-01,1032,D,0
54.8677,11.8635,307.5,2009-05-01,1224,D,0
55.0857,14.9064,310.5,2009-05-03,1020,D,0
55.59,8.1655,315.4,2009-05-12,1206,D,0
55.587,8.1488,319.0,2009-05-12,1206,D,0
55.5787,8.1527,314.7,2009-05-15,1044,D,0
55.5809,8.1372,307.3,2009-05-15,1044,D,0
55.662,8.3597,309.5,2009-05-15,1237,D,0
56.1663,9.1243,305.8,2009-05-24,1230,D,0
55.9358,8.8048,307.7,2009-06-01,206,N,0
55.9387,8.7881,332.1,2009-06-01,206,N,0
55.576,8.1365,310.1,2009-06-05,1255,D,0
55.9055,8.7043,323.7,2009-06-16,1236,D,0
55.9075,8.7238,360.9,2009-06-16,1236,D,0
55.8183,12.3677,301.0,2009-06-18,1224,D,0
57.0619,9.9866,310.0,2009-06-25,1037,D,0
55.274,11.4581,320.1,2009-07-14,1108,D,0
55.2871,11.4434,311.0,2009-07-14,1108,D,0
55.0094,10.857,318.9,2009-07-15,1205,D,0
54.798,11.6292,309.8,2009-07-15,1205,D,0
55.0118,10.8723,310.9,2009-07-15,1205,D,0
54.8776,11.2224,315.5,2009-07-28,1120,D,0
54.9498,11.7787,315.8,2009-07-29,1025,D,0
54.941,11.775,327.3,2009-07-29,1025,D,0
54.9388,11.7905,311.2,2009-07-29,1025,D,0
54.7684,11.1056,314.7,2009-07-29,1217,D,0
54.9182,11.784,311.4,2009-07-29,1217,D,0
54.9257,11.7916,312.7,2009-07-29,1217,D,0
55.7135,12.1446,319.9,2009-08-05,1223,D,0
55.7036,12.1477,318.2,2009-08-05,1223,D,0
57.0605,9.9798,301.5,2009-08-06,2050,N,0
55.2645,12.3579,314.6,2009-08-07,1019,D,0
55.2728,11.5206,315.7,2009-08-08,1253,D,0
55.2711,11.482,312.3,2009-08-08,1253,D,0
55.3456,11.6333,309.8,2009-08-14,1025,D,0
56.1537,10.2129,300.1,2009-08-14,1217,D,0
56.9357,8.8772,317.0,2009-08-19,1043,D,0
54.845,11.1143,330.2,2009-08-20,1126,D,0
54.8462,11.0735,363.9,2009-08-20,1126,D,3
56.7308,8.7216,310.7,2009-08-20,1140,D,0
55.206,10.646,302.8,2009-08-24,1102,D,0
55.757,9.7287,302.7,2009-08-24,1102,D,0
55.5916,11.7901,305.5,2009-08-24,1102,D,0
55.5905,11.7827,307.3,2009-08-24,1102,D,0
55.4832,11.8403,304.9,2009-08-24,1102,D,0
55.4831,11.8338,312.8,2009-08-24,1116,D,0
55.2894,11.5274,315.3,2009-09-01,1013,D,0
55.2874,11.5459,313.8,2009-09-01,1013,D,0
55.6625,11.657,327.9,2009-09-01,1013,D,0
55.6605,11.6757,318.8,2009-09-01,1013,D,0
55.6561,11.6648,322.6,2009-09-01,1204,D,0
55.5703,12.1784,344.3,2009-09-01,1204,D,0
55.3792,10.4918,314.9,2009-09-01,1204,D,0
55.6884,11.346,304.7,2009-09-08,1210,D,0
56.6662,9.012,304.7,2009-09-08,1211,D,0
56.2582,10.1007,310.2,2009-09-10,1158,D,0
55.1867,10.6659,310.0,2009-09-10,2120,N,0
55.1891,10.6701,300.9,2009-09-11,128,N,0
56.2481,9.9886,321.0,2009-09-13,115,N,0
56.4585,10.8907,306.0,2009-09-13,1037,D,0
56.3639,10.7712,302.2,2009-09-13,1037,D,0
56.2349,9.9725,312.8,2009-09-13,1229,D,0
56.8149,10.1771,303.4,2009-09-13,1229,D,0
56.237,9.9921,303.9,2009-09-13,1229,D,0
55.2766,10.4769,301.3,2009-09-15,1025,D,0
57.2488,10.3858,309.4,2009-09-15,1025,D,0
56.8267,8.8235,307.4,2009-09-15,1217,D,0
57.325,10.0977,303.5,2009-09-15,1217,D,0
57.3398,10.2192,306.7,2009-09-15,1217,D,0
56.0056,10.0656,306.5,2009-09-15,1217,D,0
55.6347,11.7302,301.9,2009-09-16,1108,D,0
55.6267,11.7003,304.9,2009-09-16,1122,D,0
55.6334,11.7283,303.8,2009-09-16,1122,D,0
56.7761,10.1513,304.2,2009-09-16,2044,N,0
56.3358,10.0252,302.5,2009-09-18,2031,N,0
56.3398,10.017,302.9,2009-09-18,2031,N,0
56.5213,9.862,318.4,2009-09-19,1152,D,0
56.3396,10.0217,305.4,2009-09-19,1152,D,0
54.8567,12.1148,309.2,2009-09-19,1152,D,0
54.8657,12.1102,307.9,2009-09-19,1152,D,0
56.5182,9.8444,316.1,2009-09-19,1152,D,0
55.2946,11.3862,310.3,2009-09-20,1044,D,0
55.1271,10.4626,309.8,2009-09-29,1037,D,0
55.6289,9.5896,300.1,2009-10-01,1216,D,0
55.2756,12.0529,301.7,2009-10-13,1241,D,0
55.2815,9.1114,302.8,2009-10-14,211,N,0
55.7442,8.4031,300.8,2009-10-17,1216,D,0
