latitude,longitude,brightness,acq_date,acq_time,daynight,type
41.0117,24.9529,307.6,2009-01-01,1130,D,0
40.8052,26.0971,307.1,2009-02-04,1118,D,0
35.4175,23.8228,301.1,2009-02-06,924,D,0
35.4085,23.8209,304.5,2009-02-06,924,D,0
40.6063,22.6505,303.0,2009-02-16,1143,D,0
40.6483,21.6912,300.1,2009-02-17,1226,D,0
40.6471,21.6858,300.1,2009-02-17,1226,D,0
40.5511,21.6177,308.4,2009-02-21,1201,D,0
39.5676,21.63,301.9,2009-02-21,1201,D,0
40.6837,22.6872,303.5,2009-02-21,1201,D,0
40.3813,21.8331,306.9,2009-02-21,1201,D,0
40.6464,22.6409,312.2,2009-02-21,1201,D,0
41.063,23.3247,328.4,2009-02-23,1149,D,0
40.577,21.7225,300.9,2009-02-23,1149,D,0
40.7246,22.5735,300.1,2009-02-23,1149,D,0
40.7247,22.5245,305.5,2009-02-25,1137,D,0
40.6167,22.6703,305.3,2009-02-25,1137,D,0
40.9797,22.5609,310.5,2009-02-25,1137,D,0
40.6292,22.7526,300.4,2009-02-25,1137,D,0
40.677,22.6612,305.6,2009-02-26,1220,D,0
40.6913,22.6598,307.8,2009-02-26,1220,D,0
40.718,22.6244,301.8,2009-02-26,1220,D,0
40.7199,22.6569,300.8,2009-02-26,1220,D,0
40.6095,22.6153,300.9,2009-02-26,1220,D,0
40.6728,22.6696,306.9,2009-02-26,1220,D,0
40.6872,22.6682,301.0,2009-02-26,1220,D,0
40.6441,22.6855,309.8,2009-02-27,940,D,0
40.6417,22.699,301.3,2009-02-27,940,D,0
40.6038,22.6675,313.1,2009-02-27,941,D,0
40.6585,22.6717,310.6,2009-02-27,1125,D,0
40.6003,22.6344,307.2,2009-02-27,1125,D,0
40.6019,22.6439,308.0,2009-02-27,1125,D,0
40.6259,22.6057,303.6,2009-02-27,1125,D,0
40.9758,23.8967,302.2,2009-02-27,1125,D,0
40.6173,22.6561,302.4,2009-02-28,845,D,0
40.7057,22.6707,305.2,2009-02-28,845,D,0
38.5143,22.9688,302.5,2009-02-28,1207,D,0
40.6236,22.6169,309.4,2009-02-28,1208,D,0
40.4889,21.6284,312.5,2009-02-28,1208,D,0
40.8691,21.4239,303.4,2009-02-28,1208,D,0
40.7979,23.8593,302.1,2009-02-28,1208,D,0
40.5501,22.5504,306.9,2009-02-28,1208,D,0
40.5924,22.6285,306.7,2009-02-28,1208,D,0
41.0888,22.2334,304.6,2009-03-01,928,D,0
40.685,22.6595,307.7,2009-03-01,928,D,0
40.6865,22.5874,317.2,2009-03-01,928,D,0
40.6655,22.5399,305.4,2009-03-01,928,D,0
40.611,22.6591,310.5,2009-03-01,928,D,0
40.8992,23.7854,306.2,2009-03-01,1113,D,0
40.9027,23.8031,321.5,2009-03-01,1113,D,0
40.6355,22.6275,306.4,2009-03-03,916,D,0
40.6387,22.6341,306.9,2009-03-03,916,D,0
38.462,24.183,301.3,2009-03-03,917,D,0
38.9064,22.205,303.7,2009-03-03,917,D,0
38.4192,21.6273,300.2,2009-03-04,1143,D,0
41.4336,26.1951,304.6,2009-03-06,1131,D,0
40.3942,21.8573,308.6,2009-03-09,1202,D,0
40.636,22.6906,323.1,2009-03-10,922,D,0
40.6271,22.6947,302.9,2009-03-10,922,D,0
40.5534,22.5597,313.6,2009-03-10,922,D,0
40.555,22.5476,316.2,2009-03-10,922,D,0
40.6263,22.6324,303.8,2009-03-10,922,D,0
36.9109,21.7541,301.3,2009-03-11,1148,D,0
41.0322,23.3864,306.1,2009-03-11,1149,D,0
40.9524,23.6615,305.6,2009-03-11,1149,D,0
39.5085,21.8932,302.4,2009-03-13,1137,D,0
39.5033,21.9201,304.8,2009-03-13,1137,D,0
39.5053,21.9322,308.1,2009-03-13,1137,D,0
40.582,22.755,302.8,2009-03-14,1220,D,0
41.2834,22.7446,305.6,2009-03-15,940,D,0
40.6631,22.7286,306.5,2009-03-15,941,D,0
38.5666,23.2993,303.5,2009-03-15,941,D,0
40.8021,22.3559,303.8,2009-03-15,941,D,0
40.6655,22.7151,308.1,2009-03-15,941,D,0
40.5568,22.69,321.5,2009-03-15,941,D,0
40.2468,23.7072,300.9,2009-03-15,941,D,0
41.2806,22.7449,304.4,2009-03-15,1125,D,0
40.9723,23.7681,307.9,2009-03-15,1125,D,0
40.9737,24.6887,305.0,2009-03-15,1125,D,0
40.6878,22.6372,305.5,2009-03-19,916,D,0
40.6639,22.6735,307.7,2009-03-19,916,D,0
38.5723,24.1329,306.2,2009-03-24,2039,N,0
35.0826,25.6858,311.0,2009-03-29,1136,D,0
37.7428,20.7187,310.7,2009-04-01,1207,D,0
38.3125,23.6473,311.1,2009-04-02,929,D,0
38.3164,23.6235,308.7,2009-04-02,929,D,0
40.8594,26.1972,306.9,2009-04-04,916,D,0
40.7994,21.5344,308.8,2009-04-05,1143,D,0
41.0591,22.7813,311.2,2009-04-07,1131,D,0
41.062,22.7815,309.2,2009-04-09,934,D,0
40.9838,22.1079,307.4,2009-04-09,934,D,0
40.8592,21.4133,308.9,2009-04-09,935,D,0
38.4498,23.5579,315.3,2009-04-09,935,D,0
38.0378,23.783,321.0,2009-04-09,935,D,0
38.3147,23.6253,311.5,2009-04-09,935,D,0
38.0415,22.5045,306.0,2009-04-09,1118,D,0
38.053,22.5013,327.9,2009-04-09,1118,D,0
38.55,23.1472,315.9,2009-04-10,1201,D,0
38.5518,23.1639,308.7,2009-04-10,1201,D,0
40.5339,22.5907,310.8,2009-04-10,1202,D,0
40.5356,22.6075,309.7,2009-04-10,1202,D,0
41.6579,26.4374,312.9,2009-04-11,1107,D,0
38.5644,23.3021,303.2,2009-04-14,32,N,0
35.2417,23.9551,315.3,2009-04-15,859,D,0
40.8791,21.6331,307.0,2009-04-16,941,D,0
40.7642,22.4562,311.1,2009-04-16,941,D,0
38.2727,23.653,312.1,2009-04-18,929,D,0
38.3169,23.6149,313.3,2009-04-18,929,D,0
38.3149,23.6268,323.3,2009-04-18,929,D,0
41.111,24.1129,322.5,2009-04-25,934,D,0
40.7569,22.1543,310.0,2009-04-25,934,D,0
41.1086,24.1261,312.8,2009-04-25,934,D,0
38.1911,21.731,308.2,2009-04-25,935,D,0
38.3189,23.6214,314.6,2009-04-25,935,D,0
39.3679,22.8745,313.3,2009-04-25,935,D,0
38.3133,23.6194,317.0,2009-04-25,1118,D,0
41.7125,26.3533,314.9,2009-04-25,1119,D,0
37.763,26.9187,308.4,2009-04-27,923,D,0
35.3216,25.1757,312.1,2009-05-06,917,D,0
38.5645,23.2982,304.2,2009-05-09,26,N,0
38.3115,23.6249,320.6,2009-05-09,1130,D,0
39.2763,22.733,318.3,2009-05-09,1130,D,0
40.6893,22.7861,321.6,2009-05-09,1131,D,0
40.5666,22.258,316.2,2009-05-09,1131,D,0
41.1204,22.5224,314.5,2009-05-09,1131,D,0
40.9196,22.0869,314.3,2009-05-09,1131,D,0
40.5389,22.211,316.4,2009-05-09,1131,D,0
37.7988,24.941,316.1,2009-05-10,852,D,0
40.5448,22.2167,317.0,2009-05-11,934,D,0
40.6539,22.8634,319.5,2009-05-11,934,D,0
38.3195,23.6295,319.8,2009-05-11,935,D,0
38.0514,23.5073,320.0,2009-05-13,923,D,0
37.9428,23.1048,321.5,2009-05-14,1148,D,0
40.701,22.851,314.3,2009-05-18,1125,D,0
40.8765,21.6282,313.4,2009-05-20,928,D,0
38.5621,23.293,306.5,2009-05-22,2021,N,0
35.134,26.2523,321.2,2009-05-23,1141,D,0
35.1403,26.2571,317.4,2009-05-23,1141,D,0
38.4475,23.551,323.7,2009-05-23,1142,D,0
