latitude,longitude,brightness,acq_date,acq_time,daynight,type
30.0366,80.5721,306.9,2009-01-01,453,D,0
23.789,86.2427,313.3,2009-01-01,455,D,2
22.7911,86.2063,317.1,2009-01-01,455,D,2
23.6711,85.0084,310.2,2009-01-01,455,D,0
23.6818,86.0854,313.3,2009-01-01,455,D,2
23.7548,86.4208,310.6,2009-01-01,455,D,0
23.7681,86.3925,314.5,2009-01-01,455,D,2
23.6804,86.0955,310.4,2009-01-01,455,D,2
23.6731,86.0882,307.7,2009-01-01,455,D,2
23.805,86.3271,310.9,2009-01-01,455,D,0
21.1945,81.4101,315.5,2009-01-01,456,D,0
16.8988,81.6816,312.1,2009-01-01,457,D,0
16.9517,81.8985,313.8,2009-01-01,457,D,0
16.95,81.9117,311.2,2009-01-01,457,D,0
12.9943,79.6509,315.2,2009-01-01,458,D,0
9.2001,77.6032,317.2,2009-01-01,803,D,0
12.291,77.3456,319.3,2009-01-01,804,D,0
17.9976,79.7178,336.9,2009-01-01,805,D,0
17.9962,79.7083,325.2,2009-01-01,805,D,0
16.6098,81.266,312.8,2009-01-01,805,D,0
16.4987,81.2003,314.7,2009-01-01,805,D,0
19.8609,82.1234,318.7,2009-01-01,806,D,0
19.5064,81.7944,334.7,2009-01-01,806,D,0
19.5051,81.7844,331.1,2009-01-01,806,D,0
18.3221,80.5552,319.2,2009-01-01,806,D,0
21.2234,82.127,318.6,2009-01-01,806,D,0
21.222,82.1162,320.8,2009-01-01,806,D,0
21.081,81.9572,317.9,2009-01-01,806,D,0
20.9184,81.0253,313.8,2009-01-01,806,D,0
21.7328,81.1947,333.7,2009-01-01,806,D,0
21.7314,81.1845,326.6,2009-01-01,806,D,0
21.6099,82.3489,315.5,2009-01-01,806,D,0
21.6085,82.3377,315.2,2009-01-01,806,D,0
21.8794,82.9413,312.4,2009-01-01,806,D,0
21.8192,81.8398,312.9,2009-01-01,806,D,0
21.6548,84.0808,313.6,2009-01-01,806,D,0
20.6197,75.0491,316.2,2009-01-01,806,D,0
21.1225,75.8089,316.1,2009-01-01,806,D,0
21.218,76.5572,315.2,2009-01-01,806,D,0
23.3954,79.7166,311.8,2009-01-01,807,D,0
22.7971,86.2037,310.7,2009-01-01,807,D,2
22.8427,77.5408,324.1,2009-01-01,807,D,0
22.9306,77.4551,314.3,2009-01-01,807,D,0
22.509,78.0144,309.5,2009-01-01,807,D,0
22.8647,78.9073,318.4,2009-01-01,807,D,0
22.8633,78.8977,316.9,2009-01-01,807,D,0
24.1484,82.6166,313.0,2009-01-01,807,D,0
24.2014,82.7136,317.0,2009-01-01,807,D,2
22.9656,77.2687,312.5,2009-01-01,807,D,0
25.5246,75.6365,313.5,2009-01-01,808,D,0
27.0171,78.4401,311.0,2009-01-01,808,D,0
28.4614,77.7909,302.2,2009-01-01,808,D,0
27.7467,79.1867,304.2,2009-01-01,808,D,0
28.9761,78.0992,315.3,2009-01-01,808,D,0
27.9364,78.8272,304.0,2009-01-01,808,D,0
28.9704,77.4278,306.5,2009-01-01,808,D,0
28.0767,78.0587,305.9,2009-01-01,808,D,0
28.9287,78.0313,300.6,2009-01-01,808,D,0
29.051,78.1108,301.4,2009-01-01,808,D,0
28.2899,77.6284,305.1,2009-01-01,808,D,0
27.977,80.8124,301.2,2009-01-01,808,D,0
27.9418,79.8865,300.5,2009-01-01,808,D,0
27.748,79.197,307.6,2009-01-01,808,D,0
27.4747,79.3466,303.6,2009-01-01,808,D,0
