latitude,longitude,brightness,acq_date,acq_time,daynight,type
45.4563,99.971,357.3,2009-03-01,617,D,0
45.4595,99.9506,320.7,2009-03-01,617,D,0
45.4617,99.9639,365.3,2009-03-01,617,D,0
45.4541,99.9577,359.6,2009-03-01,617,D,0
45.4502,99.9732,328.2,2009-03-02,513,D,0
45.4428,100.0082,304.8,2009-03-02,513,D,0
45.4529,99.9698,329.5,2009-03-02,513,D,0
45.44,100.0114,301.6,2009-03-02,513,D,0
49.0419,110.735,314.2,2009-03-02,522,D,0
49.0448,110.7506,319.7,2009-03-02,522,D,0
45.4511,99.9784,361.2,2009-03-02,700,D,0
45.4529,100.0049,317.6,2009-03-02,700,D,0
50.4698,105.3589,309.3,2009-03-07,541,D,0
49.7979,106.3266,301.9,2009-03-23,541,D,0
49.7952,106.3116,308.8,2009-03-23,541,D,0
48.2374,92.0748,334.8,2009-03-23,720,D,0
48.2392,92.095,322.6,2009-03-23,720,D,0
46.1724,98.6876,308.6,2009-03-24,436,D,0
49.2132,105.7429,300.4,2009-03-26,423,D,0
49.8804,105.6581,301.9,2009-03-28,411,D,0
49.5877,106.4635,340.7,2009-04-02,618,D,0
49.5895,106.4826,322.5,2009-04-02,618,D,0
48.5646,106.5588,305.5,2009-04-03,523,D,0
49.4842,104.2724,307.8,2009-04-04,606,D,0
49.4822,104.2588,311.8,2009-04-04,606,D,0
49.255,105.4536,310.4,2009-04-05,322,D,0
49.2386,105.4626,333.6,2009-04-05,500,D,0
49.2497,105.4224,320.3,2009-04-05,500,D,0
49.2404,105.4504,338.7,2009-04-05,649,D,0
49.2553,105.4491,322.4,2009-04-05,649,D,0
49.5678,102.7892,325.8,2009-04-05,649,D,0
49.567,102.781,316.8,2009-04-05,649,D,0
49.2256,105.4146,321.0,2009-04-05,649,D,0
49.2538,105.4073,319.1,2009-04-05,649,D,0
49.2869,105.1123,333.6,2009-04-05,649,D,0
49.2272,105.4556,321.5,2009-04-05,649,D,0
49.5667,102.8179,314.2,2009-04-06,554,D,0
49.7442,107.4779,319.3,2009-04-07,637,D,0
50.1966,106.9573,313.9,2009-04-07,637,D,0
49.7412,107.4822,321.9,2009-04-07,637,D,0
49.8646,107.4625,307.9,2009-04-07,1420,N,0
50.1799,106.9757,339.6,2009-04-08,352,D,0
50.1964,106.9196,336.7,2009-04-08,352,D,0
49.7644,107.4849,311.7,2009-04-08,352,D,0
49.7625,107.4991,312.4,2009-04-08,352,D,0
49.7554,107.4822,309.4,2009-04-08,352,D,0
49.7535,107.4963,319.8,2009-04-08,352,D,0
49.8542,107.5043,308.8,2009-04-08,352,D,0
49.8452,107.5014,353.0,2009-04-08,352,D,0
49.8433,107.5157,369.5,2009-04-08,352,D,0
49.8414,107.53,339.2,2009-04-08,352,D,0
49.8362,107.4986,337.1,2009-04-08,352,D,0
49.8343,107.513,379.8,2009-04-08,352,D,0
49.8324,107.5273,376.5,2009-04-08,352,D,0
49.8305,107.5416,320.6,2009-04-08,352,D,0
49.8253,107.5102,372.8,2009-04-08,352,D,0
49.8234,107.5245,439.5,2009-04-08,352,D,0
49.8215,107.5387,430.8,2009-04-08,352,D,0
49.8181,107.493,348.8,2009-04-08,352,D,0
49.8163,107.5074,336.6,2009-04-08,352,D,0
49.8144,107.5217,351.2,2009-04-08,352,D,0
49.8125,107.5358,400.0,2009-04-08,352,D,0
49.8094,107.4991,354.4,2009-04-08,352,D,0
49.8075,107.5134,367.3,2009-04-08,352,D,0
49.8004,107.4962,348.8,2009-04-08,352,D,0
49.7985,107.5105,379.8,2009-04-08,352,D,0
49.7966,107.5246,355.5,2009-04-08,352,D,0
49.7895,107.5076,317.8,2009-04-08,352,D,0
49.7876,107.5217,319.8,2009-04-08,352,D,0
50.1083,107.039,333.9,2009-04-08,352,D,0
50.1193,107.0271,329.0,2009-04-08,352,D,0
50.1303,107.0151,340.0,2009-04-08,352,D,0
50.1322,107.0005,338.7,2009-04-08,352,D,0
50.1413,107.0032,332.5,2009-04-08,352,D,0
50.1432,106.9885,351.3,2009-04-08,352,D,0
50.1524,106.9913,342.9,2009-04-08,352,D,0
50.1542,106.9767,336.1,2009-04-08,352,D,0
50.1597,106.9851,349.2,2009-04-08,352,D,0
50.1634,106.9559,307.8,2009-04-08,352,D,0
50.1689,106.9878,342.5,2009-04-08,352,D,0
50.1726,106.9584,405.0,2009-04-08,352,D,0
50.1744,106.9437,422.8,2009-04-08,352,D,0
50.1762,106.929,355.0,2009-04-08,352,D,0
50.1817,106.961,380.0,2009-04-08,352,D,0
50.1836,106.9464,426.4,2009-04-08,352,D,0
50.1854,106.9317,420.2,2009-04-08,352,D,0
50.1872,106.917,316.0,2009-04-08,352,D,0
50.1909,106.9637,383.6,2009-04-08,352,D,0
50.1927,106.9491,422.5,2009-04-08,352,D,0
50.1946,106.9344,361.7,2009-04-08,352,D,0
50.2019,106.9517,362.4,2009-04-08,352,D,0
50.2038,106.937,355.1,2009-04-08,352,D,0
50.2056,106.9222,368.0,2009-04-08,352,D,0
50.2148,106.9248,337.4,2009-04-08,352,D,0
50.2167,106.9101,326.0,2009-04-08,352,D,0
50.09,107.0336,338.5,2009-04-08,352,D,0
50.0809,107.031,319.9,2009-04-08,352,D,0
50.079,107.0456,369.5,2009-04-08,352,D,0
50.068,107.0578,433.4,2009-04-08,352,D,0
50.123,106.9978,339.4,2009-04-08,352,D,0
50.1212,107.0124,356.2,2009-04-08,352,D,0
50.112,107.0098,349.8,2009-04-08,352,D,0
50.1102,107.0244,355.5,2009-04-08,352,D,0
50.101,107.0217,336.3,2009-04-08,352,D,0
50.0759,104.4956,311.9,2009-04-08,352,D,0
50.0619,104.5416,318.4,2009-04-08,352,D,0
48.4098,108.1879,307.6,2009-04-08,353,D,0
48.4321,106.9488,326.5,2009-04-08,353,D,0
47.0475,115.1388,310.2,2009-04-08,353,D,0
48.4117,108.1745,306.0,2009-04-08,353,D,0
48.4339,106.9353,348.3,2009-04-08,353,D,0
48.3734,91.7081,337.7,2009-04-08,531,D,0
48.3686,91.7303,326.9,2009-04-08,531,D,0
49.7828,107.579,356.6,2009-04-08,541,D,0
49.7804,107.5647,364.0,2009-04-08,541,D,0
49.1547,105.5702,323.3,2009-04-08,541,D,0
49.1578,105.5868,312.4,2009-04-08,541,D,0
49.778,107.5501,333.9,2009-04-08,541,D,0
49.844,107.5031,313.2,2009-04-08,541,D,0
48.424,106.9407,328.9,2009-04-08,541,D,0
48.4335,106.9376,333.0,2009-04-08,541,D,0
48.4308,106.9227,342.3,2009-04-08,541,D,0
48.4068,108.1861,315.3,2009-04-08,541,D,0
48.4045,108.1719,313.2,2009-04-08,541,D,0
49.8374,107.5213,311.0,2009-04-08,541,D,0
49.8002,107.5106,331.8,2009-04-08,541,D,0
49.7569,107.4816,331.1,2009-04-08,541,D,0
49.7479,107.4852,349.6,2009-04-08,541,D,0
49.7389,107.4889,342.8,2009-04-08,541,D,0
49.7648,107.5861,322.4,2009-04-08,541,D,0
49.7984,107.5573,328.2,2009-04-08,541,D,0
49.7738,107.5826,374.2,2009-04-08,541,D,0
49.7624,107.5717,317.8,2009-04-08,541,D,0
49.7714,107.5682,370.4,2009-04-08,541,D,0
49.7894,107.561,369.6,2009-04-08,541,D,0
49.7918,107.5755,339.6,2009-04-08,541,D,0
49.787,107.5465,328.1,2009-04-08,541,D,0
49.8571,107.4666,310.8,2009-04-08,541,D,0
49.8661,107.4629,311.6,2009-04-08,541,D,0
50.0087,107.0818,340.9,2009-04-08,542,D,0
50.0619,107.0684,372.2,2009-04-08,542,D,0
50.0595,107.054,353.8,2009-04-08,542,D,0
50.1088,107.0014,362.9,2009-04-08,542,D,0
50.1063,106.9867,383.3,2009-04-08,542,D,0
50.1038,106.9721,328.6,2009-04-08,542,D,0
50.1178,106.9975,349.0,2009-04-08,542,D,0
50.1153,106.9828,377.4,2009-04-08,542,D,0
50.1129,106.9681,394.4,2009-04-08,542,D,0
50.1104,106.9535,331.2,2009-04-08,542,D,0
50.1224,106.9904,345.5,2009-04-08,542,D,0
50.1198,106.9757,375.0,2009-04-08,542,D,0
50.1173,106.9611,361.5,2009-04-08,542,D,0
50.1314,106.9866,339.0,2009-04-08,542,D,0
50.1289,106.972,373.7,2009-04-08,542,D,0
50.1264,106.9573,329.5,2009-04-08,542,D,0
50.1405,106.9828,340.1,2009-04-08,542,D,0
50.138,106.9682,373.0,2009-04-08,542,D,0
50.1355,106.9536,326.9,2009-04-08,542,D,0
50.1496,106.9791,350.4,2009-04-08,542,D,0
50.1471,106.9645,354.8,2009-04-08,542,D,0
50.1587,106.9754,360.2,2009-04-08,542,D,0
50.1562,106.9609,327.8,2009-04-08,542,D,0
50.1678,106.9717,343.6,2009-04-08,542,D,0
50.1653,106.9571,325.5,2009-04-08,542,D,0
50.1628,106.9426,329.9,2009-04-08,542,D,0
50.1603,106.9279,362.6,2009-04-08,542,D,0
50.1578,106.9132,337.7,2009-04-08,542,D,0
50.1693,106.9239,390.4,2009-04-08,542,D,0
50.1668,106.9092,398.1,2009-04-08,542,D,0
50.1759,106.9053,407.3,2009-04-08,542,D,0
50.1734,106.8906,329.2,2009-04-08,542,D,0
50.1875,106.9162,364.7,2009-04-08,542,D,0
50.185,106.9015,378.5,2009-04-08,542,D,0
50.1965,106.9123,367.4,2009-04-08,542,D,0
50.194,106.8976,361.0,2009-04-08,542,D,0
50.2018,106.9033,342.8,2009-04-08,542,D,0
50.2108,106.8995,348.3,2009-04-08,542,D,0
50.2224,106.9102,334.6,2009-04-08,542,D,0
49.9816,107.0938,316.3,2009-04-08,542,D,0
49.9791,107.0791,317.7,2009-04-08,542,D,0
