latitude,longitude,brightness,acq_date,acq_time,daynight,type
42.4125,19.262,305.1,2009-03-17,928,D,0
42.4027,19.2601,304.8,2009-03-17,928,D,0
42.3959,19.027,306.1,2009-03-18,1156,D,0
42.5863,19.0031,300.3,2009-03-18,1156,D,0
42.2998,18.7568,326.7,2009-03-24,934,D,0
42.633,19.436,307.5,2009-04-05,1144,D,0
42.8239,19.5245,307.7,2009-04-05,1144,D,0
43.04,18.8439,314.7,2009-04-07,946,D,0
42.8128,19.4227,313.3,2009-04-07,946,D,0
42.7808,18.8426,312.4,2009-04-07,946,D,0
43.3667,19.1353,309.0,2009-04-07,946,D,0
43.0221,18.9018,307.9,2009-04-07,946,D,0
42.7029,19.7144,311.1,2009-04-07,1132,D,0
43.0166,18.973,310.9,2009-04-12,1005,D,0
42.7528,19.7841,306.9,2009-04-12,1005,D,0
42.8061,19.8139,313.1,2009-04-12,1150,D,0
43.4132,19.157,320.6,2009-04-12,1150,D,0
42.9502,18.7863,307.4,2009-04-12,1150,D,0
42.9484,18.7741,305.7,2009-04-12,1150,D,0
42.8592,18.9834,312.9,2009-04-12,1150,D,0
42.8611,18.9958,314.1,2009-04-12,1150,D,0
43.125,19.7157,312.5,2009-04-12,1150,D,0
43.0266,19.7981,312.2,2009-04-12,1150,D,0
42.7206,19.7304,313.7,2009-04-12,1150,D,0
42.7796,19.8211,310.9,2009-04-12,1150,D,0
42.8044,19.8019,320.2,2009-04-12,1150,D,0
43.0503,19.7693,304.7,2009-05-09,946,D,0
42.6485,18.614,309.6,2009-05-14,1150,D,0
42.3978,18.9034,312.3,2009-06-08,1143,D,0
42.3616,19.3028,326.8,2009-06-20,1208,D,0
42.3911,19.2206,335.8,2009-07-17,1149,D,0
42.8075,19.8557,316.0,2009-07-30,1118,D,0
42.3968,19.2235,328.8,2009-08-06,940,D,0
42.323,19.2022,322.6,2009-08-31,933,D,0
42.3246,19.1894,329.8,2009-08-31,933,D,0
42.4807,19.2742,326.6,2009-09-01,1201,D,0
42.4017,19.2776,330.2,2009-09-05,1136,D,0
42.4042,19.292,329.4,2009-09-05,1136,D,0
42.3946,19.2952,337.5,2009-09-05,1136,D,0
42.392,19.2808,328.5,2009-09-05,1136,D,0
42.3508,18.7287,318.9,2009-09-07,939,D,0
42.3598,18.7308,331.8,2009-09-07,939,D,0
42.3542,18.7384,308.9,2009-09-07,1124,D,0
42.2879,19.247,312.0,2009-09-08,1207,D,0
42.1889,18.9868,309.6,2009-09-11,915,D,0
43.0175,19.0078,304.6,2009-11-19,1117,D,0
42.8429,19.6632,305.0,2009-11-20,1200,D,0
42.8059,19.0797,308.0,2009-11-20,1200,D,0
42.8075,19.0927,309.1,2009-11-20,1200,D,0
42.8823,19.6528,309.5,2009-11-21,921,D,0
42.8806,19.6703,312.3,2009-11-21,921,D,0
42.8757,19.6626,310.7,2009-11-21,921,D,0
42.8586,19.1216,302.7,2009-11-21,1105,D,0
42.883,19.6656,302.0,2009-11-21,1105,D,0
42.874,19.6291,304.9,2009-11-21,1105,D,0
42.8423,19.6915,304.2,2009-11-22,41,N,0
43.0422,18.8416,300.7,2009-11-22,1004,D,0
42.8607,19.5547,304.9,2009-11-22,1004,D,0
43.059,18.6959,301.5,2009-11-22,1004,D,0
42.8337,19.6903,309.9,2009-11-22,1004,D,0
42.4515,19.4901,314.0,2009-11-22,1147,D,0
43.0533,18.6912,300.7,2009-11-22,1148,D,0
42.9159,18.6408,302.4,2009-11-22,1148,D,0
43.0931,19.0746,302.6,2009-11-22,1148,D,0
43.1696,18.9712,328.8,2009-11-22,1148,D,0
43.1784,18.9686,316.9,2009-11-22,1148,D,0
42.8683,19.4955,303.8,2009-11-22,1148,D,0
42.8797,19.6358,300.0,2009-11-22,1148,D,0
42.8772,19.4932,331.0,2009-11-22,1148,D,0
43.0369,18.8302,304.1,2009-11-22,1148,D,0
43.0388,18.8423,303.5,2009-11-22,1148,D,0
43.0247,18.8717,304.9,2009-11-22,1148,D,0
43.2484,19.1892,303.6,2009-11-22,1148,D,0
42.8728,19.0923,301.8,2009-11-22,1148,D,0
42.6575,19.7584,300.5,2009-11-22,1148,D,0
43.1802,19.1633,303.3,2009-11-22,1148,D,0
43.182,19.1755,310.8,2009-11-22,1148,D,0
42.9615,19.1236,303.6,2009-11-22,1148,D,0
43.1964,18.7213,304.8,2009-11-22,1148,D,0
43.0552,18.7037,300.0,2009-11-22,1148,D,0
42.8337,19.6984,303.3,2009-11-22,1148,D,0
42.8319,19.6864,310.1,2009-11-22,1148,D,0
42.8373,19.5974,302.7,2009-11-22,1148,D,0
42.8356,19.5853,311.3,2009-11-22,1148,D,0
42.8586,19.5539,309.7,2009-11-22,1148,D,0
42.5908,19.7738,302.4,2009-11-23,909,D,0
42.5896,19.7663,311.9,2009-11-23,909,D,0
42.5925,19.7514,319.6,2009-11-23,909,D,0
42.8496,19.1293,301.3,2009-11-25,1218,D,0
42.8479,19.1089,316.4,2009-11-25,1218,D,0
42.9523,19.6282,310.1,2009-11-26,939,D,0
42.9505,19.6405,312.5,2009-11-26,939,D,0
42.7991,19.2749,300.3,2009-11-26,939,D,0
42.5568,19.9925,302.8,2009-11-26,1123,D,0
42.5788,19.7529,305.2,2009-11-26,1123,D,0
43.0401,19.5306,300.7,2009-11-26,1123,D,0
43.0291,19.5342,300.0,2009-11-26,1123,D,0
42.5891,19.7621,300.3,2009-11-26,2046,N,0
