latitude,longitude,brightness,acq_date,acq_time,daynight,type
25.8967,51.553,340.5,2009-01-01,947,D,2
25.9061,51.5511,332.7,2009-01-01,947,D,2
25.895,51.542,339.9,2009-01-01,947,D,2
25.902,51.5496,344.4,2009-01-01,1909,N,2
25.9057,51.5453,318.2,2009-01-01,2154,N,2
25.9038,51.5425,315.5,2009-01-02,1814,N,2
25.9046,51.5522,392.9,2009-01-03,1857,N,2
25.8952,51.5537,305.4,2009-01-03,1857,N,2
25.9031,51.5412,347.1,2009-01-03,1857,N,2
25.8938,51.5427,305.7,2009-01-03,1857,N,2
25.8979,51.5516,306.2,2009-01-04,1802,N,2
25.2725,50.8122,325.2,2009-01-04,2225,N,2
25.9056,51.5488,347.5,2009-01-04,2225,N,2
25.9042,51.5588,333.6,2009-01-04,2225,N,2
25.905,51.5616,323.7,2009-01-05,747,D,2
25.8972,51.5437,313.3,2009-01-05,747,D,2
25.8889,51.5422,306.6,2009-01-05,922,D,2
25.9078,51.5478,338.7,2009-01-05,1844,N,2
25.8988,51.5495,328.0,2009-01-05,1844,N,2
25.2703,50.81,314.4,2009-01-05,1844,N,2
25.9155,51.5458,312.5,2009-01-05,2308,N,2
25.9088,51.5568,336.7,2009-01-06,1927,N,2
25.9059,51.5215,304.8,2009-01-06,1927,N,2
25.9016,51.5522,335.9,2009-01-06,1927,N,2
25.9044,51.5557,343.5,2009-01-06,2213,N,2
25.8854,51.5393,300.8,2009-01-06,2213,N,2
25.3815,50.8031,325.7,2009-01-06,2213,N,0
25.9061,51.5423,324.4,2009-01-06,2213,N,2
25.9117,51.5501,345.6,2009-01-06,2213,N,2
25.8998,51.5621,304.8,2009-01-06,2213,N,2
25.9013,51.5486,320.4,2009-01-06,2213,N,2
25.9033,51.5555,357.5,2009-01-07,735,D,2
25.8841,51.5187,321.9,2009-01-07,910,D,2
25.8961,51.5388,305.4,2009-01-07,1832,N,2
25.9064,51.5366,320.1,2009-01-07,1832,N,2
25.8985,51.5521,320.5,2009-01-07,1832,N,2
25.9087,51.5499,341.3,2009-01-07,1832,N,2
25.9001,51.5444,349.4,2009-01-07,1832,N,2
25.9023,51.5577,322.5,2009-01-07,1832,N,2
25.9053,51.5578,312.4,2009-01-07,2255,N,2
25.9012,51.5523,379.6,2009-01-08,953,D,2
25.8964,51.5425,311.2,2009-01-08,1915,N,2
25.8983,51.558,325.9,2009-01-08,1915,N,2
25.9111,51.5565,342.4,2009-01-08,1915,N,2
25.8963,51.5368,312.6,2009-01-08,1915,N,2
25.9091,51.5353,324.5,2009-01-08,1915,N,2
25.8985,51.5637,306.3,2009-01-08,1915,N,2
25.907,51.5531,361.7,2009-01-08,2200,N,2
25.8993,51.5565,362.7,2009-01-09,722,D,2
25.9097,51.5482,311.4,2009-01-09,722,D,2
25.9008,51.5466,390.2,2009-01-09,722,D,2
25.9016,51.5502,351.2,2009-01-09,1820,N,2
25.8974,51.529,317.4,2009-01-09,1820,N,2
25.2672,50.8072,300.6,2009-01-09,1820,N,2
25.2714,50.8099,323.8,2009-01-09,2243,N,2
25.9063,51.5492,361.7,2009-01-09,2243,N,2
25.886,51.545,309.8,2009-01-09,2243,N,2
25.2931,50.8016,303.1,2009-01-09,2243,N,0
25.2812,50.8118,314.4,2009-01-09,2243,N,0
25.904,51.5623,352.1,2009-01-09,2243,N,2
25.8968,51.5383,343.4,2009-01-10,941,D,2
25.902,51.5573,323.9,2009-01-10,941,D,2
25.8991,51.5515,355.1,2009-01-10,941,D,2
25.8998,51.5441,383.2,2009-01-10,941,D,2
25.2669,50.8079,307.3,2009-01-10,1903,N,2
25.9054,51.5516,350.2,2009-01-10,1903,N,2
25.9042,51.5588,316.0,2009-01-10,1903,N,2
25.9027,51.5456,322.4,2009-01-10,1903,N,2
25.2689,50.8156,306.5,2009-01-11,2231,N,2
25.8978,51.54,330.7,2009-01-12,753,D,2
25.9015,51.5478,342.4,2009-01-12,753,D,2
25.2768,50.8081,301.2,2009-01-12,1850,N,0
25.9055,51.541,319.6,2009-01-12,1850,N,2
25.2679,50.8097,310.0,2009-01-12,1850,N,2
25.9068,51.551,344.1,2009-01-12,1850,N,2
25.9054,51.5496,337.0,2009-01-12,2314,N,2
25.904,51.5583,331.6,2009-01-13,658,D,2
25.9192,51.5256,318.3,2009-01-13,658,D,2
25.9211,51.5084,337.7,2009-01-13,658,D,0
25.9035,51.5562,352.6,2009-01-13,1011,D,2
25.8916,51.5445,312.4,2009-01-13,1011,D,2
25.91,51.5456,342.1,2009-01-13,1933,N,2
