latitude,longitude,brightness,acq_date,acq_time,daynight,type
1.3213,103.6729,309.8,2009-04-22,417,D,0
1.3215,103.6661,309.2,2009-04-22,417,D,0
1.3204,103.6995,315.7,2009-04-25,611,D,0
1.3162,103.6711,316.6,2009-04-25,611,D,0
1.3134,103.6747,313.0,2009-05-01,411,D,0
1.3192,103.684,309.2,2009-06-02,411,D,0
1.3226,103.6563,313.8,2009-08-07,358,D,0
1.3251,103.707,310.1,2009-08-14,404,D,0
1.3191,103.6779,318.2,2009-08-22,616,D,0
1.3159,103.6565,317.9,2009-08-22,616,D,0
1.3174,103.6787,315.1,2009-10-25,615,D,0
1.3252,103.6893,312.8,2009-11-17,621,D,0
1.3139,103.6559,317.3,2009-11-26,615,D,0
1.4155,103.7455,315.6,2009-12-08,340,D,0
