latitude,longitude,brightness,acq_date,acq_time,daynight,type
0.7631,43.1465,328.1,2009-01-01,1118,D,0
0.0597,42.6694,323.7,2009-01-01,1118,D,0
0.767,43.1747,346.8,2009-01-01,1118,D,0
0.0563,42.6769,322.9,2009-01-01,1118,D,0
0.7704,43.1796,348.6,2009-01-01,1118,D,0
0.7663,43.1515,337.5,2009-01-01,1118,D,0
2.4583,45.4777,354.2,2009-01-02,1023,D,0
2.4501,45.4902,337.5,2009-01-02,1023,D,0
2.4484,45.4792,342.0,2009-01-02,1023,D,0
1.6111,44.0966,328.8,2009-01-02,1023,D,0
2.4599,45.4887,343.2,2009-01-02,1023,D,0
0.5974,42.4749,326.8,2009-01-02,1023,D,0
1.5462,44.0613,336.3,2009-01-03,1106,D,0
1.5434,44.0419,326.7,2009-01-03,1106,D,0
0.4338,42.6323,328.2,2009-01-03,1106,D,0
1.4361,43.9257,336.5,2009-01-03,1106,D,0
1.2995,43.7502,319.8,2009-01-04,1011,D,0
0.6936,43.0368,320.7,2009-01-04,1011,D,0
2.3232,44.0971,326.0,2009-01-04,1011,D,0
0.4346,42.6265,321.9,2009-01-05,754,D,0
1.5735,44.119,339.9,2009-01-05,1054,D,0
1.6911,44.5726,324.6,2009-01-07,1042,D,0
1.5946,44.0933,328.5,2009-01-07,1042,D,0
1.5818,44.0679,338.1,2009-01-07,1042,D,0
1.5792,44.1137,331.7,2009-01-07,1042,D,0
0.765,43.1868,326.5,2009-01-07,1042,D,0
1.5345,43.993,330.0,2009-01-07,1042,D,0
1.4956,43.9772,333.5,2009-01-07,1042,D,0
1.4943,43.9683,332.4,2009-01-07,1042,D,0
1.4841,44.0879,333.0,2009-01-07,1042,D,0
0.4837,42.8991,330.6,2009-01-07,1042,D,0
1.493,43.9594,332.4,2009-01-07,1042,D,0
0.3373,42.6154,328.8,2009-01-09,1029,D,0
0.0502,42.6891,329.1,2009-01-09,1029,D,0
2.591,45.5654,326.3,2009-01-11,1018,D,0
0.0843,42.661,329.9,2009-01-12,1100,D,0
0.2372,42.7309,333.5,2009-01-12,1100,D,0
0.1212,42.6387,326.4,2009-01-12,1100,D,0
0.4779,42.9094,343.6,2009-01-12,1100,D,0
0.0826,42.6498,331.5,2009-01-12,1100,D,0
0.4762,42.8976,351.3,2009-01-12,1100,D,0
0.703,43.0747,318.8,2009-01-13,705,D,0
0.7057,43.0679,321.6,2009-01-13,705,D,0
-0.7029,41.545,323.2,2009-01-14,1048,D,0
0.0276,42.6582,328.9,2009-01-14,1048,D,0
0.1703,42.6565,328.1,2009-01-18,1023,D,0
2.6644,45.5543,384.7,2009-01-18,1024,D,0
1.5655,44.0524,331.7,2009-01-18,1024,D,0
2.6628,45.5434,325.0,2009-01-18,1024,D,0
2.6448,45.5572,327.3,2009-01-18,1024,D,0
1.0948,43.6369,344.1,2009-01-20,711,D,0
1.0934,43.6496,327.7,2009-01-20,711,D,0
1.0963,43.6301,335.6,2009-01-20,711,D,0
1.1096,43.4579,329.2,2009-01-21,1054,D,0
0.7948,43.1815,323.8,2009-01-25,1030,D,0
2.6469,45.5567,332.3,2009-01-25,1030,D,0
0.5519,42.9505,321.1,2009-01-25,1030,D,0
0.8166,42.6331,336.3,2009-01-25,1030,D,0
0.687,43.0534,321.1,2009-01-26,1113,D,0
