latitude,longitude,brightness,acq_date,acq_time,daynight,type
23.5635,120.3827,309.6,2009-01-02,532,D,0
23.7256,120.3774,308.3,2009-01-06,508,D,0
23.2651,120.82,319.8,2009-01-07,239,D,0
23.2562,120.8185,315.1,2009-01-07,239,D,0
22.9188,120.3004,311.3,2009-01-07,551,D,0
23.3319,120.6508,316.8,2009-01-08,456,D,0
23.3336,120.6462,311.0,2009-01-08,456,D,0
23.337,120.6641,311.0,2009-01-08,456,D,0
22.5368,120.3537,314.4,2009-01-09,538,D,2
23.2775,120.6986,301.9,2009-01-11,526,D,0
24.1326,120.5004,311.3,2009-01-11,527,D,0
23.8318,120.3792,318.4,2009-01-11,527,D,0
23.4568,120.7309,301.9,2009-01-11,1735,N,0
23.4582,120.7189,305.6,2009-01-11,1735,N,0
23.4601,120.7269,320.4,2009-01-12,257,D,0
23.4495,120.7269,333.0,2009-01-12,257,D,0
23.4603,120.7366,303.8,2009-01-12,1353,N,0
23.4464,120.7222,304.3,2009-01-12,1353,N,0
23.4491,120.7378,300.8,2009-01-12,1353,N,0
24.1237,120.5927,307.2,2009-01-13,514,D,0
23.4521,120.7308,308.4,2009-01-13,514,D,0
23.0739,120.4349,309.3,2009-01-13,514,D,0
24.1221,120.5823,318.2,2009-01-13,514,D,0
24.459,120.6752,301.0,2009-01-13,515,D,0
24.4573,120.6649,300.6,2009-01-13,515,D,0
24.0978,120.6366,310.7,2009-01-14,245,D,0
24.0964,120.6463,306.5,2009-01-14,245,D,0
24.6785,120.885,301.7,2009-01-14,245,D,0
23.3475,120.6642,306.9,2009-01-15,502,D,0
23.432,120.3077,312.0,2009-01-16,545,D,0
24.1556,120.5089,304.8,2009-01-17,1412,N,0
23.481,120.7014,306.1,2009-01-18,221,D,0
23.7926,120.5994,314.8,2009-01-18,533,D,0
24.107,120.5928,313.8,2009-01-18,533,D,0
23.5186,120.3689,319.0,2009-01-18,533,D,0
22.5412,120.3556,319.5,2009-01-20,520,D,2
23.7892,120.9445,306.3,2009-01-21,251,D,0
23.4087,120.7103,310.0,2009-01-21,1347,N,0
23.4065,120.7156,301.4,2009-01-21,1347,N,0
23.4193,120.7155,300.5,2009-01-21,1347,N,0
23.3297,120.6536,314.7,2009-01-27,527,D,0
22.7262,120.5459,312.4,2009-01-27,527,D,0
22.5381,120.3558,318.4,2009-01-29,514,D,2
22.9127,120.21,315.9,2009-02-01,233,D,0
22.9142,120.1988,312.0,2009-02-01,233,D,0
24.2269,120.5883,312.6,2009-02-01,546,D,0
22.5403,120.3552,310.4,2009-02-02,1412,N,2
24.0936,121.2179,326.2,2009-02-07,509,D,0
24.0918,121.2069,320.8,2009-02-07,509,D,0
24.1267,120.5847,312.7,2009-02-09,457,D,0
24.404,120.6838,312.4,2009-02-10,540,D,0
23.3585,120.6527,305.3,2009-02-10,1748,N,0
23.3423,120.6447,320.8,2009-02-11,444,D,0
23.3472,120.6475,323.1,2009-02-11,444,D,0
23.8353,120.6987,320.9,2009-02-12,527,D,0
23.3516,120.6627,313.0,2009-02-12,527,D,0
23.3502,120.6527,309.5,2009-02-12,527,D,0
23.7151,121.481,311.7,2009-02-13,257,D,0
23.3565,120.6611,317.7,2009-02-13,257,D,0
