latitude,longitude,brightness,acq_date,acq_time,daynight,type
48.2757,14.3369,311.7,2010-01-16,1008,D,2
48.2736,14.3257,302.2,2010-02-17,2118,N,2
48.2679,14.3338,302.2,2010-02-21,1131,D,2
48.2721,14.3283,303.4,2010-02-21,2053,N,2
48.2758,14.3329,310.6,2010-02-24,1015,D,2
47.9057,16.3207,307.1,2010-02-26,1002,D,0
48.2676,14.314,301.8,2010-02-27,1232,D,2
48.2773,14.3302,305.9,2010-02-27,1232,D,2
48.2695,14.3367,304.9,2010-02-27,1232,D,2
48.2769,14.3412,302.6,2010-03-01,1033,D,2
48.2735,14.333,307.2,2010-03-01,1033,D,2
48.2737,14.3323,309.1,2010-03-01,1220,D,2
48.272,14.316,302.1,2010-03-01,1220,D,2
48.2734,14.3218,302.8,2010-03-03,1021,D,2
48.2709,14.3363,306.5,2010-03-03,1021,D,2
48.2706,14.3535,309.5,2010-03-03,1207,D,2
48.2688,14.34,314.6,2010-03-03,1207,D,2
48.2743,14.3413,306.0,2010-03-18,938,D,2
48.2735,14.3175,303.7,2010-03-18,1125,D,2
48.2734,14.335,307.6,2010-03-19,1207,D,2
48.2716,14.3215,303.9,2010-03-19,1207,D,2
48.2761,14.3313,318.8,2010-03-23,956,D,2
48.269,14.3306,319.8,2010-03-23,1143,D,2
48.2769,14.3298,321.5,2010-03-23,2106,N,2
48.2816,14.3275,301.2,2010-03-24,116,N,2
48.2797,14.3408,310.9,2010-03-24,116,N,2
48.2746,14.3292,310.0,2010-03-25,944,D,2
48.2765,14.3356,311.6,2010-03-25,944,D,2
48.2677,14.3223,302.7,2010-03-25,1131,D,2
48.275,14.3194,307.1,2010-03-25,2053,N,2
48.277,14.3326,312.2,2010-03-25,2053,N,2
48.2758,14.3331,307.4,2010-03-26,104,N,2
48.2794,14.3373,304.4,2010-03-26,1027,D,2
48.2692,14.3372,322.2,2010-03-26,1213,D,2
48.2674,14.3228,319.5,2010-03-26,1213,D,2
48.2733,14.3446,316.4,2010-03-30,1002,D,2
48.2751,14.3309,327.0,2010-03-30,1002,D,2
48.2767,14.3375,319.3,2010-03-30,1149,D,2
48.274,14.3225,322.6,2010-03-30,1149,D,2
48.2718,14.3287,328.4,2010-03-30,1149,D,2
48.1892,15.613,307.1,2010-03-30,1149,D,0
48.2758,14.3369,310.4,2010-04-01,950,D,2
48.2741,14.3426,310.0,2010-04-01,950,D,2
48.162,16.4495,303.1,2010-04-01,1136,D,0
48.1716,16.4453,306.0,2010-04-01,1136,D,0
48.2768,14.3237,305.6,2010-04-01,1137,D,2
48.2663,14.3287,308.1,2010-04-01,1137,D,2
48.276,14.3295,308.7,2010-04-01,1137,D,2
48.2747,14.3338,309.5,2010-04-03,938,D,2
48.2719,14.3403,300.7,2010-04-03,1124,D,2
48.2711,14.3334,303.7,2010-04-03,1124,D,2
48.2768,14.3377,329.4,2010-04-03,2047,N,2
48.2746,14.324,312.5,2010-04-03,2047,N,2
48.2727,14.3281,304.1,2010-04-04,1021,D,2
48.2722,14.3199,316.5,2010-04-04,1207,D,2
48.2741,14.3334,331.5,2010-04-04,1207,D,2
48.1169,14.8827,306.8,2010-04-06,1155,D,0
48.2772,14.3293,310.0,2010-04-06,2118,N,2
48.2757,14.3411,306.6,2010-04-07,128,N,2
48.2782,14.3266,300.5,2010-04-07,128,N,2
48.2825,14.3225,303.2,2010-04-07,1051,D,2
48.2752,14.3108,310.1,2010-04-07,1238,D,2
48.2724,14.3186,314.8,2010-04-07,1238,D,2
48.2708,14.327,303.5,2010-04-07,2023,N,2
48.2769,14.33,327.0,2010-04-08,956,D,2
48.2751,14.345,324.0,2010-04-08,956,D,2
48.2704,14.3302,318.8,2010-04-08,1142,D,2
48.0331,12.8295,318.5,2010-04-08,1143,D,0
48.2798,14.3292,310.0,2010-04-08,2106,N,2
48.2747,14.3345,305.5,2010-04-09,116,N,2
48.2836,14.3374,306.0,2010-04-09,116,N,2
48.2741,14.3221,319.9,2010-04-09,1225,D,2
48.2795,14.3335,315.0,2010-04-17,950,D,2
48.2694,14.3312,312.5,2010-04-17,950,D,2
48.2689,14.3354,319.8,2010-04-17,1136,D,2
48.2705,14.3285,305.7,2010-04-17,2059,N,2
48.2794,14.3258,308.3,2010-04-17,2059,N,2
48.2751,14.3309,306.8,2010-04-18,110,N,2
48.2841,14.3335,300.4,2010-04-18,110,N,2
48.2738,14.3426,301.5,2010-04-19,152,N,2
48.2683,14.3416,307.7,2010-04-19,938,D,2
48.2714,14.3338,308.4,2010-04-19,1124,D,2
48.2757,14.3417,300.5,2010-04-19,2047,N,2
48.2735,14.3279,312.4,2010-04-19,2047,N,2
48.2762,14.3263,313.7,2010-04-20,1021,D,2
48.2295,13.0366,312.7,2010-04-20,1021,D,0
48.2737,14.3408,316.7,2010-04-20,1021,D,2
48.2744,14.3288,313.3,2010-04-20,1207,D,2
48.2733,14.3365,303.4,2010-04-20,2130,N,2
48.2746,14.3409,305.4,2010-04-21,140,N,2
48.2678,14.3166,306.0,2010-04-21,1250,D,2
48.279,14.3363,314.4,2010-04-22,1008,D,2
48.2702,14.3335,316.8,2010-04-22,1008,D,2
48.2243,13.0274,309.8,2010-04-22,1155,D,0
48.6737,15.3955,304.0,2010-04-22,1155,D,0
