latitude,longitude,brightness,acq_date,acq_time,daynight,type
-21.784,25.8449,333.8,2010-01-13,818,D,0
-21.7884,25.8704,329.9,2010-01-13,818,D,0
-21.7781,25.8724,331.5,2010-01-13,818,D,0
-21.7862,25.8577,346.7,2010-01-13,818,D,0
-21.7972,25.8746,326.2,2010-01-14,901,D,0
-21.7932,25.8683,327.6,2010-01-14,901,D,0
-21.7604,25.8113,328.8,2010-01-14,1148,D,0
-21.643,26.6318,339.5,2010-01-18,836,D,0
-21.6523,26.6304,342.2,2010-01-18,837,D,0
-21.6018,26.6277,305.9,2010-01-18,2046,N,0
-21.6004,26.6387,309.0,2010-01-18,2046,N,0
-22.0541,23.8579,305.8,2010-01-19,920,D,0
-21.6054,26.6213,339.4,2010-01-19,1207,D,0
-18.8684,22.3467,316.2,2010-01-19,1208,D,0
-21.5958,23.2243,314.6,2010-01-30,1149,D,0
-19.3209,22.647,310.2,2010-02-01,1137,D,0
-20.8952,23.9607,301.5,2010-02-03,2357,N,0
-20.9032,23.9488,300.6,2010-02-03,2357,N,0
-20.8938,23.93,323.2,2010-02-04,919,D,0
-20.9025,23.924,338.4,2010-02-04,919,D,0
-20.9055,23.9583,321.9,2010-02-04,919,D,0
-20.9098,23.9285,336.4,2010-02-04,919,D,0
-26.098,21.3315,309.5,2010-02-10,2052,N,0
-26.0959,21.354,302.2,2010-02-10,2052,N,0
-26.0885,21.3241,306.6,2010-02-11,4,N,0
-26.087,21.3131,305.0,2010-02-11,4,N,0
-26.0878,21.3128,342.5,2010-02-11,927,D,0
-26.0942,21.3192,333.3,2010-02-11,927,D,0
-26.0784,21.3206,338.3,2010-02-11,927,D,0
-19.6629,22.9664,321.5,2010-02-11,1214,D,0
-19.1524,22.4019,331.6,2010-02-11,1214,D,0
-19.6538,22.965,332.9,2010-02-11,1214,D,0
-26.1356,21.3942,332.3,2010-02-12,832,D,0
-26.128,21.3884,341.2,2010-02-12,832,D,0
-26.0509,21.3799,318.3,2010-02-12,2352,N,0
-26.0434,21.3917,317.0,2010-02-12,2352,N,0
-26.0418,21.3816,318.7,2010-02-12,2352,N,0
-26.0599,21.3782,314.1,2010-02-12,2352,N,0
-26.0707,21.385,339.6,2010-02-13,915,D,0
-26.0453,21.3879,347.1,2010-02-13,915,D,0
-26.0325,21.3894,332.9,2010-02-13,915,D,0
-26.0813,21.3626,331.1,2010-02-13,915,D,0
-26.0704,21.3783,336.8,2010-02-13,915,D,0
-26.058,21.3864,359.1,2010-02-13,915,D,0
-26.0802,21.3883,341.3,2010-02-13,1200,D,0
-26.0451,21.3548,337.8,2010-02-13,1200,D,0
-26.0169,21.376,312.7,2010-02-13,2122,N,0
-25.2323,24.734,370.8,2010-02-14,1243,D,0
-25.2218,24.7241,339.3,2010-02-14,1243,D,0
-25.2347,24.7273,379.3,2010-02-14,1243,D,0
-25.2367,24.7121,368.7,2010-02-14,1243,D,0
-23.454,26.5887,324.9,2010-03-09,825,D,0
-23.4524,26.5787,341.4,2010-03-09,825,D,0
-23.4449,26.5903,331.2,2010-03-09,825,D,0
-23.4434,26.5803,332.7,2010-03-09,825,D,0
-19.5682,23.1184,327.9,2010-03-13,1226,D,0
-19.5665,23.1291,349.6,2010-03-13,1226,D,0
-23.8541,26.6672,334.8,2010-03-14,843,D,0
-23.8437,26.6687,329.8,2010-03-14,843,D,0
-23.8454,26.6819,326.1,2010-03-14,843,D,0
-23.8557,26.6804,321.3,2010-03-14,843,D,0
-24.7379,24.8001,331.8,2010-03-15,1212,D,0
-21.0065,23.8896,339.1,2010-03-15,1213,D,0
-24.6076,24.7094,317.4,2010-03-23,838,D,0
-20.3006,26.1642,311.5,2010-05-02,1213,D,0
-23.1039,26.0079,310.5,2010-05-05,1242,D,0
-23.1067,26.0036,310.6,2010-05-05,1242,D,0
-23.0969,24.3182,329.9,2010-05-11,1206,D,0
-23.0925,24.3122,318.6,2010-05-11,1206,D,0
-23.0911,24.3227,318.7,2010-05-11,1206,D,0
-23.0925,26.0778,342.1,2010-05-16,1224,D,0
-23.0964,26.0694,319.8,2010-05-16,1224,D,0
-23.0939,26.0837,347.2,2010-05-16,1224,D,0
-23.09,26.0921,317.9,2010-05-16,1224,D,0
-23.1032,26.08,309.4,2010-05-16,1224,D,0
-19.9046,25.7365,317.6,2010-05-18,1213,D,0
