latitude,longitude,brightness,acq_date,acq_time,daynight,type
20.874,-77.1667,324.8,2010-01-01,1556,D,0
21.6407,-78.6425,311.9,2010-01-01,1556,D,0
22.8384,-80.3002,309.9,2010-01-01,1556,D,0
22.1972,-79.6396,315.1,2010-01-01,1556,D,0
20.8652,-77.1641,319.2,2010-01-01,1556,D,0
20.8668,-77.174,313.8,2010-01-01,1556,D,0
20.9159,-78.178,318.1,2010-01-01,1906,D,0
20.9001,-78.1993,312.1,2010-01-01,1906,D,0
20.9135,-78.2008,341.0,2010-01-01,1906,D,0
20.9097,-78.2077,328.8,2010-01-01,1906,D,0
20.9119,-78.1849,335.2,2010-01-01,1906,D,0
21.9627,-78.5793,319.1,2010-01-01,1907,D,0
22.9569,-81.1169,316.6,2010-01-01,1907,D,0
21.6457,-78.6356,354.5,2010-01-01,1907,D,0
22.9441,-81.1306,314.6,2010-01-01,1907,D,0
22.7096,-81.1937,330.6,2010-01-01,1907,D,0
22.9459,-81.1154,318.3,2010-01-01,1907,D,0
21.9602,-78.5862,315.7,2010-01-01,1907,D,0
21.6435,-78.6573,328.2,2010-01-01,1907,D,0
21.9624,-78.5639,311.9,2010-01-01,1907,D,0
22.9584,-81.1239,319.1,2010-01-01,1907,D,0
22.9047,-81.0953,302.6,2010-01-02,716,N,0
20.4401,-76.3713,314.2,2010-01-02,1811,D,0
20.6855,-75.9474,318.3,2010-01-02,1811,D,0
21.634,-78.6363,306.8,2010-01-03,334,N,0
21.7645,-79.9817,301.6,2010-01-03,334,N,0
20.747,-75.8728,320.4,2010-01-03,1544,D,0
20.2719,-77.0623,340.0,2010-01-03,1544,D,0
20.2192,-77.0194,313.1,2010-01-03,1544,D,0
20.6758,-76.9283,310.2,2010-01-03,1544,D,0
21.9179,-78.7459,312.8,2010-01-05,1842,D,0
21.7419,-78.7548,321.3,2010-01-05,1842,D,0
22.8216,-81.5118,315.1,2010-01-05,1842,D,0
22.8168,-81.5429,315.1,2010-01-05,1842,D,0
21.7509,-78.7562,324.5,2010-01-05,1842,D,0
21.7612,-78.748,335.2,2010-01-05,1842,D,0
21.7599,-78.7577,325.1,2010-01-05,1842,D,0
21.6716,-78.9308,307.9,2010-01-05,1842,D,0
21.6859,-78.8938,317.8,2010-01-05,1842,D,0
21.7191,-78.9189,322.0,2010-01-05,1842,D,0
22.966,-80.6806,311.8,2010-01-05,1842,D,0
22.9645,-80.6905,316.3,2010-01-05,1842,D,0
22.2195,-81.0461,307.3,2010-01-05,1842,D,0
21.7953,-78.985,304.0,2010-01-06,652,N,0
21.6952,-79.3338,317.7,2010-01-06,1614,D,0
21.7896,-78.9856,321.1,2010-01-06,1614,D,0
22.912,-80.3987,311.0,2010-01-06,1614,D,0
21.7918,-78.9987,312.8,2010-01-06,1614,D,0
21.6252,-79.2299,315.6,2010-01-06,1614,D,0
21.623,-79.2171,321.6,2010-01-06,1614,D,0
20.145,-77.3655,343.3,2010-01-07,1829,D,0
20.3498,-76.9823,313.3,2010-01-07,1829,D,0
20.201,-77.3614,358.4,2010-01-07,1829,D,0
20.2025,-77.3516,324.9,2010-01-07,1829,D,0
20.4303,-77.0025,314.4,2010-01-07,1829,D,0
20.435,-77.033,319.5,2010-01-07,1829,D,0
20.0904,-77.356,309.2,2010-01-07,1829,D,0
20.444,-77.0346,341.3,2010-01-07,1829,D,0
20.6591,-77.014,322.0,2010-01-07,1829,D,0
20.4454,-77.0249,320.0,2010-01-07,1829,D,0
20.1955,-77.1528,311.7,2010-01-07,1829,D,0
20.1465,-77.3557,343.9,2010-01-07,1829,D,0
22.7598,-81.203,317.5,2010-01-07,1830,D,0
21.4739,-78.4525,327.5,2010-01-07,1830,D,0
21.4755,-78.4419,338.5,2010-01-07,1830,D,0
21.8259,-78.5628,315.0,2010-01-07,1830,D,0
21.4242,-78.1799,325.3,2010-01-07,1830,D,0
20.8467,-77.9036,309.2,2010-01-07,1830,D,0
21.328,-77.8934,316.5,2010-01-07,1830,D,0
