latitude,longitude,brightness,acq_date,acq_time,daynight,type
-22.7098,-59.5164,314.9,2010-01-01,1429,D,0
-22.6408,-58.9356,320.0,2010-01-01,1429,D,0
-24.0007,-59.59,323.0,2010-01-01,1429,D,0
-22.6277,-58.8607,317.6,2010-01-01,1429,D,0
-22.0006,-62.0602,318.5,2010-01-01,1429,D,0
-22.4727,-58.7238,315.2,2010-01-01,1429,D,0
-22.0883,-59.2796,314.6,2010-01-01,1429,D,0
-22.7614,-59.4425,315.9,2010-01-01,1429,D,0
-22.5042,-58.8531,317.2,2010-01-01,1429,D,0
-23.5531,-59.0316,313.1,2010-01-01,1429,D,0
-22.7548,-61.9199,323.9,2010-01-01,1429,D,0
-22.8637,-61.4704,320.5,2010-01-01,1429,D,0
-22.1138,-61.8386,328.1,2010-01-01,1429,D,0
-22.5059,-58.8386,319.1,2010-01-01,1429,D,0
-20.8107,-58.9072,316.0,2010-01-01,1716,D,0
-22.1265,-60.5193,310.9,2010-01-01,1716,D,0
-22.6841,-61.3774,318.9,2010-01-01,1716,D,0
-23.7861,-59.4425,317.6,2010-01-01,1716,D,0
-23.0315,-60.9158,310.5,2010-01-02,238,N,0
-23.0329,-60.9267,304.2,2010-01-02,238,N,0
-21.878,-59.8757,330.9,2010-01-02,1759,D,0
-21.6436,-59.3707,327.1,2010-01-02,1759,D,0
-21.8799,-59.8749,321.3,2010-01-03,1417,D,0
-24.5885,-56.2653,321.9,2010-01-04,1746,D,0
-23.1802,-59.6208,325.6,2010-01-04,1746,D,0
-21.874,-59.8634,390.2,2010-01-04,1747,D,0
-21.8523,-59.2557,323.6,2010-01-04,1747,D,0
-20.6522,-58.1552,322.3,2010-01-04,1747,D,0
-22.6747,-61.3643,304.7,2010-01-05,309,N,0
-22.6719,-61.3485,304.7,2010-01-05,309,N,0
-22.206,-59.4697,327.7,2010-01-05,1404,D,0
-21.8019,-58.7149,369.1,2010-01-05,1404,D,0
-23.6418,-59.9836,319.4,2010-01-05,1405,D,0
-24.1775,-58.1288,328.0,2010-01-05,1405,D,0
-23.8347,-57.651,313.9,2010-01-05,1405,D,0
-26.3122,-57.1169,318.3,2010-01-05,1405,D,0
-22.6849,-59.6872,323.1,2010-01-05,1405,D,0
-27.2019,-57.7799,320.0,2010-01-05,1406,D,0
-23.7149,-55.7335,316.8,2010-01-05,1651,D,0
-22.6731,-60.9173,322.0,2010-01-05,1829,D,0
-22.6788,-60.9456,323.2,2010-01-05,1829,D,0
-21.6411,-61.1396,316.8,2010-01-05,1830,D,0
-22.2467,-60.4127,306.1,2010-01-06,214,N,0
-22.3797,-58.8159,318.4,2010-01-06,214,N,0
-21.4499,-60.9178,305.3,2010-01-06,214,N,0
-21.9966,-59.1004,311.3,2010-01-06,214,N,0
-20.5126,-60.8751,305.1,2010-01-06,215,N,0
-20.5198,-60.8943,305.9,2010-01-06,215,N,0
-20.5174,-60.8693,303.9,2010-01-06,215,N,0
-19.8776,-59.4249,310.2,2010-01-06,215,N,0
-19.8694,-59.4186,309.2,2010-01-06,524,N,0
-20.5174,-60.8729,312.0,2010-01-06,524,N,0
-20.5159,-60.8827,313.2,2010-01-06,524,N,0
-23.9198,-60.1518,307.2,2010-01-06,525,N,0
-21.4511,-60.9143,309.9,2010-01-06,525,N,0
-21.7357,-59.6732,306.9,2010-01-06,525,N,0
-20.9418,-60.133,306.8,2010-01-06,525,N,0
-22.246,-60.4036,308.2,2010-01-06,525,N,0
-22.2428,-59.5066,324.0,2010-01-06,1447,D,0
-22.2487,-60.3937,320.1,2010-01-06,1447,D,0
-22.2464,-60.4174,320.0,2010-01-06,1447,D,0
-22.2529,-60.4112,322.3,2010-01-06,1447,D,0
-22.2414,-59.501,323.0,2010-01-06,1447,D,0
-21.8707,-59.2969,322.1,2010-01-06,1447,D,0
-21.856,-59.2954,323.3,2010-01-06,1447,D,0
-20.5165,-60.8798,324.7,2010-01-06,1447,D,0
-21.245,-59.9895,321.4,2010-01-06,1447,D,0
-22.1127,-61.8379,322.2,2010-01-06,1447,D,0
-23.3537,-59.3482,323.2,2010-01-06,1448,D,0
-23.2349,-59.3306,374.6,2010-01-06,1448,D,0
-23.2333,-59.3533,321.2,2010-01-06,1448,D,0
-23.351,-59.3777,335.2,2010-01-06,1448,D,0
-24.1738,-58.1366,317.1,2010-01-06,1448,D,0
-23.3175,-60.5615,317.8,2010-01-06,1448,D,0
-24.1675,-58.1308,317.4,2010-01-06,1448,D,0
-22.8448,-59.4999,344.0,2010-01-06,1448,D,0
-23.3518,-59.3722,339.6,2010-01-06,1448,D,0
-22.8446,-59.4928,339.7,2010-01-06,1448,D,0
-23.2361,-59.3239,376.2,2010-01-06,1448,D,0
-23.2375,-59.301,331.1,2010-01-06,1448,D,0
-22.842,-59.5211,350.5,2010-01-06,1448,D,0
-22.6607,-61.1943,321.9,2010-01-06,1448,D,0
-22.8273,-59.5196,321.8,2010-01-06,1448,D,0
-23.0859,-61.2105,325.6,2010-01-06,1448,D,0
-22.6478,-61.1928,321.9,2010-01-06,1448,D,0
-22.8424,-59.5281,340.5,2010-01-06,1448,D,0
-23.3536,-59.3776,323.9,2010-01-06,1734,D,0
-23.3202,-60.5617,323.8,2010-01-06,1734,D,0
-23.5007,-55.8753,336.9,2010-01-06,1734,D,0
-23.7034,-55.7486,349.1,2010-01-06,1734,D,0
-23.0238,-56.5295,323.7,2010-01-06,1734,D,0
-22.7514,-56.225,321.9,2010-01-06,1734,D,0
-23.7995,-56.0374,327.4,2010-01-06,1734,D,0
-23.2635,-58.8034,326.7,2010-01-06,1734,D,0
-24.0075,-56.2131,328.9,2010-01-06,1734,D,0
-23.7048,-55.7584,375.7,2010-01-06,1734,D,0
-24.6567,-56.595,359.7,2010-01-06,1734,D,0
-24.7499,-54.5254,308.5,2010-01-06,1734,D,0
-24.4068,-56.2444,322.4,2010-01-06,1734,D,0
-22.8429,-59.5125,355.3,2010-01-06,1734,D,0
-22.9377,-56.1121,331.0,2010-01-06,1734,D,0
-22.8445,-59.5256,328.5,2010-01-06,1734,D,0
-23.7403,-56.9508,323.9,2010-01-06,1734,D,0
-23.2096,-59.4367,382.6,2010-01-06,1734,D,0
-23.2112,-59.4498,384.7,2010-01-06,1734,D,0
-23.7568,-55.7329,326.5,2010-01-06,1734,D,0
-23.6991,-55.589,330.3,2010-01-06,1734,D,0
-23.2341,-59.322,333.4,2010-01-06,1734,D,0
-21.8704,-59.287,360.2,2010-01-06,1735,D,0
-21.6315,-61.1372,330.2,2010-01-06,1735,D,0
-21.8719,-59.2993,341.2,2010-01-06,1735,D,0
-21.6297,-61.1213,328.7,2010-01-06,1735,D,0
-20.5191,-60.8823,306.9,2010-01-07,257,N,0
-20.521,-60.894,303.7,2010-01-07,257,N,0
-20.5194,-60.8886,309.9,2010-01-07,257,N,0
-20.1371,-58.1736,304.2,2010-01-07,257,N,0
-23.2765,-59.4529,319.7,2010-01-07,257,N,0
-20.1416,-58.1669,305.8,2010-01-07,257,N,0
-21.8396,-58.1178,316.0,2010-01-07,1352,D,0
-24.3767,-58.0407,310.7,2010-01-07,1353,D,0
-23.2666,-58.8182,313.3,2010-01-07,1817,D,0
-23.0731,-60.2364,317.3,2010-01-07,1817,D,0
-22.6557,-58.9281,320.4,2010-01-07,1817,D,0
-19.8993,-60.8265,321.2,2010-01-08,1434,D,0
-21.1068,-60.4276,316.1,2010-01-08,1435,D,0
-21.8698,-59.8548,336.8,2010-01-08,1722,D,0
-21.7577,-60.3063,384.9,2010-01-08,1722,D,0
-21.8686,-59.8715,328.8,2010-01-08,1722,D,0
-21.9663,-60.9248,310.7,2010-01-08,1722,D,0
-21.7647,-61.3116,315.3,2010-01-08,1722,D,0
-24.1776,-56.3218,318.7,2010-01-08,1722,D,0
-21.7554,-60.2831,333.1,2010-01-08,1722,D,0
-21.8721,-59.8765,320.3,2010-01-08,1722,D,0
-24.1888,-57.6981,308.5,2010-01-08,1722,D,0
-21.7441,-60.3079,322.8,2010-01-08,1722,D,0
-21.7506,-60.3125,363.5,2010-01-08,1722,D,0
-21.7482,-60.2892,348.5,2010-01-08,1722,D,0
-24.185,-57.6935,310.2,2010-01-08,1722,D,0
-20.424,-59.6759,316.1,2010-01-08,1723,D,0
-21.4792,-61.6677,304.5,2010-01-09,245,N,0
-21.4818,-61.6875,345.4,2010-01-09,245,N,0
-21.4805,-61.6776,383.0,2010-01-09,245,N,0
-19.5371,-60.5251,310.6,2010-01-09,1339,D,0
-23.408,-58.7035,321.8,2010-01-09,1340,D,0
-23.3958,-58.7189,322.3,2010-01-09,1340,D,0
-23.4034,-58.7266,314.2,2010-01-09,1340,D,0
-23.931,-60.1484,315.2,2010-01-09,1341,D,0
-23.9315,-60.1414,313.1,2010-01-09,1341,D,0
-23.2605,-58.798,322.4,2010-01-09,1805,D,0
-22.8511,-61.3311,331.5,2010-01-09,1805,D,0
-22.8494,-61.3204,348.9,2010-01-09,1805,D,0
-22.2661,-61.7108,325.1,2010-01-09,1805,D,0
-23.9344,-60.1676,326.2,2010-01-09,1805,D,0
-23.2738,-58.8102,325.4,2010-01-09,1805,D,0
-22.7455,-59.438,321.7,2010-01-09,1805,D,0
-23.2725,-60.1951,306.4,2010-01-10,327,N,0
-23.072,-60.3081,311.5,2010-01-10,327,N,0
-23.0555,-60.3125,319.5,2010-01-10,327,N,0
-23.059,-60.3047,328.2,2010-01-10,327,N,0
-21.4806,-61.6685,303.5,2010-01-10,500,N,0
-21.2976,-60.8772,301.4,2010-01-10,500,N,0
-22.8431,-59.1467,307.3,2010-01-10,501,N,0
-23.2745,-60.2019,300.9,2010-01-10,501,N,0
-23.2778,-60.1843,304.9,2010-01-10,501,N,0
-22.8458,-59.1315,322.1,2010-01-10,501,N,0
-21.0047,-59.4655,308.1,2010-01-10,1422,D,0
-21.2024,-61.1313,327.0,2010-01-10,1423,D,0
-21.4632,-60.9193,320.7,2010-01-10,1423,D,0
-21.196,-61.1139,325.2,2010-01-10,1423,D,0
-23.2762,-60.3045,313.5,2010-01-10,1423,D,0
-23.718,-60.8921,321.3,2010-01-10,1423,D,0
-23.9391,-60.1507,319.9,2010-01-10,1423,D,0
-23.9203,-60.1478,321.3,2010-01-10,1423,D,0
-22.7046,-59.7105,323.2,2010-01-10,1423,D,0
-23.0648,-60.3012,326.1,2010-01-10,1423,D,0
-22.0121,-62.0669,323.1,2010-01-10,1423,D,0
-22.0031,-62.0654,333.6,2010-01-10,1423,D,0
-23.0576,-60.3047,320.2,2010-01-10,1423,D,0
-23.059,-60.2944,319.7,2010-01-10,1423,D,0
-23.9344,-60.1601,321.0,2010-01-10,1709,D,0
-23.9316,-60.1676,319.3,2010-01-10,1709,D,0
-23.2757,-60.2224,323.9,2010-01-10,1710,D,0
-22.6753,-60.9205,305.7,2010-01-11,232,N,0
-22.8484,-59.1392,300.5,2010-01-11,232,N,0
-22.6737,-60.9076,306.1,2010-01-11,232,N,0
-21.4899,-61.6843,315.1,2010-01-11,233,N,0
-21.4776,-61.672,305.6,2010-01-11,233,N,0
-21.1161,-60.5545,311.7,2010-01-11,233,N,0
-21.457,-60.9272,309.3,2010-01-11,233,N,0
-21.4937,-61.6775,308.8,2010-01-11,233,N,0
-21.4793,-61.6858,304.7,2010-01-11,233,N,0
-21.4555,-60.9148,310.2,2010-01-11,233,N,0
-21.4883,-61.6706,319.1,2010-01-11,233,N,0
-23.2634,-58.8088,310.3,2010-01-11,1752,D,0
-24.3791,-58.0383,318.4,2010-01-11,1752,D,0
-24.3808,-58.049,319.4,2010-01-11,1752,D,0
-22.6781,-60.8997,326.5,2010-01-11,1753,D,0
-22.6103,-60.8776,349.9,2010-01-11,1753,D,0
-22.6116,-60.8874,352.8,2010-01-11,1753,D,0
-21.7572,-59.6204,327.9,2010-01-11,1753,D,0
-21.7029,-60.4398,328.8,2010-01-11,1753,D,0
-22.6206,-60.8859,338.4,2010-01-11,1753,D,0
-21.8776,-59.1358,318.6,2010-01-11,1753,D,0
-22.5337,-60.4034,327.9,2010-01-11,1753,D,0
-22.5323,-60.3937,388.9,2010-01-11,1753,D,0
-22.5309,-60.384,356.3,2010-01-11,1753,D,0
-23.2752,-60.1885,338.6,2010-01-11,1753,D,0
-21.626,-61.1261,321.6,2010-01-11,1753,D,0
-21.6274,-61.1358,323.0,2010-01-11,1753,D,0
-23.2766,-60.1982,341.9,2010-01-11,1753,D,0
-23.2392,-60.1946,380.7,2010-01-11,1753,D,0
-23.195,-60.194,309.9,2010-01-12,315,N,0
-22.5299,-60.3926,310.0,2010-01-12,315,N,0
-23.2085,-60.1907,338.4,2010-01-12,315,N,0
-22.5927,-60.7159,308.6,2010-01-12,315,N,0
-22.5883,-60.6934,306.8,2010-01-12,315,N,0
-22.7857,-61.3099,305.2,2010-01-12,315,N,0
-23.2061,-60.2108,320.5,2010-01-12,315,N,0
-21.4564,-60.9102,304.1,2010-01-12,315,N,0
-22.5802,-60.7008,310.2,2010-01-12,315,N,0
-23.2734,-60.195,305.7,2010-01-12,315,N,0
-23.233,-60.2045,309.1,2010-01-12,315,N,0
-23.2148,-60.1838,317.9,2010-01-12,315,N,0
-22.786,-61.3164,307.9,2010-01-12,315,N,0
-23.2195,-60.2076,325.3,2010-01-12,315,N,0
-23.2013,-60.187,323.9,2010-01-12,315,N,0
-23.2131,-60.2146,321.4,2010-01-12,315,N,0
-21.2952,-60.8867,305.7,2010-01-12,316,N,0
-19.9192,-59.2582,307.4,2010-01-12,316,N,0
-23.21,-60.1869,326.4,2010-01-12,448,N,0
-23.1953,-60.1833,309.9,2010-01-12,448,N,0
-23.2247,-60.1904,304.0,2010-01-12,448,N,0
-23.1953,-60.1782,306.8,2010-01-12,448,N,0
-23.2247,-60.1854,304.8,2010-01-12,448,N,0
-23.21,-60.1818,325.8,2010-01-12,448,N,0
-26.1488,-55.7578,305.3,2010-01-12,449,N,0
-23.7651,-55.7486,311.7,2010-01-12,1657,D,0
-25.4857,-54.719,313.7,2010-01-14,1359,D,0
-22.9457,-60.8787,302.4,2010-01-15,208,N,0
-22.9543,-60.8848,301.8,2010-01-15,208,N,0
-22.6615,-59.1787,306.3,2010-01-15,519,N,0
-23.2859,-60.1819,328.7,2010-01-15,1441,D,0
-22.5374,-60.3898,316.3,2010-01-15,1441,D,0
-22.9674,-61.0461,320.0,2010-01-15,1441,D,0
-23.2838,-60.2015,334.0,2010-01-15,1441,D,0
-23.0707,-60.2369,319.0,2010-01-15,1441,D,0
-23.2963,-60.203,340.0,2010-01-15,1441,D,0
