latitude,longitude,brightness,acq_date,acq_time,daynight,type
0.3932,6.6732,319.6,2010-05-19,1302,D,0
0.3917,6.6634,315.6,2010-05-19,1302,D,0
0.369,6.6892,312.9,2010-06-07,1332,D,0
0.3669,6.6951,313.4,2010-06-07,1332,D,0
0.3927,6.6576,316.0,2010-06-11,1308,D,0
0.3862,6.6735,314.2,2010-07-02,1326,D,0
0.3899,6.6852,328.4,2010-07-15,957,D,0
0.3913,6.6758,326.7,2010-07-15,957,D,0
0.3787,6.6863,324.9,2010-08-07,1301,D,0
0.3839,6.6368,330.9,2010-08-12,1021,D,0
0.3792,6.6828,319.1,2010-08-30,1307,D,0
0.284,6.7326,319.6,2010-09-01,1254,D,0
0.3874,6.6803,317.8,2010-09-03,1242,D,0
