latitude,longitude,brightness,acq_date,acq_time,daynight,type
-32.2705,-54.6673,317.8,2010-01-02,1336,D,0
-33.8596,-56.1169,315.7,2010-01-02,1337,D,0
-33.8819,-57.9959,328.6,2010-01-02,1756,D,0
-33.8802,-57.9849,344.7,2010-01-02,1756,D,0
-31.2098,-57.4299,327.1,2010-01-03,1419,D,0
-31.209,-57.4232,326.0,2010-01-03,1419,D,0
-33.5365,-58.2218,318.1,2010-01-04,1744,D,0
-31.9837,-57.3509,329.7,2010-01-04,1744,D,0
-31.9928,-57.3492,320.7,2010-01-04,1744,D,0
-33.5271,-58.2235,317.5,2010-01-04,1744,D,0
-33.1246,-58.3052,317.0,2010-01-05,1407,D,0
-32.3203,-58.0778,318.8,2010-01-05,1407,D,0
-33.3795,-56.5278,317.5,2010-01-05,1407,D,0
-33.3811,-56.5146,314.5,2010-01-05,1407,D,0
-33.5312,-58.2202,317.8,2010-01-05,1407,D,0
-33.2311,-54.3841,314.2,2010-01-05,1407,D,0
-34.0007,-58.2795,315.3,2010-01-05,1408,D,0
-34.3426,-56.7009,314.2,2010-01-05,1408,D,0
-34.4593,-56.3922,312.3,2010-01-05,1408,D,0
-34.7213,-55.9636,314.8,2010-01-05,1408,D,0
-34.7616,-56.2288,314.2,2010-01-05,1408,D,0
-34.0964,-56.2169,317.8,2010-01-05,1408,D,0
-34.3787,-55.2376,314.2,2010-01-05,1408,D,0
-34.7645,-56.2309,313.3,2010-01-06,1731,D,0
-34.7236,-55.9653,314.2,2010-01-06,1731,D,0
-34.105,-56.2203,314.6,2010-01-06,1731,D,0
-33.2365,-54.3864,312.5,2010-01-06,1731,D,0
-34.7329,-56.2223,317.6,2010-01-06,1731,D,0
-34.343,-56.7114,315.1,2010-01-06,1731,D,0
-34.5287,-56.2885,312.4,2010-01-06,1731,D,0
-34.7982,-54.9195,312.3,2010-01-07,1355,D,0
-32.3702,-54.1665,318.9,2010-01-07,1355,D,0
-34.7627,-56.229,310.9,2010-01-07,1355,D,0
