latitude,longitude,brightness,acq_date,acq_time,daynight,type
41.5846,69.5034,307.3,2010-01-02,640,D,0
41.151,72.1706,303.5,2010-01-02,823,D,0
40.231,67.678,315.0,2010-01-03,906,D,0
39.3643,65.7049,312.1,2010-01-03,906,D,0
40.2364,67.6487,301.7,2010-01-03,906,D,0
40.2381,67.6699,305.1,2010-01-03,906,D,0
40.2292,67.6568,328.9,2010-01-03,906,D,0
40.8663,68.0556,305.8,2010-01-05,854,D,0
40.9524,68.1134,303.3,2010-01-05,854,D,0
38.8062,64.6158,300.7,2010-01-07,841,D,2
38.7846,64.662,303.6,2010-01-07,841,D,2
38.7923,64.6609,307.3,2010-01-09,647,D,2
38.7879,64.6575,304.4,2010-01-09,829,D,2
38.7848,64.6445,302.4,2010-01-09,829,D,2
38.7844,64.6397,301.6,2010-01-09,829,D,2
38.9364,64.805,304.1,2010-01-11,635,D,0
38.7839,64.6463,301.8,2010-01-11,635,D,2
38.7912,64.6597,309.0,2010-01-11,635,D,2
38.7856,64.6348,305.7,2010-01-11,635,D,2
38.7862,64.6576,300.8,2010-01-11,817,D,2
38.7801,64.6307,307.1,2010-01-11,817,D,2
40.8621,69.5284,300.9,2010-01-11,817,D,2
38.7803,64.6329,300.6,2010-01-11,1739,N,2
38.6943,65.1045,301.2,2010-01-12,718,D,0
38.7888,64.6451,301.7,2010-01-12,718,D,2
40.5657,67.7614,301.0,2010-01-13,622,D,0
38.79,64.6649,301.4,2010-01-16,653,D,2
40.426,69.1632,300.3,2010-01-16,835,D,0
38.7881,64.6522,304.6,2010-01-16,835,D,2
37.3688,67.0634,336.3,2010-01-18,822,D,0
37.372,67.0801,370.3,2010-01-18,822,D,0
40.3072,64.904,312.6,2010-01-19,906,D,0
40.3088,64.919,304.9,2010-01-19,906,D,0
38.7921,64.6555,304.5,2010-01-20,629,D,2
38.8153,64.6222,304.3,2010-01-20,629,D,2
38.7852,64.6601,309.4,2010-01-20,629,D,2
37.3834,66.838,303.0,2010-01-21,712,D,0
37.3612,67.0579,305.2,2010-01-21,853,D,0
38.7821,64.656,300.6,2010-01-21,853,D,2
40.4999,63.321,319.3,2010-01-21,854,D,0
40.4981,63.3093,314.3,2010-01-21,854,D,0
38.7892,64.6637,302.1,2010-01-22,616,D,2
38.4484,65.7946,310.3,2010-01-25,829,D,0
39.8406,65.048,304.0,2010-01-25,829,D,0
38.4513,65.8102,306.4,2010-01-25,829,D,0
38.8123,64.6186,300.7,2010-01-28,900,D,2
39.2508,63.7553,306.0,2010-01-28,900,D,0
38.7757,64.6264,301.4,2010-01-28,900,D,2
38.7894,64.6605,302.4,2010-01-28,900,D,2
38.7935,64.6594,302.6,2010-01-30,705,D,2
38.7789,64.6282,307.9,2010-01-30,847,D,2
38.8127,64.6141,303.8,2010-01-30,847,D,2
38.7825,64.6515,305.3,2010-01-30,847,D,2
38.7842,64.6631,306.7,2010-01-30,847,D,2
39.9648,64.7603,378.6,2010-01-31,610,D,0
39.9596,64.7446,366.3,2010-01-31,610,D,0
39.9578,64.7663,305.4,2010-01-31,610,D,0
39.9698,64.768,326.6,2010-01-31,610,D,0
39.9668,64.7386,410.4,2010-01-31,610,D,0
39.9716,64.7462,414.9,2010-01-31,610,D,0
40.4947,63.2611,306.0,2010-01-31,931,D,0
40.4978,63.2688,301.8,2010-01-31,931,D,0
39.9655,64.727,303.3,2010-01-31,931,D,0
40.4958,63.2414,309.8,2010-01-31,931,D,0
40.4929,63.2338,303.6,2010-01-31,931,D,0
40.8602,69.541,304.6,2010-01-31,1715,N,2
40.8667,69.5347,304.1,2010-01-31,2130,N,2
38.7882,64.666,306.5,2010-02-01,653,D,2
38.8072,64.6183,302.8,2010-02-01,653,D,2
38.7895,64.6579,310.5,2010-02-01,653,D,2
38.7729,64.6276,307.0,2010-02-01,835,D,2
40.8578,69.5378,304.3,2010-02-01,835,D,2
38.7883,64.6542,311.5,2010-02-01,835,D,2
41.5557,69.4619,310.3,2010-02-01,836,D,0
41.5573,69.4741,302.8,2010-02-01,836,D,0
41.549,69.4689,312.6,2010-02-01,836,D,0
38.7889,64.6669,307.3,2010-02-03,641,D,2
39.2957,64.6823,322.3,2010-02-03,641,D,0
38.7907,64.6555,308.8,2010-02-03,641,D,2
38.7764,64.6281,306.6,2010-02-03,641,D,2
39.4697,65.0095,307.4,2010-02-03,823,D,0
38.7896,64.6618,306.3,2010-02-03,823,D,2
39.4634,65.0161,304.8,2010-02-03,823,D,0
40.0749,64.9592,311.0,2010-02-04,906,D,0
40.9332,62.0033,301.6,2010-02-04,906,D,0
40.3601,63.6003,312.1,2010-02-04,906,D,0
40.3617,63.6135,303.4,2010-02-04,906,D,0
38.9493,64.1605,300.4,2010-02-04,2106,N,0
38.7925,64.6594,304.3,2010-02-10,647,D,2
38.7781,64.6296,301.5,2010-02-10,647,D,2
37.2016,67.2588,320.7,2010-02-12,816,D,0
38.7773,64.6207,301.1,2010-02-13,859,D,2
38.7819,64.6568,311.0,2010-02-13,859,D,2
38.7901,64.6647,303.8,2010-02-14,623,D,2
38.7866,64.661,306.8,2010-02-15,847,D,2
37.3622,66.7148,309.9,2010-02-15,847,D,0
39.2133,64.6048,302.5,2010-02-15,847,D,0
38.7723,64.6284,303.1,2010-02-15,847,D,2
38.7867,64.66,304.3,2010-02-16,610,D,2
38.7927,64.6537,301.4,2010-02-16,610,D,2
38.7917,64.6596,305.1,2010-02-19,641,D,2
40.8513,69.536,311.2,2010-02-21,811,D,2
38.795,64.6598,306.4,2010-02-22,712,D,2
38.7916,64.6637,308.9,2010-02-22,712,D,2
38.6065,65.004,312.0,2010-02-22,853,D,0
38.776,64.6289,311.5,2010-02-22,853,D,2
38.7897,64.6609,313.7,2010-02-22,853,D,2
38.6081,65.0154,335.1,2010-02-22,853,D,0
39.9499,64.231,300.9,2010-02-26,647,D,0
41.6616,60.2727,300.7,2010-03-01,717,D,0
41.4294,60.7347,305.8,2010-03-01,900,D,0
41.3173,61.0893,310.2,2010-03-01,900,D,0
41.4275,60.7226,308.1,2010-03-01,900,D,0
38.7935,64.6546,305.9,2010-03-02,623,D,2
38.4738,66.5574,310.6,2010-03-02,623,D,0
38.777,64.6227,305.6,2010-03-02,623,D,2
40.863,69.5331,305.3,2010-03-02,805,D,2
37.3747,66.8275,320.8,2010-03-05,834,D,0
37.3793,66.8196,330.1,2010-03-05,834,D,0
37.2924,67.1232,314.9,2010-03-05,834,D,0
37.3727,66.8151,339.1,2010-03-05,834,D,0
37.2333,67.568,353.2,2010-03-05,834,D,0
40.0934,67.7902,305.5,2010-03-05,835,D,0
38.7803,64.6306,312.1,2010-03-07,641,D,2
38.7857,64.6558,308.2,2010-03-07,641,D,2
38.8097,64.6201,307.6,2010-03-07,641,D,2
39.8486,65.0381,313.0,2010-03-07,823,D,0
38.7876,64.6575,301.6,2010-03-07,1745,N,2
40.8641,69.5301,313.7,2010-03-08,545,D,2
40.5143,69.1812,303.1,2010-03-08,545,D,0
40.5036,68.3647,303.9,2010-03-08,906,D,0
40.5055,68.3882,304.2,2010-03-08,906,D,0
42.9831,60.238,304.9,2010-03-08,907,D,0
37.321,67.1242,326.5,2010-03-10,853,D,0
39.3401,64.4482,316.0,2010-03-10,853,D,0
39.3712,64.216,325.2,2010-03-10,853,D,0
39.3696,64.2045,403.2,2010-03-10,853,D,0
39.3679,64.1931,319.8,2010-03-10,853,D,0
38.7887,64.6559,316.7,2010-03-10,853,D,2
38.471,66.5475,310.7,2010-03-10,853,D,0
37.3969,66.9903,324.1,2010-03-10,853,D,0
37.3984,67.0025,312.2,2010-03-10,853,D,0
38.4725,66.5597,310.5,2010-03-10,853,D,0
40.3586,63.6361,347.8,2010-03-10,854,D,0
40.348,63.6268,322.7,2010-03-10,854,D,0
40.3497,63.6384,348.4,2010-03-10,854,D,0
40.3569,63.6245,306.6,2010-03-10,854,D,0
40.1271,64.9374,316.1,2010-03-10,854,D,0
40.1307,68.2273,301.7,2010-03-11,616,D,0
40.3754,68.4645,311.0,2010-03-11,616,D,0
37.3893,66.8775,326.8,2010-03-11,617,D,0
37.3837,66.8826,323.3,2010-03-11,617,D,0
37.3853,66.8701,368.9,2010-03-11,617,D,0
37.4004,66.9435,336.3,2010-03-11,617,D,0
37.4019,66.931,315.0,2010-03-11,617,D,0
37.3908,66.8649,323.7,2010-03-11,617,D,0
37.397,66.9194,319.6,2010-03-11,758,D,0
37.384,66.8328,326.4,2010-03-11,758,D,0
37.3943,66.8727,321.0,2010-03-11,758,D,0
37.336,67.1244,316.7,2010-03-11,758,D,0
37.4018,66.8633,320.8,2010-03-11,936,D,0
37.4036,66.8536,315.4,2010-03-11,936,D,0
37.3901,66.8524,308.7,2010-03-12,700,D,0
40.689,71.2658,310.6,2010-03-12,841,D,0
37.3819,66.8042,320.5,2010-03-13,923,D,0
37.3867,66.8279,336.0,2010-03-13,923,D,0
37.384,66.8363,339.0,2010-03-13,923,D,0
41.6375,60.1473,317.7,2010-03-13,925,D,0
37.3937,66.7975,312.0,2010-03-14,828,D,0
37.3963,66.8119,312.2,2010-03-14,828,D,0
41.1836,69.5909,304.2,2010-03-16,634,D,0
40.5165,68.4346,302.8,2010-03-16,634,D,0
40.5873,67.7842,306.8,2010-03-16,634,D,0
40.6128,69.1268,305.7,2010-03-16,634,D,0
40.3456,63.587,361.7,2010-03-16,635,D,0
37.4162,66.9729,314.4,2010-03-16,635,D,0
40.1648,65.2429,312.0,2010-03-16,635,D,0
40.351,63.5949,322.2,2010-03-16,635,D,0
38.8136,64.6249,317.5,2010-03-16,635,D,2
39.2699,64.7247,327.2,2010-03-16,635,D,0
40.3472,63.5745,362.2,2010-03-16,635,D,0
40.3526,63.5824,398.2,2010-03-16,635,D,0
37.3922,66.8926,313.3,2010-03-16,816,D,0
37.3957,66.8868,312.0,2010-03-16,816,D,0
37.3966,66.9137,311.7,2010-03-16,816,D,0
40.3545,63.605,332.8,2010-03-16,817,D,0
40.3679,63.6377,312.8,2010-03-16,817,D,0
40.3613,63.6091,340.7,2010-03-16,817,D,0
40.5847,69.184,310.6,2010-03-16,817,D,0
40.3217,63.6875,328.6,2010-03-16,817,D,0
40.3612,63.6335,326.1,2010-03-16,817,D,0
40.6417,69.0999,305.1,2010-03-16,817,D,0
40.6258,69.0128,306.5,2010-03-16,817,D,0
40.3664,68.8948,301.8,2010-03-16,817,D,0
40.3636,68.8799,303.9,2010-03-16,817,D,0
40.4583,69.1748,303.0,2010-03-16,817,D,0
40.4574,69.1697,308.0,2010-03-16,817,D,0
39.2716,64.7081,313.4,2010-03-16,817,D,0
40.436,68.491,305.0,2010-03-16,817,D,0
40.3283,63.7159,319.2,2010-03-16,817,D,0
37.2493,67.656,324.4,2010-03-17,859,D,0
37.2431,67.6625,331.5,2010-03-17,859,D,0
42.9967,59.8703,304.7,2010-03-21,652,D,0
41.4145,60.2157,310.0,2010-03-21,653,D,0
42.6987,58.9056,308.1,2010-03-22,919,D,0
42.7021,58.9124,304.4,2010-03-23,640,D,0
38.7757,64.632,312.7,2010-03-23,641,D,2
38.79,64.6594,315.7,2010-03-23,641,D,2
38.7894,64.6536,312.3,2010-03-23,822,D,2
40.8619,69.536,306.5,2010-03-24,545,D,2
40.8752,69.5376,301.7,2010-03-24,545,D,0
40.3558,63.5928,377.5,2010-03-24,906,D,0
42.5339,59.505,312.4,2010-03-24,906,D,0
42.5304,59.4809,318.7,2010-03-24,906,D,0
42.523,59.3699,319.3,2010-03-24,906,D,0
41.7334,60.2899,314.5,2010-03-24,906,D,0
40.3464,63.5948,346.7,2010-03-24,906,D,0
40.3542,63.5797,316.3,2010-03-24,906,D,0
43.0381,60.3714,311.7,2010-03-24,907,D,0
40.8586,69.5425,310.8,2010-03-25,628,D,2
41.344,69.1845,311.4,2010-03-25,628,D,0
41.2716,69.3491,310.5,2010-03-25,628,D,0
40.5429,68.626,311.2,2010-03-25,628,D,0
41.3745,69.6525,309.8,2010-03-25,811,D,0
41.3774,69.6684,317.0,2010-03-25,811,D,0
42.5461,59.4544,310.5,2010-03-26,711,D,0
42.8314,58.8509,303.6,2010-03-26,711,D,0
42.8335,58.8384,305.3,2010-03-26,711,D,0
42.7786,58.6604,305.7,2010-03-26,711,D,0
42.7716,58.6455,308.8,2010-03-26,711,D,0
42.9627,59.4178,308.6,2010-03-26,711,D,0
42.7806,58.6481,327.1,2010-03-26,711,D,0
39.9599,64.1906,315.2,2010-03-26,853,D,0
39.9615,64.2021,320.5,2010-03-26,853,D,0
40.044,64.9986,317.6,2010-03-26,853,D,0
42.7598,59.1025,304.2,2010-03-26,854,D,0
42.5498,59.439,329.6,2010-03-26,854,D,0
42.5401,59.4422,310.9,2010-03-26,854,D,0
42.5472,59.4246,319.5,2010-03-26,854,D,0
41.1195,69.1522,306.9,2010-03-28,659,D,0
41.1116,69.1438,305.0,2010-03-28,659,D,0
42.8382,59.1971,302.6,2010-03-28,659,D,0
38.7921,64.6616,311.3,2010-03-28,659,D,2
42.5253,58.987,307.9,2010-03-28,659,D,0
41.1052,69.1714,307.2,2010-03-28,659,D,0
40.6539,69.1888,325.0,2010-03-28,841,D,0
38.7832,64.6606,322.1,2010-03-28,841,D,2
40.6524,69.1762,307.6,2010-03-28,841,D,0
42.583,59.0091,305.5,2010-03-29,925,D,0
42.565,59.484,314.1,2010-03-29,925,D,0
42.7768,59.9518,304.0,2010-03-29,925,D,0
43.6176,60.3255,314.9,2010-03-30,646,D,0
40.8628,69.5324,322.4,2010-03-30,829,D,2
43.6131,60.3254,307.8,2010-03-30,830,D,0
40.9018,68.9595,310.6,2010-03-31,551,D,0
42.6849,59.3416,315.0,2010-03-31,912,D,0
42.8904,59.0252,316.4,2010-03-31,913,D,0
42.65,59.6183,316.1,2010-04-01,634,D,0
38.4792,66.5576,310.3,2010-04-01,635,D,0
41.3105,69.1689,317.4,2010-04-01,817,D,0
42.5371,59.0307,301.7,2010-04-02,900,D,0
43.6107,59.0648,316.7,2010-04-03,943,D,0
38.794,64.6587,302.5,2010-04-03,2142,N,2
38.7794,64.6317,304.1,2010-04-03,2142,N,2
42.6925,59.0553,312.7,2010-04-04,705,D,0
42.6837,59.0529,328.7,2010-04-04,705,D,0
42.546,59.4722,315.3,2010-04-04,705,D,0
40.8637,69.556,307.5,2010-04-04,705,D,2
40.8595,69.5283,319.1,2010-04-04,847,D,2
39.9562,63.9205,315.7,2010-04-04,1810,N,0
39.9569,63.933,307.8,2010-04-04,1810,N,0
39.9552,63.9141,305.2,2010-04-04,1810,N,0
39.9502,63.9382,306.4,2010-04-04,2225,N,0
39.9549,63.9349,306.8,2010-04-04,2225,N,0
39.954,63.9446,316.9,2010-04-05,610,D,0
38.6812,65.9619,309.1,2010-04-05,610,D,0
40.8588,69.5394,322.2,2010-04-05,610,D,2
39.956,63.9204,321.5,2010-04-05,610,D,0
39.9564,63.9274,326.9,2010-04-05,610,D,0
39.9526,63.9057,321.4,2010-04-05,930,D,0
39.9545,63.9347,320.5,2010-04-05,930,D,0
39.9581,63.9272,304.9,2010-04-05,1715,N,0
40.8608,69.5479,310.8,2010-04-05,2129,N,2
42.5808,59.3546,331.8,2010-04-06,652,D,0
43.2585,59.0639,310.2,2010-04-06,652,D,0
42.6861,59.0484,309.3,2010-04-06,652,D,0
43.1269,58.7934,307.7,2010-04-06,652,D,0
42.5901,59.3567,343.4,2010-04-06,652,D,0
42.5885,59.3699,324.2,2010-04-06,652,D,0
42.5792,59.3678,321.8,2010-04-06,652,D,0
42.6915,59.0425,311.5,2010-04-06,652,D,0
42.5569,59.4669,311.2,2010-04-06,836,D,0
