latitude,longitude,brightness,acq_date,acq_time,daynight,type
39.2661,46.6098,309.3,2011-01-05,959,D,0
40.2733,45.8958,309.5,2011-01-15,1037,D,0
40.2718,47.3833,306.2,2011-01-16,941,D,0
40.0276,46.1971,307.3,2011-01-18,748,D,0
41.219,47.0398,302.4,2011-01-18,748,D,0
40.026,46.2085,307.2,2011-01-18,748,D,0
40.0324,46.1622,306.1,2011-01-18,748,D,0
40.1522,49.0041,302.4,2011-01-18,929,D,0
40.0183,46.2022,301.0,2011-01-18,929,D,0
39.3899,48.4137,305.7,2011-01-23,947,D,0
39.3821,48.4088,312.3,2011-01-23,947,D,0
39.7312,47.619,301.6,2011-01-25,754,D,0
41.0516,45.0935,306.3,2011-01-25,754,D,0
39.6661,47.5963,327.7,2011-01-25,935,D,0
39.68,47.6099,316.9,2011-01-25,935,D,0
39.6874,47.5892,323.0,2011-01-25,935,D,0
39.6217,48.201,308.5,2011-01-25,935,D,0
40.0847,46.9836,303.1,2011-01-25,935,D,0
39.8028,47.6841,304.6,2011-01-25,935,D,0
39.8001,47.6918,300.6,2011-01-25,935,D,0
39.6993,47.5801,315.6,2011-01-25,935,D,0
40.2831,47.0953,316.0,2011-01-25,935,D,0
39.7318,47.8805,321.4,2011-01-25,935,D,0
39.7287,47.8638,305.9,2011-01-25,935,D,0
39.7346,47.8744,324.7,2011-01-25,935,D,0
39.678,47.5872,327.0,2011-01-25,935,D,0
41.1965,47.0566,310.0,2011-01-26,1018,D,0
40.6955,47.4075,300.2,2011-01-26,1018,D,0
39.433,46.6285,327.4,2011-01-26,1018,D,0
41.0794,45.2045,302.0,2011-01-26,1018,D,0
40.658,47.2804,301.8,2011-01-26,1018,D,0
40.661,47.2743,300.6,2011-01-26,1018,D,0
39.9309,46.8357,304.6,2011-01-26,1018,D,0
39.9429,46.8497,303.9,2011-01-26,1018,D,0
39.1809,46.741,303.8,2011-01-26,1018,D,0
39.3802,47.2767,328.3,2011-01-26,1804,N,0
39.3976,47.3106,310.4,2011-01-26,1804,N,0
39.3869,47.2695,326.3,2011-01-26,1804,N,0
39.768,47.9598,302.3,2011-01-27,742,D,0
39.2484,47.0506,307.6,2011-01-27,742,D,0
39.7555,48.1124,307.5,2011-01-27,742,D,0
39.8615,47.4864,304.7,2011-01-27,742,D,0
39.8608,48.215,310.8,2011-01-27,742,D,0
40.7385,47.2688,302.5,2011-01-27,923,D,0
40.7284,47.2772,304.3,2011-01-27,923,D,0
40.0258,48.8262,300.7,2011-01-27,923,D,0
39.9017,47.6142,323.9,2011-02-05,917,D,0
39.8988,47.6226,305.5,2011-02-05,917,D,0
39.9051,47.5859,302.4,2011-02-05,917,D,0
39.9125,47.6169,307.5,2011-02-05,917,D,0
40.5519,48.0444,313.6,2011-02-06,1000,D,0
40.5358,47.7169,300.6,2011-02-06,1000,D,0
40.5688,47.8928,300.4,2011-02-06,1000,D,0
39.5366,48.8655,300.3,2011-02-06,1000,D,0
40.5127,47.8201,302.1,2011-02-06,1000,D,0
40.5535,48.0564,303.7,2011-02-06,1000,D,0
39.2796,46.6701,331.6,2011-02-06,1000,D,0
39.2813,46.6815,311.7,2011-02-06,1000,D,0
39.5038,48.5393,300.1,2011-02-06,1000,D,0
40.6405,47.2056,301.2,2011-02-06,1000,D,0
41.1346,47.1932,317.4,2011-02-08,948,D,0
41.1368,47.2061,301.2,2011-02-08,948,D,0
41.113,47.2199,307.1,2011-02-08,948,D,0
41.1152,47.2327,305.1,2011-02-08,948,D,0
40.0487,47.8056,304.6,2011-02-09,1030,D,0
40.0513,47.8137,301.5,2011-02-09,1030,D,0
39.3695,46.6676,307.6,2011-02-09,1030,D,0
39.8536,48.6065,303.6,2011-02-10,754,D,0
40.3731,47.5604,300.7,2011-02-10,754,D,0
41.1352,47.1431,324.1,2011-02-12,742,D,0
41.1368,47.1306,323.8,2011-02-12,742,D,0
39.6834,47.5718,303.0,2011-02-13,825,D,0
40.6209,47.9521,300.6,2011-02-13,825,D,0
39.5717,48.9404,301.6,2011-02-13,825,D,0
40.0064,46.9965,306.5,2011-02-13,825,D,0
39.8657,48.6532,304.1,2011-02-13,825,D,0
39.6606,46.98,303.0,2011-02-13,825,D,0
39.8661,48.6484,303.1,2011-02-13,825,D,0
39.5306,48.9179,300.2,2011-02-13,825,D,0
40.5186,47.3602,301.0,2011-02-13,825,D,0
40.6305,47.387,300.9,2011-02-13,825,D,0
41.2077,47.0614,300.6,2011-02-13,825,D,0
39.5744,48.9363,302.7,2011-02-13,825,D,0
40.6302,47.4105,311.7,2011-02-13,825,D,0
40.0055,47.502,302.3,2011-02-13,825,D,0
