latitude,longitude,brightness,acq_date,acq_time,daynight,type
-3.348,29.3841,310.5,2011-01-08,902,D,0
-3.3457,29.3795,309.6,2011-02-16,908,D,0
-3.2991,30.4695,305.0,2011-03-07,2020,N,0
-3.3885,29.3632,309.2,2011-04-20,1120,D,0
-2.7987,29.026,316.6,2011-05-18,1145,D,0
-3.1417,30.3822,312.9,2011-06-01,1157,D,0
-3.627,30.4113,325.9,2011-06-01,1157,D,0
-3.3101,30.2468,311.4,2011-06-02,807,D,0
-3.1986,30.3472,309.0,2011-06-02,807,D,0
-3.1714,30.3672,311.8,2011-06-02,1102,D,0
-3.2318,30.3213,313.6,2011-06-03,850,D,0
-3.2344,30.3394,310.4,2011-06-03,850,D,0
-3.3337,30.2003,313.2,2011-06-03,1144,D,0
-3.3352,30.1904,322.1,2011-06-03,1144,D,0
-3.7666,30.1933,318.2,2011-06-03,1144,D,0
-3.1679,30.7184,323.2,2011-06-03,1144,D,0
-3.1694,30.7077,318.3,2011-06-03,1144,D,0
-3.1954,30.3556,314.6,2011-06-05,837,D,0
-3.1856,30.3571,335.0,2011-06-05,837,D,0
-3.1939,30.3449,318.3,2011-06-05,837,D,0
-3.1942,30.3708,333.1,2011-06-05,1132,D,0
-3.2924,30.2485,318.9,2011-06-07,1120,D,0
-3.2293,30.3032,314.4,2011-06-09,1108,D,0
-3.2261,30.3265,313.0,2011-06-09,1108,D,0
-2.7751,29.0356,315.6,2011-06-10,855,D,0
-2.7838,29.0383,313.8,2011-06-10,1151,D,0
-3.3476,30.1726,320.1,2011-06-12,1138,D,0
-3.255,30.3092,326.7,2011-06-12,1138,D,0
-3.2563,30.3002,320.3,2011-06-12,1138,D,0
-3.2588,30.2824,324.7,2011-06-12,1138,D,0
-3.2524,30.2631,326.0,2011-06-12,1138,D,0
-3.2627,30.2554,318.2,2011-06-12,1138,D,0
-4.0072,30.1793,318.6,2011-06-16,1113,D,0
-4.0149,30.1513,313.7,2011-06-16,1113,D,0
-4.0125,30.1691,341.4,2011-06-16,1113,D,0
-4.0097,30.1616,334.8,2011-06-16,1113,D,0
-2.9239,30.5255,305.2,2011-06-17,902,D,0
-2.9316,30.5302,305.9,2011-06-17,902,D,0
-3.3066,30.2292,321.1,2011-06-17,1156,D,0
-3.1701,30.3932,319.3,2011-06-18,807,D,0
-3.1475,30.387,316.6,2011-06-18,807,D,0
-3.1531,30.3946,326.9,2011-06-18,1101,D,0
-3.1527,30.4206,310.6,2011-06-18,1101,D,0
-3.1569,30.3904,320.4,2011-06-18,1101,D,0
-3.341,30.1791,310.5,2011-06-19,1144,D,0
-3.2605,30.2931,321.6,2011-06-19,1144,D,0
-3.3358,30.172,312.3,2011-06-19,1144,D,0
-2.9325,30.5195,313.5,2011-06-19,1144,D,0
-2.934,30.509,310.7,2011-06-19,1144,D,0
-3.1009,30.3926,314.6,2011-06-19,1144,D,0
-3.3425,30.1693,308.5,2011-06-19,1144,D,0
-2.9287,30.5139,310.0,2011-06-21,837,D,0
-3.2203,29.2281,319.9,2011-06-21,1132,D,0
-3.2763,30.4531,308.5,2011-06-25,1107,D,0
-3.2196,30.3371,318.1,2011-06-26,1150,D,0
-3.2332,30.2687,319.0,2011-06-30,831,D,0
-3.8919,29.9379,318.4,2011-06-30,1126,D,0
-3.2041,30.3198,325.4,2011-06-30,1126,D,0
-3.5862,29.8082,310.0,2011-07-04,807,D,0
-3.5923,29.8146,311.2,2011-07-04,807,D,0
-3.2044,30.3227,336.3,2011-07-05,1144,D,0
-3.2058,30.3127,336.0,2011-07-05,1144,D,0
-3.2592,30.279,323.3,2011-07-05,1144,D,0
-3.3295,30.2334,323.1,2011-07-05,1144,D,0
-3.1589,30.4772,326.0,2011-07-05,1144,D,0
-3.1575,30.4875,330.0,2011-07-05,1144,D,0
-3.156,30.4978,316.5,2011-07-05,1144,D,0
-3.1612,30.4834,327.4,2011-07-05,1144,D,0
-3.2975,30.1885,329.8,2011-07-05,1144,D,0
-3.296,30.1986,331.7,2011-07-05,1144,D,0
-3.3415,30.2155,320.0,2011-07-07,837,D,0
-3.1451,30.4856,319.9,2011-07-07,837,D,0
-3.1633,30.4717,324.3,2011-07-07,837,D,0
-3.1649,30.4826,329.2,2011-07-07,837,D,0
-3.1646,30.4763,331.9,2011-07-07,837,D,0
-3.2525,30.259,330.7,2011-07-07,1132,D,0
-3.1381,30.4864,341.4,2011-07-07,1132,D,0
-3.1044,29.289,317.5,2011-07-07,1132,D,0
-3.2538,30.2498,324.7,2011-07-07,1132,D,0
-3.6823,30.2793,319.8,2011-07-07,1132,D,0
-3.3591,30.1596,316.1,2011-07-07,1132,D,0
-3.1663,30.4813,324.5,2011-07-07,1132,D,0
-3.1676,30.4723,341.6,2011-07-07,1132,D,0
-3.0921,30.4514,312.1,2011-07-08,1215,D,0
-3.0979,30.4147,323.6,2011-07-08,1215,D,0
-3.0912,30.4475,315.8,2011-07-08,1215,D,0
-3.0968,30.4105,322.3,2011-07-08,1215,D,0
-4.0019,30.0474,314.9,2011-07-09,825,D,0
-3.0601,30.4693,328.4,2011-07-09,825,D,0
-3.1476,30.3716,323.9,2011-07-09,825,D,0
-3.0652,30.4416,321.6,2011-07-09,1120,D,0
-3.0481,30.4464,319.7,2011-07-09,1120,D,0
-3.0635,30.454,320.7,2011-07-09,1120,D,0
-3.1391,30.3743,324.9,2011-07-09,1120,D,0
-3.1228,30.3869,318.7,2011-07-10,1203,D,0
-3.1595,30.3254,324.2,2011-07-10,1203,D,0
-3.1531,30.3298,328.0,2011-07-10,1203,D,0
-3.1295,30.3923,325.9,2011-07-10,1203,D,0
-3.1365,30.3877,320.4,2011-07-10,1203,D,0
-2.8307,30.0854,309.1,2011-07-11,813,D,0
-3.2959,30.2085,320.7,2011-07-11,1107,D,0
-3.3019,30.2143,314.1,2011-07-11,1107,D,0
-3.2991,30.1866,320.3,2011-07-11,1107,D,0
-3.305,30.1918,321.2,2011-07-11,1107,D,0
-3.5353,30.2355,312.5,2011-07-13,801,D,0
-3.5372,30.2408,309.5,2011-07-13,801,D,0
-3.4066,30.6165,316.5,2011-07-14,843,D,0
-3.4045,30.6017,320.4,2011-07-14,843,D,0
-3.4048,30.601,332.1,2011-07-14,1138,D,0
-3.0335,30.43,367.1,2011-07-14,1138,D,0
-3.4061,30.592,333.6,2011-07-14,1138,D,0
-3.274,30.7454,323.8,2011-07-14,1138,D,0
-3.2753,30.7362,329.4,2011-07-14,1138,D,0
-3.3944,30.6089,345.7,2011-07-14,1138,D,0
-3.3957,30.5999,355.7,2011-07-14,1138,D,0
-3.0322,30.4391,329.0,2011-07-14,1138,D,0
-3.9871,29.8505,323.0,2011-07-16,831,D,0
-3.0722,30.455,328.0,2011-07-16,831,D,0
-3.0905,30.4524,322.8,2011-07-16,831,D,0
-3.9858,29.8414,319.0,2011-07-16,831,D,0
-3.152,30.3711,325.5,2011-07-16,831,D,0
-2.7815,29.045,327.7,2011-07-16,831,D,0
-3.0708,30.4457,341.8,2011-07-16,831,D,0
-3.063,30.4565,330.0,2011-07-16,831,D,0
-3.6183,30.3681,318.9,2011-07-16,1126,D,0
-3.6169,30.3785,323.1,2011-07-16,1126,D,0
-3.2817,30.2869,320.3,2011-07-16,1126,D,0
-3.0268,30.4468,325.2,2011-07-16,1126,D,0
-3.0472,30.4394,326.4,2011-07-16,1126,D,0
-3.0363,30.4482,333.1,2011-07-16,1126,D,0
-3.0377,30.438,328.3,2011-07-16,1126,D,0
-3.2737,30.2233,307.1,2011-07-16,2051,N,0
-3.3802,30.6098,319.4,2011-07-18,819,D,0
-3.1293,30.4159,327.2,2011-07-18,819,D,0
-3.7726,30.3346,326.2,2011-07-18,1113,D,0
-3.766,30.3463,320.8,2011-07-18,1113,D,0
-3.7684,30.3294,321.9,2011-07-18,1113,D,0
-3.3802,30.6153,302.3,2011-07-18,2039,N,0
-3.7973,30.2269,322.0,2011-07-19,1156,D,0
-3.795,30.2429,332.4,2011-07-19,1156,D,0
-3.7937,30.2335,334.7,2011-07-19,1156,D,0
-3.3803,30.5306,310.9,2011-07-20,2026,N,0
-2.8584,29.2792,312.4,2011-07-20,2027,N,0
-3.3811,30.5342,300.0,2011-07-20,2325,N,0
-3.3025,30.2368,323.5,2011-07-21,1144,D,0
-3.1167,30.3852,321.3,2011-07-21,1144,D,0
-3.0472,30.4919,315.1,2011-07-23,837,D,0
-3.13,30.4284,336.5,2011-07-23,837,D,0
-3.4203,30.531,314.3,2011-07-23,837,D,0
-3.1315,30.4389,318.5,2011-07-23,837,D,0
-3.1381,30.4298,336.3,2011-07-23,1132,D,0
-3.1393,30.4207,327.3,2011-07-23,1132,D,0
-3.1433,30.7779,326.3,2011-07-23,1132,D,0
-3.1446,30.769,329.6,2011-07-23,1132,D,0
-3.2562,30.2497,327.5,2011-07-23,1132,D,0
-3.0904,30.3801,332.0,2011-07-23,1132,D,0
-3.048,30.4844,344.3,2011-07-23,1132,D,0
-3.0994,30.3814,324.9,2011-07-23,1132,D,0
-3.9314,30.0679,312.7,2011-07-24,1215,D,0
-2.9735,30.4452,313.3,2011-07-25,825,D,0
-2.9766,30.4362,354.5,2011-07-25,1120,D,0
-2.9208,30.5291,312.0,2011-07-25,1120,D,0
-2.9748,30.4486,324.4,2011-07-25,1120,D,0
-2.9825,30.4433,334.5,2011-07-25,1120,D,0
-3.3287,30.3439,303.4,2011-07-25,2045,N,0
-2.9363,30.5313,317.4,2011-07-28,1150,D,0
-3.0334,30.4512,324.2,2011-07-28,1150,D,0
-2.9386,30.5373,316.9,2011-07-28,1150,D,0
-3.6539,30.3938,315.6,2011-07-30,1138,D,0
-2.9196,30.4095,313.9,2011-08-01,831,D,0
-3.783,30.2735,318.1,2011-08-01,831,D,0
-4.1723,29.9778,324.9,2011-08-01,832,D,0
-3.2821,30.2787,354.1,2011-08-01,1126,D,0
-3.0822,30.3942,323.5,2011-08-01,1126,D,0
-3.7935,30.2633,321.3,2011-08-01,1126,D,0
-3.1676,30.4446,335.1,2011-08-01,1126,D,0
-3.5218,30.3658,315.2,2011-08-03,819,D,0
-3.531,30.3643,316.5,2011-08-03,819,D,0
-3.9655,30.1453,318.5,2011-08-03,819,D,0
-3.9221,30.0892,317.8,2011-08-03,819,D,0
-4.3092,29.7282,312.8,2011-08-03,819,D,0
-3.73,30.2278,320.5,2011-08-03,819,D,0
-3.3182,30.2277,320.9,2011-08-03,1114,D,0
-3.3133,30.2196,316.9,2011-08-03,1114,D,0
-2.6592,30.0538,324.5,2011-08-03,1114,D,0
-2.7509,29.0286,319.3,2011-08-03,1114,D,0
-3.0088,30.4635,319.8,2011-08-04,1157,D,0
-2.9942,30.4785,334.3,2011-08-04,1157,D,0
-3.9426,29.8179,325.0,2011-08-05,807,D,0
-3.9472,29.8229,315.7,2011-08-05,807,D,0
-3.9449,29.8075,321.7,2011-08-05,807,D,0
-2.9921,30.4083,338.2,2011-08-05,1101,D,0
-2.9883,30.4358,340.3,2011-08-05,1101,D,0
-3.4263,30.6301,301.0,2011-08-05,2026,N,0
-3.1595,30.372,320.4,2011-08-06,850,D,0
-3.1571,30.3547,312.6,2011-08-06,850,D,0
-4.0667,29.522,318.0,2011-08-06,1144,D,0
-3.3101,29.2112,340.1,2011-08-06,1144,D,0
-3.3088,29.2205,337.7,2011-08-06,1144,D,0
-3.0052,30.4461,370.7,2011-08-06,1144,D,0
-2.9278,30.4524,313.0,2011-08-07,754,D,0
-3.0347,30.4567,317.5,2011-08-07,754,D,0
-3.3409,30.2741,307.4,2011-08-07,2014,N,0
-4.0746,30.1373,317.6,2011-08-08,838,D,0
-4.0762,30.1483,317.6,2011-08-08,838,D,0
-2.8756,29.0943,327.5,2011-08-08,1132,D,0
-3.8657,30.0433,335.0,2011-08-10,825,D,0
-3.4989,30.2394,324.3,2011-08-10,825,D,0
-3.2457,30.7726,317.9,2011-08-10,825,D,0
-3.3366,30.1396,333.3,2011-08-10,1120,D,0
-3.3348,30.1528,353.0,2011-08-10,1120,D,0
-3.771,29.8259,317.8,2011-08-12,813,D,0
-3.7741,29.8194,320.4,2011-08-12,813,D,0
-3.3931,30.0946,311.6,2011-08-13,856,D,0
-3.57,30.3968,301.8,2011-08-14,2020,N,0
-3.1201,30.3776,325.9,2011-08-19,819,D,0
-2.9117,30.4696,323.3,2011-08-19,819,D,0
-3.1216,30.3874,320.5,2011-08-19,819,D,0
-3.0469,30.4519,314.9,2011-08-21,807,D,0
-3.3953,30.6269,320.7,2011-08-21,807,D,0
-3.4014,30.5669,326.9,2011-08-22,850,D,0
-3.0947,29.2902,321.2,2011-08-22,850,D,0
-3.9112,30.1756,330.5,2011-08-22,1144,D,0
-3.0835,30.3677,318.2,2011-08-22,1144,D,0
-3.0918,29.2947,338.4,2011-08-22,1144,D,0
-3.5092,30.2587,302.6,2011-08-23,2014,N,0
-3.5041,30.2961,302.4,2011-08-23,2014,N,0
