latitude,longitude,brightness,acq_date,acq_time,daynight,type
62.4395,21.3486,302.5,2011-04-17,1108,D,0
60.5477,23.3629,309.1,2011-04-21,851,D,0
60.5467,23.3572,308.8,2011-04-21,851,D,0
63.5212,27.1927,332.2,2011-04-23,1016,D,0
60.8007,26.3271,302.5,2011-04-23,1208,D,0
62.7874,21.2776,302.7,2011-04-25,1004,D,0
60.7983,26.4704,319.0,2011-04-25,1005,D,0
60.7982,26.2376,312.4,2011-04-26,1101,D,0
64.2251,25.7507,304.8,2011-04-27,951,D,0
62.713,22.0703,302.4,2011-04-27,952,D,0
60.7927,26.5765,313.9,2011-04-27,1006,D,0
64.2242,25.7356,300.6,2011-04-27,1007,D,0
61.0359,28.3822,300.4,2011-04-28,1035,D,0
60.6376,26.461,307.4,2011-04-28,1049,D,0
61.041,28.3717,317.4,2011-04-28,1049,D,0
61.9763,22.2782,313.3,2011-04-28,1049,D,0
60.639,26.4691,317.6,2011-04-29,940,D,0
60.6415,26.4514,330.6,2011-04-29,940,D,0
64.2674,24.7481,300.8,2011-05-04,958,D,0
62.3055,21.7143,301.2,2011-05-07,1029,D,0
60.0668,23.3414,300.0,2011-05-07,1029,D,0
60.8418,26.4877,309.8,2011-05-08,934,D,0
61.2685,21.7761,318.4,2011-05-08,1126,D,0
61.2709,21.7695,306.1,2011-05-08,1126,D,0
61.1714,26.9649,304.7,2011-05-11,826,D,0
61.1624,26.973,302.0,2011-05-11,826,D,0
61.1681,26.9846,307.1,2011-05-11,1004,D,0
61.1722,26.9638,314.9,2011-05-11,1004,D,0
61.1624,26.963,312.8,2011-05-11,1018,D,0
61.4914,22.1669,308.8,2011-05-11,1156,D,0
61.4906,22.1758,306.3,2011-05-11,1156,D,0
62.6304,29.5609,301.1,2011-05-13,1144,D,0
63.3374,24.8169,309.8,2011-05-14,1049,D,0
66.5181,29.2057,319.9,2011-05-15,938,D,0
66.5151,29.2279,321.9,2011-05-15,938,D,0
66.5063,29.2206,317.3,2011-05-15,939,D,0
66.5093,29.1984,315.9,2011-05-15,939,D,0
66.5102,29.2168,336.4,2011-05-15,955,D,0
66.5054,29.1931,318.0,2011-05-15,955,D,0
