latitude,longitude,brightness,acq_date,acq_time,daynight,type
32.064,35.6571,301.0,2011-01-17,846,D,0
30.3711,35.1795,303.9,2011-03-04,1959,N,0
30.9846,35.6689,302.4,2011-03-07,5,N,0
30.9794,35.6932,301.6,2011-03-07,5,N,0
30.9733,35.6844,306.3,2011-03-07,5,N,0
32.094,36.2099,321.3,2011-03-15,840,D,0
32.5058,36.0395,322.9,2011-05-11,834,D,0
32.0913,36.2086,322.8,2011-05-11,834,D,0
32.0894,36.22,321.8,2011-05-11,834,D,0
31.9521,36.0746,304.9,2011-05-18,1941,N,0
31.9537,36.0852,304.0,2011-05-18,1941,N,0
31.9569,36.0828,304.2,2011-05-25,1947,N,0
32.174,35.9217,339.1,2011-06-16,809,D,0
32.1723,35.9362,331.3,2011-06-16,809,D,0
32.1794,35.9119,331.9,2011-06-16,1123,D,0
32.1815,35.9383,328.3,2011-06-16,1123,D,0
32.1726,35.9167,336.8,2011-06-16,1123,D,0
31.9573,36.0867,301.4,2011-06-16,2327,N,0
31.6483,36.4464,321.2,2011-06-19,1940,N,0
31.6468,36.4359,304.4,2011-06-19,1940,N,0
32.7311,35.7495,337.7,2011-07-04,1111,D,0
32.7326,35.7649,335.7,2011-07-04,1111,D,0
31.9502,36.0775,306.6,2011-07-12,1947,N,0
32.721,35.7139,341.8,2011-07-14,834,D,0
32.1023,36.2139,312.2,2011-07-14,1935,N,0
32.1734,36.2635,315.5,2011-07-16,2339,N,0
32.1715,36.275,341.0,2011-07-16,2339,N,0
32.5108,36.1053,304.6,2011-07-19,1953,N,0
31.6516,36.4457,307.9,2011-07-26,1959,N,0
32.6873,35.6629,335.1,2011-07-28,846,D,0
31.9054,35.597,334.6,2011-07-28,846,D,0
31.9081,35.5821,338.9,2011-07-28,846,D,0
32.4964,35.8272,333.7,2011-08-13,846,D,0
32.4936,35.8425,323.7,2011-08-13,846,D,0
32.5,35.8341,341.8,2011-08-13,846,D,0
29.4589,35.0297,326.8,2011-09-12,1958,N,0
29.4603,35.0405,322.3,2011-09-12,1958,N,0
32.6355,35.6521,323.4,2011-10-22,1123,D,0
30.757,35.3012,315.9,2011-11-04,1052,D,0
30.7585,35.3116,317.4,2011-11-04,1052,D,0
32.0961,36.2074,321.4,2011-12-06,1052,D,0
32.0975,36.2179,306.1,2011-12-06,1052,D,0
