latitude,longitude,brightness,acq_date,acq_time,daynight,type
12.821,36.0448,320.9,2011-01-01,851,D,0
10.2656,29.6536,343.9,2011-01-01,852,D,0
10.6855,30.4243,324.4,2011-01-01,852,D,0
9.4588,34.0638,315.8,2011-01-01,852,D,0
10.2676,29.6408,338.7,2011-01-01,852,D,0
10.2761,29.6553,335.3,2011-01-01,852,D,0
10.3094,23.562,347.8,2011-01-01,852,D,0
9.4276,24.3885,319.0,2011-01-01,852,D,0
10.4742,24.0813,347.3,2011-01-01,852,D,0
10.2781,29.6425,325.7,2011-01-01,852,D,0
10.329,31.7464,319.0,2011-01-01,852,D,0
10.2703,29.6609,323.8,2011-01-01,852,D,0
10.2723,29.6481,355.8,2011-01-01,852,D,0
10.308,23.5722,322.3,2011-01-01,852,D,0
10.3028,23.5403,406.1,2011-01-01,852,D,0
10.3157,30.787,327.2,2011-01-01,852,D,0
10.3132,30.8024,330.2,2011-01-01,852,D,0
10.3043,30.7851,334.1,2011-01-01,852,D,0
11.0538,34.809,335.9,2011-01-01,852,D,0
11.0586,34.8036,337.2,2011-01-01,852,D,0
9.4567,34.0683,314.4,2011-01-01,852,D,0
10.3014,23.5505,382.1,2011-01-01,852,D,0
10.2999,23.5607,335.6,2011-01-01,852,D,0
10.409,34.2222,324.6,2011-01-01,852,D,0
10.449,24.6509,328.1,2011-01-01,852,D,0
10.5095,28.4203,320.7,2011-01-01,852,D,0
10.3262,30.2253,335.8,2011-01-01,852,D,0
10.1844,24.4415,330.9,2011-01-01,852,D,0
11.0536,31.5658,326.3,2011-01-01,852,D,0
10.6838,23.3752,324.7,2011-01-01,852,D,0
9.5461,23.8219,318.2,2011-01-01,852,D,0
11.4344,31.8223,321.2,2011-01-01,852,D,0
9.778,24.5775,319.5,2011-01-01,852,D,0
10.4756,24.0716,352.7,2011-01-01,852,D,0
11.497,26.611,319.1,2011-01-01,852,D,0
10.2377,24.069,315.7,2011-01-01,852,D,0
9.7344,24.4985,317.6,2011-01-01,852,D,0
10.3042,23.5301,420.1,2011-01-01,852,D,0
9.5266,23.7592,316.9,2011-01-01,852,D,0
9.288,24.0774,317.2,2011-01-01,852,D,0
10.6136,33.6542,334.3,2011-01-01,852,D,0
10.3218,23.5429,337.9,2011-01-01,852,D,0
10.3137,23.5314,362.9,2011-01-01,852,D,0
10.3203,23.5531,334.5,2011-01-01,852,D,0
10.3189,23.5634,328.6,2011-01-01,852,D,0
10.6878,30.41,321.2,2011-01-01,852,D,0
10.3123,23.5416,411.2,2011-01-01,852,D,0
10.4477,24.6603,328.7,2011-01-01,852,D,0
10.2551,29.6519,365.2,2011-01-01,852,D,0
10.3109,23.5518,384.3,2011-01-01,852,D,0
10.2808,29.6626,320.2,2011-01-01,852,D,0
10.2829,29.6498,323.8,2011-01-01,852,D,0
10.5079,28.431,326.0,2011-01-01,852,D,0
10.2571,29.6391,364.1,2011-01-01,852,D,0
10.3696,33.9205,320.4,2011-01-01,852,D,0
10.3018,30.8005,328.5,2011-01-01,852,D,0
10.5155,28.5095,319.2,2011-01-01,852,D,0
10.6755,24.0927,326.1,2011-01-01,852,D,0
10.669,24.0718,323.5,2011-01-01,852,D,0
10.6611,24.0607,325.1,2011-01-01,852,D,0
10.1948,26.0721,322.8,2011-01-01,852,D,0
10.6597,24.0705,327.4,2011-01-01,852,D,0
10.6009,24.036,319.4,2011-01-01,852,D,0
10.3395,29.6326,323.2,2011-01-01,852,D,0
10.581,24.0432,317.0,2011-01-01,852,D,0
10.3769,30.3414,321.6,2011-01-01,852,D,0
10.388,30.3432,320.2,2011-01-01,852,D,0
10.6553,24.0537,324.3,2011-01-01,852,D,0
10.4382,23.5755,319.0,2011-01-01,852,D,0
10.6934,23.3765,329.2,2011-01-01,852,D,0
11.1015,31.1984,317.7,2011-01-01,852,D,0
11.2127,29.5587,318.8,2011-01-01,852,D,0
11.2109,29.5523,328.3,2011-01-01,852,D,0
10.1961,24.0467,317.1,2011-01-01,852,D,0
11.0245,31.0331,323.0,2011-01-01,852,D,0
10.4835,24.0827,319.6,2011-01-01,852,D,0
10.4821,24.0924,321.0,2011-01-01,852,D,0
10.4039,34.2503,327.4,2011-01-01,852,D,0
10.6919,23.3871,318.8,2011-01-01,852,D,0
10.4059,34.2438,333.5,2011-01-01,852,D,0
9.4283,24.5119,318.1,2011-01-01,852,D,0
11.013,31.0312,328.0,2011-01-01,852,D,0
10.3285,30.2113,322.1,2011-01-01,852,D,0
10.2012,24.4535,320.2,2011-01-01,852,D,0
9.4167,23.8864,322.4,2011-01-01,852,D,0
10.2454,24.3984,321.7,2011-01-01,852,D,0
10.2518,24.4186,324.6,2011-01-01,852,D,0
9.9225,30.6513,319.5,2011-01-01,852,D,0
11.0593,34.779,319.1,2011-01-01,852,D,0
10.2531,24.4091,351.9,2011-01-01,852,D,0
10.1766,24.4308,319.3,2011-01-01,852,D,0
9.4259,23.8877,323.3,2011-01-01,852,D,0
10.8917,29.4391,324.2,2011-01-01,852,D,0
10.411,29.9718,323.4,2011-01-01,852,D,0
9.3265,28.7762,318.4,2011-01-01,852,D,0
11.0582,31.5731,327.9,2011-01-01,852,D,0
10.8937,29.427,326.8,2011-01-01,852,D,0
10.6165,33.66,332.3,2011-01-01,852,D,0
11.4894,26.6006,318.9,2011-01-01,852,D,0
9.1745,24.2282,317.6,2011-01-01,852,D,0
9.9053,27.808,324.3,2011-01-01,852,D,0
9.9037,27.8182,338.6,2011-01-01,852,D,0
9.3545,24.1353,318.9,2011-01-01,852,D,0
9.3615,24.1423,317.4,2011-01-01,852,D,0
9.3628,24.1329,321.7,2011-01-01,852,D,0
10.3702,33.926,322.3,2011-01-01,852,D,0
9.8959,27.8066,324.9,2011-01-01,852,D,0
10.416,29.9653,324.3,2011-01-01,852,D,0
10.3153,30.2235,328.7,2011-01-01,852,D,0
10.3175,30.2095,320.7,2011-01-01,852,D,0
9.427,24.5211,320.4,2011-01-01,852,D,0
9.8943,27.8167,343.2,2011-01-01,852,D,0
11.0611,31.5559,316.1,2011-01-01,852,D,0
10.1779,24.4213,319.0,2011-01-01,852,D,0
10.5624,28.5449,319.9,2011-01-01,852,D,0
8.899,24.3516,322.1,2011-01-01,853,D,0
9.0354,23.5323,315.1,2011-01-01,853,D,0
9.0017,23.5684,321.0,2011-01-01,853,D,0
8.7444,23.8983,327.2,2011-01-01,853,D,0
9.0976,24.0023,316.1,2011-01-01,853,D,0
9.0513,23.5548,314.7,2011-01-01,853,D,0
8.7458,23.8888,317.3,2011-01-01,853,D,0
8.7047,23.7165,314.5,2011-01-01,853,D,0
8.8259,23.7101,320.9,2011-01-01,853,D,0
8.7061,23.7067,317.6,2011-01-01,853,D,0
8.8814,24.5372,320.8,2011-01-01,853,D,0
8.9004,24.3423,320.9,2011-01-01,853,D,0
9.0255,23.6019,318.0,2011-01-01,853,D,0
8.7523,23.8961,330.1,2011-01-01,853,D,0
8.899,24.3529,336.0,2011-01-01,1154,D,0
8.9477,24.4383,322.0,2011-01-01,1154,D,0
8.7062,23.7073,323.0,2011-01-01,1154,D,0
8.8319,24.267,324.2,2011-01-01,1154,D,0
8.8977,24.3439,333.2,2011-01-01,1154,D,0
8.7384,23.9318,322.9,2011-01-01,1154,D,0
8.7691,24.019,325.0,2011-01-01,1154,D,0
8.7679,24.01,332.6,2011-01-01,1154,D,0
8.8257,23.7114,330.7,2011-01-01,1154,D,0
8.8104,23.732,324.5,2011-01-01,1154,D,0
10.7748,30.3958,330.8,2011-01-01,1155,D,0
10.3705,25.1389,355.4,2011-01-01,1155,D,0
10.4435,23.5638,328.2,2011-01-01,1155,D,0
10.4448,23.5728,331.0,2011-01-01,1155,D,0
11.4052,27.5277,325.2,2011-01-01,1155,D,0
10.6852,24.0989,327.0,2011-01-01,1155,D,0
9.3644,23.8063,323.1,2011-01-01,1155,D,0
10.7373,23.4276,328.9,2011-01-01,1155,D,0
10.736,23.4185,327.2,2011-01-01,1155,D,0
9.3631,23.7973,325.0,2011-01-01,1155,D,0
10.3718,25.1486,333.2,2011-01-01,1155,D,0
10.3811,25.1472,323.0,2011-01-01,1155,D,0
11.0431,31.5591,324.5,2011-01-01,1155,D,0
10.3891,30.2327,324.1,2011-01-01,1155,D,0
9.5225,23.7523,324.2,2011-01-01,1155,D,0
