latitude,longitude,brightness,acq_date,acq_time,daynight,type
53.5666,-0.5954,310.2,2011-01-10,227,N,2
53.5657,-0.6042,301.3,2011-01-14,2101,N,2
53.5652,-0.6054,308.9,2011-01-18,1250,D,2
53.5717,-0.624,306.3,2011-01-18,1250,D,0
53.5706,-0.593,313.1,2011-01-19,221,N,2
51.5669,-3.7654,304.3,2011-01-19,1146,D,2
53.5668,-0.6001,319.6,2011-01-20,2202,N,2
53.5712,-0.6102,306.6,2011-01-21,209,N,2
51.5667,-3.7682,309.9,2011-01-21,1133,D,2
53.566,-0.601,300.3,2011-01-22,2150,N,2
53.5655,-0.603,303.3,2011-01-28,1139,D,2
53.3958,-1.3876,304.9,2011-02-02,2132,N,0
51.5681,-3.7661,300.6,2011-02-03,1103,D,2
53.5643,-0.599,305.7,2011-02-03,1250,D,2
53.5663,-0.6003,305.2,2011-02-07,2150,N,2
53.5686,-0.5945,300.3,2011-02-08,157,N,2
51.5727,-3.7635,300.6,2011-02-08,158,N,2
51.5685,-3.762,301.8,2011-02-08,158,N,2
53.5634,-0.592,301.9,2011-02-08,1121,D,2
51.5646,-3.7666,300.2,2011-02-08,1121,D,2
53.5642,-0.5918,315.2,2011-02-14,2156,N,2
53.5623,-0.6074,303.3,2011-02-14,2156,N,2
53.5639,-0.5983,302.8,2011-02-16,1032,D,2
53.5683,-0.6049,300.1,2011-02-16,1032,D,2
53.5597,-0.6027,301.4,2011-02-16,1220,D,2
57.4971,-3.4172,300.4,2011-02-22,1132,D,0
56.8175,-2.8379,312.3,2011-03-01,1138,D,0
57.0541,-3.191,302.6,2011-03-01,1138,D,0
57.0509,-3.191,304.7,2011-03-01,1328,D,0
57.0428,-3.2915,325.3,2011-03-01,1328,D,0
56.8314,-2.8,300.0,2011-03-01,1328,D,0
57.0889,-2.9953,300.5,2011-03-01,1328,D,0
57.0869,-3.0203,307.9,2011-03-01,1328,D,0
57.3179,-3.3846,301.3,2011-03-01,1329,D,0
50.5625,-4.6948,302.1,2011-03-03,1314,D,0
56.895,-2.7788,300.9,2011-03-05,1304,D,0
57.1533,-4.5775,316.0,2011-03-05,1304,D,0
53.566,-0.5934,331.9,2011-03-07,1102,D,2
57.0957,-2.8463,308.4,2011-03-07,1102,D,0
53.568,-0.6101,300.4,2011-03-07,1102,D,2
50.464,-3.8654,303.2,2011-03-07,1250,D,0
50.8502,-1.4636,321.1,2011-03-07,1250,D,0
50.8145,-1.6721,307.2,2011-03-07,1250,D,0
50.4673,-3.8481,303.3,2011-03-07,1250,D,0
50.5661,-3.8242,319.1,2011-03-07,1250,D,0
50.5759,-3.8286,320.0,2011-03-07,1250,D,0
51.2062,-3.4977,304.4,2011-03-07,1250,D,0
51.1878,-3.6518,338.5,2011-03-07,1250,D,0
51.6356,-3.569,302.3,2011-03-07,1250,D,0
53.5641,-0.5937,309.7,2011-03-07,1251,D,2
53.5619,-0.6085,303.3,2011-03-07,1251,D,2
54.6103,-1.9475,302.4,2011-03-07,1251,D,0
57.3,-3.9592,303.5,2011-03-07,1252,D,0
57.2973,-3.9757,300.8,2011-03-07,1252,D,0
53.5711,-0.5963,300.6,2011-03-08,221,N,0
53.5701,-0.5958,300.6,2011-03-08,1145,D,2
55.8278,-2.7393,305.0,2011-03-08,1145,D,0
55.831,-2.7568,311.9,2011-03-08,1145,D,0
50.5703,-3.8369,300.3,2011-03-08,1333,D,0
54.3615,-0.7978,314.8,2011-03-08,1334,D,0
53.5629,-0.5918,306.3,2011-03-14,1109,D,2
50.7886,-1.9371,312.6,2011-03-14,1256,D,0
50.9477,-1.6977,310.0,2011-03-16,1244,D,0
50.9446,-1.7144,325.9,2011-03-16,1244,D,0
51.7611,-3.4718,310.6,2011-03-17,1140,D,0
51.7638,-3.4641,309.0,2011-03-17,1140,D,0
51.7667,-3.48,303.6,2011-03-17,1140,D,0
51.767,-3.4714,312.4,2011-03-17,1327,D,0
51.765,-3.4762,309.2,2011-03-17,1327,D,0
53.5632,-0.5984,313.7,2011-03-18,1232,D,2
54.8082,-1.9673,303.1,2011-03-19,1127,D,0
52.5848,-3.0162,304.2,2011-03-19,1127,D,0
54.3323,-1.1016,311.0,2011-03-19,1127,D,0
51.7774,-3.9011,305.0,2011-03-19,1128,D,0
51.5798,-3.765,304.7,2011-03-19,1128,D,0
51.7753,-3.8869,314.3,2011-03-19,1128,D,0
51.582,-3.7791,303.7,2011-03-19,1128,D,0
51.7062,-3.4026,305.0,2011-03-19,1315,D,0
51.6972,-3.3994,306.5,2011-03-19,1315,D,0
52.5013,-3.379,307.1,2011-03-19,1315,D,0
55.2762,-1.9519,314.0,2011-03-19,1316,D,0
55.2741,-1.9713,318.9,2011-03-19,1316,D,0
56.637,-3.5324,315.2,2011-03-21,1114,D,0
55.4135,-1.7596,300.3,2011-03-21,1114,D,0
55.8246,-2.5676,300.5,2011-03-21,1114,D,0
53.596,-0.6158,302.4,2011-03-21,1115,D,0
54.3538,-1.8785,303.2,2011-03-21,1115,D,0
54.3811,-1.1754,306.4,2011-03-21,1115,D,0
54.3832,-1.1908,301.2,2011-03-21,1115,D,0
54.4406,-1.8437,312.9,2011-03-21,1303,D,0
53.5642,-0.6076,304.8,2011-03-21,1303,D,2
54.1206,-1.7442,300.6,2011-03-21,1303,D,0
52.6273,-3.3018,302.0,2011-03-21,1303,D,0
54.378,-1.1806,303.7,2011-03-21,1303,D,0
54.8771,-2.1954,307.8,2011-03-21,1303,D,0
57.1028,-2.9776,304.3,2011-03-21,1304,D,0
53.5701,-0.5987,302.1,2011-03-22,234,N,2
54.4385,-1.8306,301.7,2011-03-22,1157,D,0
54.4413,-1.8502,301.8,2011-03-22,1157,D,0
54.6112,-1.9524,310.3,2011-03-22,1157,D,0
54.6166,-1.9768,313.0,2011-03-22,1157,D,0
54.6433,-2.0411,316.7,2011-03-22,1157,D,0
54.6486,-2.065,301.7,2011-03-22,1157,D,0
53.5683,-0.5917,304.3,2011-03-22,1157,D,2
54.7619,-1.9207,307.8,2011-03-22,1157,D,0
53.5672,-0.5995,304.4,2011-03-22,1157,D,2
54.6332,-2.0513,311.9,2011-03-22,1208,D,0
53.5675,-0.5953,300.2,2011-03-22,1208,D,2
54.0724,-2.4583,301.1,2011-03-23,1102,D,0
54.4821,-1.8867,309.3,2011-03-23,1102,D,0
55.5077,-2.0882,300.2,2011-03-23,1102,D,0
54.1414,-1.7398,300.0,2011-03-23,1102,D,0
54.2395,-1.8011,304.0,2011-03-23,1102,D,0
50.8469,-1.7321,306.8,2011-03-23,1103,D,0
51.5644,-3.7652,308.4,2011-03-23,1103,D,2
50.8487,-1.7479,302.6,2011-03-23,1103,D,0
58.2664,-4.0937,312.6,2011-03-23,1239,D,0
58.2572,-4.0967,310.2,2011-03-23,1239,D,0
51.1892,-3.7729,310.3,2011-03-23,1250,D,0
51.1859,-3.7904,318.7,2011-03-23,1250,D,0
52.0685,-3.5757,300.1,2011-03-23,1250,D,0
51.218,-3.5656,307.8,2011-03-23,1250,D,0
52.1593,-3.2448,303.4,2011-03-23,1250,D,0
52.3019,-3.6123,320.4,2011-03-23,1250,D,0
55.1899,-2.1993,324.9,2011-03-23,1251,D,0
54.9022,-2.1738,305.2,2011-03-23,1251,D,0
54.8998,-2.1892,311.7,2011-03-23,1251,D,0
54.4332,-1.9364,301.5,2011-03-23,1251,D,0
54.5663,-2.1601,300.7,2011-03-23,1251,D,0
53.5631,-0.6051,309.3,2011-03-23,1251,D,2
54.6235,-2.0391,302.5,2011-03-23,1251,D,0
54.88,-6.829,305.2,2011-03-23,1251,D,0
53.1956,-1.524,306.7,2011-03-23,1251,D,0
54.0987,-1.7395,302.7,2011-03-23,1251,D,0
54.1075,-1.7435,304.3,2011-03-23,1251,D,0
54.1363,-1.7407,312.0,2011-03-23,1251,D,0
54.2336,-2.0106,303.2,2011-03-23,1251,D,0
53.5719,-0.6089,313.4,2011-03-23,1251,D,2
55.1923,-2.184,340.0,2011-03-23,1251,D,0
55.1982,-2.2587,307.4,2011-03-23,1251,D,0
58.1947,-3.8581,351.1,2011-03-23,1252,D,0
58.2604,-4.1028,346.9,2011-03-23,1252,D,0
58.192,-3.8748,310.7,2011-03-23,1252,D,0
58.1675,-3.9695,302.4,2011-03-23,1252,D,0
53.5619,-0.5946,305.2,2011-03-23,2215,N,2
53.5707,-0.5988,305.1,2011-03-24,221,N,2
54.0329,-1.9914,315.9,2011-03-24,1145,D,0
56.7289,-3.0771,301.4,2011-03-24,1145,D,0
55.5042,-2.0675,302.2,2011-03-24,1145,D,0
56.8513,-2.8059,316.9,2011-03-24,1145,D,0
56.829,-2.8254,300.2,2011-03-24,1145,D,0
54.784,-7.2192,307.3,2011-03-24,1145,D,0
54.7862,-7.2344,353.9,2011-03-24,1145,D,0
55.5585,-2.9202,305.8,2011-03-24,1145,D,0
55.8956,-2.6262,306.7,2011-03-24,1145,D,0
54.4631,-1.9062,302.8,2011-03-24,1145,D,0
54.3471,-5.5739,301.2,2011-03-24,1145,D,0
55.675,-5.3498,323.3,2011-03-24,1145,D,0
52.153,-3.2573,303.2,2011-03-24,1146,D,0
50.4953,-4.5565,311.7,2011-03-24,1146,D,0
52.9662,-3.3634,302.7,2011-03-24,1146,D,0
50.4259,-4.8576,303.4,2011-03-24,1333,D,0
53.1387,-3.9057,325.0,2011-03-24,1334,D,0
53.1435,-3.923,347.1,2011-03-24,1334,D,0
53.1456,-3.8999,312.0,2011-03-24,1334,D,0
54.6628,-6.9979,301.2,2011-03-24,1334,D,0
54.6648,-6.9797,309.3,2011-03-24,1334,D,0
55.67,-5.3502,315.9,2011-03-24,1334,D,0
55.2138,-2.8468,301.0,2011-03-24,1334,D,0
55.7367,-2.9931,304.0,2011-03-24,1334,D,0
55.7347,-3.02,300.9,2011-03-24,1334,D,0
54.124,-5.9469,303.3,2011-03-24,1334,D,0
55.6691,-3.1164,300.6,2011-03-24,1334,D,0
55.5971,-2.8706,306.7,2011-03-24,1334,D,0
55.5617,-2.9123,302.4,2011-03-24,1334,D,0
55.5502,-2.9085,311.6,2011-03-24,1334,D,0
55.5057,-2.0863,300.6,2011-03-24,1334,D,0
56.4891,-3.831,302.2,2011-03-24,1334,D,0
54.9183,-6.8169,313.8,2011-03-24,1334,D,0
52.9661,-3.3686,302.0,2011-03-24,1334,D,0
53.1474,-3.9309,306.8,2011-03-24,1334,D,0
53.1368,-3.9277,327.2,2011-03-24,1334,D,0
56.8535,-2.8027,312.7,2011-03-24,1335,D,0
54.3204,-0.9172,303.5,2011-03-25,1050,D,0
54.3218,-0.9096,310.3,2011-03-25,1050,D,0
54.3183,-0.8942,304.4,2011-03-25,1050,D,0
52.7217,-2.4431,302.0,2011-03-25,1238,D,0
52.1495,-3.2395,303.1,2011-03-25,1238,D,0
52.1558,-3.2245,305.4,2011-03-25,1238,D,0
51.8265,-3.4222,302.2,2011-03-25,1238,D,0
52.1538,-3.2188,303.5,2011-03-25,1238,D,0
54.229,-3.1428,307.2,2011-03-25,1239,D,0
54.8524,-2.2216,300.6,2011-03-25,1239,D,0
51.5658,-3.7707,300.4,2011-03-25,2202,N,2
51.9253,-3.2047,305.3,2011-03-25,2202,N,0
54.7671,-7.3179,327.2,2011-03-26,1133,D,0
54.7579,-7.3213,309.5,2011-03-26,1133,D,0
54.765,-7.3013,318.6,2011-03-26,1133,D,0
52.9786,-4.142,316.7,2011-03-26,1321,D,0
54.5089,-6.6146,312.9,2011-03-26,1322,D,0
54.5069,-6.6301,305.1,2011-03-26,1322,D,0
54.8926,-4.3547,301.5,2011-03-26,1322,D,0
56.0756,-4.2729,305.1,2011-03-27,1215,D,0
55.2752,-2.0038,301.0,2011-03-28,1120,D,0
54.6177,-1.9632,308.2,2011-03-28,1121,D,0
51.8288,-3.4732,320.5,2011-03-28,1121,D,0
52.9506,-3.6096,308.5,2011-03-28,1121,D,0
52.9485,-3.5945,320.5,2011-03-28,1121,D,0
53.3892,-2.2907,300.5,2011-03-28,1121,D,0
54.674,-1.9662,303.5,2011-03-28,1121,D,0
52.1119,-3.307,302.3,2011-03-28,1121,D,0
51.8308,-3.4875,313.0,2011-03-28,1121,D,0
50.5871,-3.7452,301.9,2011-03-28,1122,D,0
50.5851,-3.7313,301.6,2011-03-28,1122,D,0
50.5706,-3.7495,306.4,2011-03-28,1308,D,0
50.6244,-3.8867,300.5,2011-03-28,1308,D,0
50.5619,-4.4731,351.6,2011-03-28,1308,D,0
50.5597,-4.4871,334.5,2011-03-28,1308,D,0
51.1559,-3.5631,326.7,2011-03-28,1308,D,0
