latitude,longitude,brightness,acq_date,acq_time,daynight,type
15.7167,48.8011,300.4,2011-01-01,2230,N,2
15.3359,46.8452,309.1,2011-01-01,2231,N,2
15.6155,46.0147,303.4,2011-01-01,2231,N,0
15.3345,46.855,300.6,2011-01-01,2231,N,2
15.3987,46.7903,308.2,2011-01-01,2231,N,2
15.3986,46.7851,305.9,2011-01-03,1929,N,2
15.336,46.8408,306.4,2011-01-03,1929,N,2
15.5824,45.8051,326.8,2011-01-04,743,D,0
15.3327,46.8469,306.2,2011-01-05,1917,N,2
15.3987,46.7885,310.0,2011-01-05,1917,N,2
15.8284,48.9586,313.2,2011-01-06,730,D,0
15.3339,46.8521,304.0,2011-01-06,2249,N,2
15.399,46.7847,300.7,2011-01-07,1905,N,2
15.3347,46.8431,314.9,2011-01-07,1905,N,2
15.3414,46.8339,300.6,2011-01-08,2237,N,2
15.7219,48.8233,301.6,2011-01-08,2237,N,0
15.8171,45.8379,307.7,2011-01-08,2237,N,0
15.4024,46.7937,307.3,2011-01-08,2237,N,2
15.3297,46.8509,300.6,2011-01-08,2237,N,2
15.3996,46.786,306.2,2011-01-09,1853,N,2
15.6089,46.0112,327.4,2011-01-10,1011,D,0
15.3371,46.845,306.6,2011-01-10,1936,N,2
15.3311,46.8529,306.1,2011-01-10,2225,N,2
15.4001,46.7916,307.9,2011-01-10,2225,N,2
15.4012,46.7927,307.6,2011-01-12,1923,N,2
15.3998,46.7819,301.9,2011-01-12,1923,N,0
15.3355,46.8411,315.0,2011-01-12,1923,N,2
15.6118,46.0085,302.1,2011-01-12,1923,N,0
15.3343,46.8518,301.9,2011-01-13,2255,N,2
15.8268,48.9576,301.8,2011-01-14,1911,N,0
15.3454,46.833,300.6,2011-01-14,1911,N,2
15.6121,46.0086,304.5,2011-01-14,1911,N,0
15.7159,48.8181,303.8,2011-01-14,1911,N,2
15.7132,48.7984,303.2,2011-01-14,1911,N,2
15.6988,48.8307,300.3,2011-01-14,1911,N,0
15.3289,46.8451,314.7,2011-01-14,1911,N,2
15.4029,46.7966,306.6,2011-01-15,2243,N,2
15.3405,46.8364,300.3,2011-01-15,2243,N,2
15.4044,46.7869,301.5,2011-01-15,2243,N,0
15.339,46.8462,314.4,2011-01-15,2243,N,2
15.3374,46.8559,302.1,2011-01-15,2243,N,2
15.6966,48.8269,300.6,2011-01-16,1859,N,0
15.333,46.8485,311.8,2011-01-16,1859,N,2
