latitude,longitude,brightness,acq_date,acq_time,daynight,type
43.0711,17.6352,315.2,2012-01-07,915,D,0
43.0709,17.6136,314.4,2012-01-07,915,D,0
44.8996,15.7531,347.7,2012-01-18,1216,D,0
44.9096,15.751,308.6,2012-01-18,1216,D,0
44.9079,15.7349,301.1,2012-01-18,1216,D,0
44.7976,18.8716,301.5,2012-03-01,1158,D,0
45.0106,17.8553,301.3,2012-03-02,1103,D,0
44.9653,17.9127,300.9,2012-03-02,1241,D,0
44.8385,18.0448,306.8,2012-03-03,1146,D,0
44.8365,18.0322,310.4,2012-03-03,1146,D,0
44.9252,16.2337,301.0,2012-03-03,1146,D,0
44.3916,18.8282,300.8,2012-03-03,1146,D,0
44.9493,18.0447,303.1,2012-03-03,1146,D,0
44.9404,18.0475,327.3,2012-03-03,1146,D,0
44.9007,18.0256,305.3,2012-03-03,1146,D,0
44.9026,18.0383,305.9,2012-03-03,1146,D,0
44.8355,18.3937,301.5,2012-03-03,1146,D,0
45.0837,18.1888,300.2,2012-03-04,1229,D,0
44.828,17.9503,304.0,2012-03-04,1229,D,0
44.8214,17.9464,303.9,2012-03-04,1229,D,0
45.117,18.3663,314.6,2012-03-05,951,D,0
43.3766,17.6796,308.5,2012-03-05,951,D,0
44.828,17.0549,304.6,2012-03-05,951,D,0
44.9073,17.148,301.5,2012-03-05,951,D,0
45.1089,15.9324,300.7,2012-03-05,951,D,0
44.9162,17.0852,305.0,2012-03-05,951,D,0
44.92,18.6814,301.9,2012-03-05,951,D,0
44.9033,18.7289,306.7,2012-03-05,951,D,0
45.1189,18.3538,300.8,2012-03-05,951,D,0
43.3701,17.6732,300.6,2012-03-05,1133,D,0
44.8199,17.9456,301.9,2012-03-05,1134,D,0
45.0154,18.5043,324.7,2012-03-05,1134,D,0
44.82,17.9522,302.5,2012-03-05,1134,D,0
44.8976,17.1392,301.0,2012-03-05,1134,D,0
45.0127,18.4898,312.3,2012-03-05,1134,D,0
44.9386,18.0269,306.5,2012-03-05,1134,D,0
44.4476,16.2321,301.1,2012-03-05,1134,D,0
44.8709,16.0473,304.2,2012-03-05,1134,D,0
44.9067,18.6631,329.5,2012-03-05,1134,D,0
45.0139,18.5103,311.5,2012-03-05,1134,D,0
45.0114,18.4957,327.0,2012-03-05,1134,D,0
44.9092,18.6774,308.8,2012-03-05,1134,D,0
45.1385,16.7021,300.8,2012-03-05,1134,D,0
44.8614,16.3486,307.3,2012-03-05,2058,N,0
44.9242,18.306,300.3,2012-03-06,1216,D,0
44.8654,16.0532,302.7,2012-03-06,1216,D,0
44.9893,18.2909,304.4,2012-03-06,1216,D,0
45.075,16.0158,307.8,2012-03-06,1217,D,0
44.1467,16.4557,302.9,2012-03-07,939,D,0
44.3576,19.0101,301.5,2012-03-07,939,D,0
45.0121,17.922,304.2,2012-03-07,1121,D,0
44.9306,17.7705,306.1,2012-03-07,1121,D,0
