latitude,longitude,brightness,acq_date,acq_time,daynight,type
9.9506,-4.5051,309.6,2012-01-01,214,N,0
10.1632,-3.9778,308.4,2012-01-01,214,N,0
9.9535,-4.497,303.2,2012-01-01,214,N,0
9.9555,-4.5098,301.7,2012-01-01,214,N,0
11.7728,2.0739,325.1,2012-01-01,1000,D,0
11.7775,2.0676,326.7,2012-01-01,1000,D,0
10.8376,-3.884,322.5,2012-01-01,1303,D,0
11.7471,1.3443,334.6,2012-01-01,1303,D,0
11.2631,0.8453,326.4,2012-01-01,1303,D,0
10.0938,-3.3354,324.1,2012-01-01,1303,D,0
10.5198,-4.2261,321.6,2012-01-01,1303,D,0
11.8427,-0.1835,322.3,2012-01-01,1303,D,0
11.7495,1.3596,349.3,2012-01-01,1303,D,0
11.7711,2.0574,332.1,2012-01-01,1303,D,0
11.5341,2.0324,327.6,2012-01-01,1303,D,0
11.7676,2.0646,330.7,2012-01-01,1303,D,0
10.0982,-3.3433,323.6,2012-01-01,1303,D,0
11.7475,1.3549,353.1,2012-01-01,1303,D,0
10.8392,-3.8879,322.6,2012-01-01,1303,D,0
9.8892,-4.6397,307.1,2012-01-01,2228,N,0
9.8687,-4.6363,320.4,2012-01-01,2228,N,0
11.8111,0.8799,302.6,2012-01-01,2228,N,0
9.872,-4.4218,310.4,2012-01-01,2228,N,0
12.5382,-1.8211,301.1,2012-01-01,2228,N,0
9.8789,-4.638,326.5,2012-01-01,2228,N,0
11.7906,0.8722,345.6,2012-01-01,2228,N,0
11.792,0.8827,312.4,2012-01-01,2228,N,0
12.5292,-1.8197,303.6,2012-01-01,2228,N,0
9.8699,-4.4277,304.9,2012-01-01,2228,N,0
11.8001,0.8709,309.1,2012-01-01,2228,N,0
11.8015,0.8813,316.5,2012-01-01,2228,N,0
10.0442,-3.6874,303.9,2012-01-01,2228,N,0
11.8848,-1.8184,301.7,2012-01-01,2228,N,0
9.8668,-4.6485,307.2,2012-01-01,2228,N,0
11.7954,0.8841,303.6,2012-01-02,118,N,0
12.1805,-1.5,324.4,2012-01-02,1043,D,0
11.1213,-2.1922,326.1,2012-01-02,1043,D,0
12.5809,-2.3434,320.9,2012-01-02,1043,D,0
11.6314,-2.2743,319.0,2012-01-02,1043,D,0
11.2147,-1.6391,322.6,2012-01-02,1043,D,0
11.2374,0.4521,327.9,2012-01-02,1043,D,0
11.0384,-2.0013,321.8,2012-01-02,1043,D,0
11.1941,-1.9994,325.5,2012-01-02,1043,D,0
11.046,-1.8062,343.2,2012-01-02,1043,D,0
11.0447,-1.7972,330.6,2012-01-02,1043,D,0
11.2518,-2.0127,321.2,2012-01-02,1043,D,0
13.1478,0.1539,319.9,2012-01-02,1043,D,0
11.156,-2.428,321.2,2012-01-02,1043,D,0
11.3408,0.4427,321.3,2012-01-02,1043,D,0
11.3392,0.4532,326.2,2012-01-02,1043,D,0
11.6746,-3.4628,321.5,2012-01-02,1043,D,0
12.5395,-2.0594,319.2,2012-01-02,1043,D,0
11.7003,-5.1692,316.9,2012-01-02,1043,D,0
11.8273,0.8718,326.9,2012-01-02,1043,D,0
11.1474,-2.7467,320.8,2012-01-02,1043,D,0
11.1227,-1.8253,324.0,2012-01-02,1043,D,0
11.6499,-1.7742,320.9,2012-01-02,1043,D,0
11.3644,-2.2764,320.5,2012-01-02,1043,D,0
12.2927,-3.6832,322.7,2012-01-02,1043,D,0
11.7617,1.3534,320.6,2012-01-02,1043,D,0
11.6513,-1.7833,338.6,2012-01-02,1043,D,0
11.0991,0.2801,325.3,2012-01-02,1043,D,0
11.7594,-1.8907,323.6,2012-01-02,1043,D,0
11.7607,-1.8998,340.5,2012-01-02,1043,D,0
11.4751,-3.3563,339.8,2012-01-02,1043,D,0
11.3368,-0.3125,321.9,2012-01-02,1043,D,0
11.1007,0.2698,333.4,2012-01-02,1043,D,0
12.2306,-1.9006,324.1,2012-01-02,1043,D,0
11.6602,-1.7819,336.6,2012-01-02,1043,D,0
11.7899,-1.5371,318.5,2012-01-02,1043,D,0
11.7736,-1.5552,336.8,2012-01-02,1043,D,0
11.0661,-1.757,328.0,2012-01-02,1043,D,0
11.1976,0.302,326.6,2012-01-02,1043,D,0
11.6825,-1.3738,319.3,2012-01-02,1043,D,0
11.6134,-1.8416,320.1,2012-01-02,1043,D,0
11.0843,-1.8125,327.1,2012-01-02,1043,D,0
12.1818,-1.509,320.7,2012-01-02,1043,D,0
11.4522,-3.2622,323.0,2012-01-02,1043,D,0
11.4431,-3.2635,333.2,2012-01-02,1043,D,0
11.7646,-1.5566,324.6,2012-01-02,1043,D,0
11.2603,-2.3817,320.6,2012-01-02,1043,D,0
11.0675,-1.7661,331.9,2012-01-02,1043,D,0
10.0903,-3.8536,324.7,2012-01-02,1044,D,0
10.2975,-3.9512,320.0,2012-01-02,1044,D,0
10.1078,-3.9108,320.6,2012-01-02,1044,D,0
11.0488,-3.7247,330.6,2012-01-02,1044,D,0
11.0774,-2.7723,331.3,2012-01-02,1044,D,0
10.4429,-4.1272,329.7,2012-01-02,1044,D,0
11.0474,-3.715,320.9,2012-01-02,1044,D,0
10.3608,-4.4042,321.4,2012-01-02,1044,D,0
10.852,-4.4207,319.9,2012-01-02,1044,D,0
10.0699,-3.709,322.0,2012-01-02,1044,D,0
10.3946,-5.246,317.9,2012-01-02,1044,D,0
9.8767,-4.8195,320.9,2012-01-02,1044,D,0
9.8864,-4.8181,340.3,2012-01-02,1044,D,0
9.8879,-4.8288,327.5,2012-01-02,1044,D,0
10.1794,-3.7659,320.5,2012-01-02,1044,D,0
11.0787,-2.7815,323.1,2012-01-02,1044,D,0
10.6267,-4.0582,321.8,2012-01-02,1044,D,0
9.9955,-4.4908,336.7,2012-01-02,1044,D,0
10.0917,-3.8634,320.7,2012-01-02,1044,D,0
9.7904,-2.9157,325.4,2012-01-02,1044,D,0
10.3962,-5.2574,317.3,2012-01-02,1044,D,0
10.0945,-4.1301,321.4,2012-01-02,1044,D,0
10.6217,-4.2964,319.4,2012-01-02,1044,D,0
10.5912,-4.5292,319.2,2012-01-02,1044,D,0
9.9969,-4.5011,324.0,2012-01-02,1044,D,0
10.4645,-4.4892,321.7,2012-01-02,1044,D,0
10.5117,-4.4086,317.3,2012-01-02,1044,D,0
10.6237,-4.4818,320.6,2012-01-02,1044,D,0
9.7994,-2.9144,322.4,2012-01-02,1044,D,0
10.6203,-4.2862,322.0,2012-01-02,1044,D,0
11.1129,-5.2026,323.6,2012-01-02,1044,D,0
10.0712,-3.7187,345.7,2012-01-02,1044,D,0
10.4801,-3.4796,327.4,2012-01-02,1044,D,0
10.6252,-4.4924,318.5,2012-01-02,1044,D,0
10.1065,-4.656,328.5,2012-01-02,1044,D,0
9.9904,-4.4876,326.5,2012-01-02,1044,D,0
10.1123,-3.5475,333.2,2012-01-02,1044,D,0
9.9518,-3.1389,322.7,2012-01-02,1044,D,0
10.083,-3.8513,322.4,2012-01-02,1044,D,0
10.4523,-4.1259,319.4,2012-01-02,1044,D,0
9.9542,-3.9252,320.3,2012-01-02,1044,D,0
10.2217,-3.9985,320.5,2012-01-02,1044,D,0
10.6857,-4.7606,320.1,2012-01-02,1044,D,0
10.7501,-3.9673,320.9,2012-01-02,1044,D,0
9.8169,-3.0986,320.8,2012-01-02,1044,D,0
10.9226,-4.1311,322.1,2012-01-02,1044,D,0
9.8079,-3.0999,323.3,2012-01-02,1044,D,0
10.6297,-4.2848,322.2,2012-01-02,1044,D,0
9.9919,-4.4978,338.1,2012-01-02,1044,D,0
10.1687,-3.3014,337.0,2012-01-02,1345,D,0
10.0813,-3.8567,333.3,2012-01-02,1345,D,0
10.089,-3.8671,333.2,2012-01-02,1345,D,0
10.0979,-3.8684,325.4,2012-01-02,1345,D,0
9.938,-4.5292,335.8,2012-01-02,1345,D,0
9.9469,-4.5305,353.0,2012-01-02,1345,D,0
10.0967,-3.8774,327.5,2012-01-02,1345,D,0
10.0266,-4.4937,330.9,2012-01-02,1345,D,0
10.012,-4.658,371.9,2012-01-02,1345,D,0
10.0614,-3.0175,344.0,2012-01-02,1345,D,0
10.057,-4.5999,326.3,2012-01-02,1345,D,0
10.048,-4.5986,338.6,2012-01-02,1345,D,0
10.0995,-3.2658,330.7,2012-01-02,1345,D,0
9.9393,-4.8423,334.7,2012-01-02,1345,D,0
9.8735,-4.6584,324.2,2012-01-02,1345,D,0
9.5231,-2.788,327.0,2012-01-02,1345,D,0
9.9456,-4.5396,384.2,2012-01-02,1345,D,0
9.8774,-4.6312,336.5,2012-01-02,1345,D,0
10.0865,-3.5542,326.8,2012-01-02,1345,D,0
10.0852,-3.5633,336.4,2012-01-02,1345,D,0
10.0954,-3.5555,325.0,2012-01-02,1345,D,0
9.8727,-4.3477,333.2,2012-01-02,1345,D,0
9.9366,-4.5382,367.4,2012-01-02,1345,D,0
10.0722,-3.7191,327.3,2012-01-02,1345,D,0
10.1674,-3.3107,334.9,2012-01-02,1345,D,0
9.7369,-4.3302,334.2,2012-01-02,1345,D,0
10.2639,-3.3398,328.1,2012-01-02,1345,D,0
10.0583,-4.5909,331.1,2012-01-02,1345,D,0
9.7484,-4.3135,326.5,2012-01-02,1345,D,0
10.2601,-3.3675,336.4,2012-01-02,1345,D,0
9.7471,-4.3225,330.4,2012-01-02,1345,D,0
9.8202,-4.3951,323.6,2012-01-02,1345,D,0
9.7855,-4.3098,323.6,2012-01-02,1345,D,0
10.273,-3.3412,330.2,2012-01-02,1345,D,0
10.0912,-3.0695,338.4,2012-01-02,1345,D,0
9.7981,-2.9893,327.9,2012-01-02,1345,D,0
9.93,-3.0967,325.2,2012-01-02,1345,D,0
9.9278,-4.8526,333.9,2012-01-02,1345,D,0
10.0899,-3.0789,328.4,2012-01-02,1345,D,0
10.019,-4.4833,324.9,2012-01-02,1345,D,0
10.0279,-4.4847,338.6,2012-01-02,1345,D,0
9.8816,-4.349,325.3,2012-01-02,1345,D,0
10.0596,-4.5818,324.8,2012-01-02,1345,D,0
10.0493,-4.5896,358.6,2012-01-02,1345,D,0
10.0506,-4.5805,398.6,2012-01-02,1345,D,0
9.8096,-3.1049,326.4,2012-01-02,1345,D,0
10.0709,-3.7282,335.0,2012-01-02,1345,D,0
9.7382,-4.3212,350.4,2012-01-02,1345,D,0
10.0696,-3.7373,353.3,2012-01-02,1345,D,0
9.9305,-4.8343,356.9,2012-01-02,1345,D,0
10.0982,-3.2751,331.8,2012-01-02,1345,D,0
10.0133,-4.6489,338.5,2012-01-02,1345,D,0
9.9291,-4.8434,381.4,2012-01-02,1345,D,0
9.9407,-4.8332,333.9,2012-01-02,1345,D,0
11.0605,-1.7631,328.9,2012-01-02,1346,D,0
10.5272,-2.9035,324.9,2012-01-02,1346,D,0
11.427,-1.9157,353.5,2012-01-02,1346,D,0
10.6887,-4.4319,326.1,2012-01-02,1346,D,0
10.8572,-3.9648,325.4,2012-01-02,1346,D,0
10.3629,-3.8791,323.5,2012-01-02,1346,D,0
11.7653,-1.9114,325.0,2012-01-02,1346,D,0
10.8818,-3.7266,346.6,2012-01-02,1346,D,0
11.2625,-3.44,328.9,2012-01-02,1346,D,0
10.2898,-4.6435,326.0,2012-01-02,1346,D,0
10.2912,-4.6344,324.7,2012-01-02,1346,D,0
11.7059,-3.4876,326.7,2012-01-02,1346,D,0
10.2084,-3.9918,327.4,2012-01-02,1346,D,0
11.0936,-0.4607,326.9,2012-01-02,1346,D,0
11.2107,-1.641,326.2,2012-01-02,1346,D,0
11.2612,-3.4493,324.6,2012-01-02,1346,D,0
11.2087,-1.6463,327.2,2012-01-02,1346,D,0
11.5356,-1.6494,325.9,2012-01-02,1346,D,0
11.6388,-1.7816,331.9,2012-01-02,1346,D,0
10.7974,-4.5102,338.0,2012-01-02,1346,D,0
10.7185,-3.709,324.8,2012-01-02,1346,D,0
11.2213,-5.0842,326.3,2012-01-02,1346,D,0
11.2199,-5.0934,322.7,2012-01-02,1346,D,0
11.2302,-5.0856,323.2,2012-01-02,1346,D,0
10.7405,-5.0926,326.0,2012-01-02,1346,D,0
10.6311,-4.0671,328.1,2012-01-02,1346,D,0
10.8805,-3.7358,359.7,2012-01-02,1346,D,0
10.4986,-4.4098,324.2,2012-01-02,1346,D,0
10.5075,-4.4111,325.0,2012-01-02,1346,D,0
11.4322,-4.7749,325.1,2012-01-02,1346,D,0
11.4906,-4.8765,336.3,2012-01-02,1346,D,0
11.4893,-4.8856,349.4,2012-01-02,1346,D,0
11.5001,-4.8744,331.2,2012-01-02,1346,D,0
11.4988,-4.8835,330.3,2012-01-02,1346,D,0
10.7591,-4.523,324.5,2012-01-02,1346,D,0
10.7502,-4.5216,333.3,2012-01-02,1346,D,0
11.1114,-5.2016,324.0,2012-01-02,1346,D,0
10.8908,-3.728,331.6,2012-01-02,1346,D,0
10.9257,-3.7387,331.2,2012-01-02,1346,D,0
10.6866,-5.3961,324.8,2012-01-02,1346,D,0
11.757,-1.8992,323.2,2012-01-02,1346,D,0
11.1094,-3.9364,329.6,2012-01-02,1346,D,0
11.1004,-3.9351,338.0,2012-01-02,1346,D,0
10.3072,-3.9485,334.8,2012-01-02,1346,D,0
10.6195,-3.8829,326.0,2012-01-02,1346,D,0
10.8051,-4.5206,332.8,2012-01-02,1346,D,0
11.957,-1.8508,325.6,2012-01-02,1346,D,0
10.9097,-4.3018,328.4,2012-01-02,1346,D,0
12.3311,-4.3434,327.5,2012-01-02,1346,D,0
13.161,-2.8151,325.1,2012-01-02,1346,D,0
10.4924,-4.3258,324.2,2012-01-02,1346,D,0
11.8693,-1.8995,326.6,2012-01-02,1346,D,0
10.3137,-5.0542,325.5,2012-01-02,1346,D,0
10.2071,-4.0008,330.4,2012-01-02,1346,D,0
11.7817,-1.4835,323.3,2012-01-02,1346,D,0
10.3283,-4.7021,324.5,2012-01-02,1346,D,0
11.7651,1.1523,326.7,2012-01-02,1346,D,0
10.4734,-3.486,326.4,2012-01-02,1346,D,0
11.8908,-1.8134,324.7,2012-01-02,1346,D,0
11.8893,-1.8244,333.4,2012-01-02,1346,D,0
11.2487,-2.0186,328.6,2012-01-02,1346,D,0
10.8716,-4.8297,324.0,2012-01-02,1346,D,0
10.9321,-3.6929,327.3,2012-01-02,1346,D,0
10.9178,-3.6665,327.3,2012-01-02,1346,D,0
11.0438,-2.5647,326.9,2012-01-02,1346,D,0
11.6506,-1.7899,327.5,2012-01-02,1346,D,0
11.647,-1.7939,329.3,2012-01-02,1346,D,0
11.3267,0.4356,325.2,2012-01-02,1346,D,0
11.1101,-5.2108,324.8,2012-01-02,1346,D,0
10.5042,-4.6879,340.6,2012-01-02,1346,D,0
10.7961,-4.5193,331.6,2012-01-02,1346,D,0
10.3971,-4.796,328.3,2012-01-02,1346,D,0
11.2999,-0.7417,337.1,2012-01-02,1346,D,0
10.9334,-3.7492,341.1,2012-01-02,1346,D,0
11.4563,0.3653,322.8,2012-01-02,1346,D,0
10.4291,-4.32,341.5,2012-01-02,1346,D,0
11.2997,-5.1114,326.4,2012-01-02,1346,D,0
11.1713,-3.562,328.7,2012-01-02,1346,D,0
10.749,-4.2656,336.2,2012-01-02,1346,D,0
12.2988,-3.525,335.6,2012-01-02,1346,D,0
10.7477,-4.2746,328.5,2012-01-02,1346,D,0
10.7712,-4.2479,326.7,2012-01-02,1346,D,0
11.7667,-1.9006,324.5,2012-01-02,1346,D,0
10.4278,-4.329,343.4,2012-01-02,1346,D,0
