latitude,longitude,brightness,acq_date,acq_time,daynight,type
-40.5171,-72.1423,313.5,2012-01-01,406,N,2
-38.0306,-72.4373,304.9,2012-01-01,406,N,0
-40.5203,-72.1592,325.7,2012-01-01,406,N,2
-36.832,-72.559,302.3,2012-01-01,407,N,0
-36.8176,-72.5448,316.5,2012-01-01,407,N,0
-36.821,-72.5628,315.1,2012-01-01,407,N,0
-36.8147,-72.5281,317.3,2012-01-01,545,N,0
-36.8198,-72.5585,337.9,2012-01-01,545,N,0
-36.8098,-72.5559,307.1,2012-01-01,545,N,0
-36.8123,-72.542,328.5,2012-01-01,545,N,0
-36.8222,-72.5447,316.8,2012-01-01,545,N,0
-36.8208,-72.5496,326.3,2012-01-01,545,N,0
-36.8307,-72.5525,302.0,2012-01-01,545,N,0
-36.7948,-72.5806,303.8,2012-01-01,545,N,0
-36.7998,-72.553,307.3,2012-01-01,545,N,0
-36.8182,-72.5634,324.6,2012-01-01,545,N,0
-40.5246,-72.1393,310.8,2012-01-01,546,N,2
-40.5225,-72.1518,332.6,2012-01-01,546,N,2
-36.8188,-72.5561,336.3,2012-01-01,1510,D,0
-36.7836,-72.5935,391.0,2012-01-01,1510,D,0
-37.4763,-73.3494,316.5,2012-01-01,1510,D,2
-36.7852,-72.5792,358.7,2012-01-01,1510,D,0
-36.7936,-72.5959,362.6,2012-01-01,1510,D,0
-36.7953,-72.5817,355.0,2012-01-01,1510,D,0
-38.4813,-73.3366,312.9,2012-01-01,1510,D,0
-38.1458,-72.9091,319.1,2012-01-01,1510,D,0
-36.8053,-72.5837,318.9,2012-01-01,1510,D,0
-38.4802,-73.3455,312.2,2012-01-01,1510,D,0
-38.2292,-73.4124,320.2,2012-01-01,1510,D,0
-36.8087,-72.5543,345.5,2012-01-01,1510,D,0
-36.8104,-72.5399,349.1,2012-01-01,1510,D,0
-36.7735,-72.5915,317.9,2012-01-01,1510,D,0
-36.8205,-72.5418,331.2,2012-01-01,1510,D,0
-37.6112,-73.6513,310.0,2012-01-01,1510,D,0
-41.4026,-72.9042,309.7,2012-01-01,1511,D,0
-40.5258,-72.1407,351.6,2012-01-01,1511,D,2
-41.8721,-73.809,308.2,2012-01-01,1511,D,0
-40.5273,-72.1478,355.9,2012-01-01,1511,D,2
-40.5239,-72.1588,341.6,2012-01-01,1511,D,2
-45.5831,-72.0447,306.0,2012-01-01,1512,D,0
-45.5813,-72.0663,305.7,2012-01-01,1512,D,0
-36.8052,-72.5781,382.5,2012-01-01,1924,D,0
-36.7738,-72.5001,342.2,2012-01-01,1924,D,0
-36.7461,-72.568,392.1,2012-01-01,1924,D,0
-36.8062,-72.5176,369.5,2012-01-01,1924,D,0
-36.7723,-72.5262,442.1,2012-01-01,1924,D,0
-36.7606,-72.505,335.3,2012-01-01,1924,D,0
-36.3479,-72.5299,339.8,2012-01-01,1924,D,0
-36.793,-72.5225,397.9,2012-01-01,1924,D,0
-36.831,-72.5334,332.5,2012-01-01,1924,D,0
-36.8369,-72.5601,342.1,2012-01-01,1924,D,0
-36.8179,-72.5385,375.8,2012-01-01,1924,D,0
-36.824,-72.5657,338.0,2012-01-01,1924,D,0
-36.8046,-72.543,421.2,2012-01-01,1924,D,0
-36.8109,-72.5709,377.4,2012-01-01,1924,D,0
-36.7914,-72.5476,407.1,2012-01-01,1924,D,0
-36.7978,-72.5757,386.7,2012-01-01,1924,D,0
-36.8038,-72.6021,376.5,2012-01-01,1924,D,0
-38.6048,-72.7359,337.1,2012-01-01,1924,D,0
-36.7403,-72.542,339.2,2012-01-01,1924,D,0
-36.7387,-72.5987,348.0,2012-01-01,1924,D,0
-38.6039,-72.7281,340.7,2012-01-01,1924,D,0
-36.7854,-72.5209,410.6,2012-01-01,1924,D,0
-36.759,-72.5622,373.4,2012-01-01,1924,D,0
-36.7651,-72.5894,380.6,2012-01-01,1924,D,0
-36.7781,-72.5517,438.4,2012-01-01,1924,D,0
-36.771,-72.6163,340.6,2012-01-01,1924,D,0
-36.7518,-72.5937,430.7,2012-01-01,1924,D,0
-36.7578,-72.6207,328.5,2012-01-01,1924,D,0
-36.7843,-72.579,370.1,2012-01-01,1924,D,0
-36.7904,-72.6057,360.6,2012-01-01,1924,D,0
-36.7843,-72.6119,346.7,2012-01-01,1924,D,0
-36.7799,-72.5275,457.2,2012-01-01,1924,D,0
-36.733,-72.5733,343.7,2012-01-01,1924,D,0
-36.7531,-72.5357,401.5,2012-01-01,1924,D,0
-36.7667,-72.5324,433.6,2012-01-01,1924,D,0
-36.7985,-72.5159,384.3,2012-01-01,1924,D,0
-36.8117,-72.511,340.7,2012-01-01,1924,D,0
-36.8122,-72.545,386.7,2012-01-01,1924,D,0
-36.8182,-72.5725,337.7,2012-01-01,1924,D,0
-36.799,-72.55,409.4,2012-01-01,1924,D,0
-36.7724,-72.5582,444.4,2012-01-01,1924,D,0
-36.8109,-72.6039,332.8,2012-01-01,1924,D,0
-36.7857,-72.5539,408.8,2012-01-01,1924,D,0
-36.7918,-72.5818,378.8,2012-01-01,1924,D,0
-36.7976,-72.6081,370.4,2012-01-01,1924,D,0
-36.7784,-72.5853,350.3,2012-01-01,1924,D,0
-36.005,-72.3471,333.4,2012-01-01,1925,D,0
-35.9913,-72.3516,331.4,2012-01-01,1925,D,0
-35.9941,-72.3453,345.1,2012-01-01,1925,D,0
-38.4684,-73.3418,303.2,2012-01-02,311,N,0
-35.9878,-72.1754,307.1,2012-01-02,312,N,0
-36.7668,-72.6192,309.6,2012-01-02,312,N,0
-36.7669,-72.575,329.6,2012-01-02,312,N,0
-36.7689,-72.6,339.3,2012-01-02,312,N,0
-36.7709,-72.6251,319.3,2012-01-02,312,N,0
-36.0792,-72.5177,312.7,2012-01-02,312,N,0
-36.0923,-72.5167,394.5,2012-01-02,312,N,0
-36.1072,-72.5383,309.7,2012-01-02,312,N,0
-36.1054,-72.5153,367.9,2012-01-02,312,N,0
-36.1202,-72.5361,357.5,2012-01-02,312,N,0
-36.1184,-72.5126,376.9,2012-01-02,312,N,0
-36.1333,-72.5346,331.3,2012-01-02,312,N,0
-36.1314,-72.511,395.1,2012-01-02,312,N,0
-36.1446,-72.5104,337.0,2012-01-02,312,N,0
-36.1304,-72.5295,347.2,2012-01-02,312,N,0
-36.1287,-72.5063,392.3,2012-01-02,312,N,0
-36.6782,-72.59,363.3,2012-01-02,312,N,0
-36.799,-72.5134,311.5,2012-01-02,312,N,0
-36.7858,-72.5146,310.5,2012-01-02,312,N,0
-36.7726,-72.5156,335.3,2012-01-02,312,N,0
-36.7594,-72.5177,327.2,2012-01-02,312,N,0
-36.7761,-72.522,324.4,2012-01-02,312,N,0
-36.7139,-72.5804,315.6,2012-01-02,312,N,0
-36.761,-72.4994,313.8,2012-01-02,312,N,0
-36.7629,-72.5235,327.5,2012-01-02,312,N,0
-36.7119,-72.5532,309.7,2012-01-02,312,N,0
-36.7291,-72.6044,375.9,2012-01-02,312,N,0
-36.725,-72.5507,324.4,2012-01-02,312,N,0
-36.7424,-72.6034,326.5,2012-01-02,312,N,0
-35.9024,-71.9095,317.5,2012-01-02,312,N,0
-36.1419,-72.5057,356.3,2012-01-02,312,N,0
-36.7231,-72.5256,338.9,2012-01-02,312,N,0
-36.6967,-72.5279,319.1,2012-01-02,312,N,0
-36.6818,-72.5066,417.2,2012-01-02,312,N,0
-36.6837,-72.5325,353.9,2012-01-02,312,N,0
-36.6688,-72.5094,446.1,2012-01-02,312,N,0
-36.6705,-72.5337,347.5,2012-01-02,312,N,0
-36.7002,-72.5324,311.4,2012-01-02,312,N,0
-36.6852,-72.5112,389.4,2012-01-02,312,N,0
-36.6873,-72.5372,339.3,2012-01-02,312,N,0
-36.6722,-72.5141,420.3,2012-01-02,312,N,0
-36.95,-72.1345,305.1,2012-01-02,312,N,0
-36.6741,-72.539,327.3,2012-01-02,312,N,0
-36.659,-72.5159,419.5,2012-01-02,312,N,0
-36.6609,-72.5401,332.7,2012-01-02,312,N,0
-36.6459,-72.5185,338.0,2012-01-02,312,N,0
-36.6478,-72.5431,322.0,2012-01-02,312,N,0
-36.6347,-72.5454,317.0,2012-01-02,312,N,0
-35.9012,-71.9151,322.7,2012-01-02,312,N,0
