latitude,longitude,brightness,acq_date,acq_time,daynight,type
34.7309,32.946,324.1,2012-05-09,858,D,0
34.7703,32.6627,324.3,2012-06-18,1124,D,0
34.7686,32.6459,326.2,2012-06-18,1124,D,0
35.0382,32.343,359.3,2012-07-03,904,D,0
35.0276,32.3397,338.3,2012-07-03,904,D,0
35.0349,32.3601,339.8,2012-07-03,904,D,0
35.0244,32.3564,328.6,2012-07-03,904,D,0
35.0282,32.35,338.9,2012-07-03,1042,D,0
35.0389,32.3468,335.7,2012-07-03,1042,D,0
35.0144,32.3375,326.6,2012-07-03,1042,D,0
35.0252,32.3343,364.0,2012-07-03,1042,D,0
35.0241,32.3394,367.9,2012-07-03,1042,D,0
35.0209,32.3225,334.0,2012-07-03,1042,D,0
34.7833,33.4231,343.0,2012-07-04,1124,D,0
35.0179,33.3228,327.1,2012-07-30,1023,D,0
34.9272,32.4451,342.6,2012-08-07,1112,D,0
34.858,32.4777,306.9,2012-08-10,1929,N,0
34.8383,33.3471,331.5,2012-08-12,1130,D,0
34.8232,33.3237,350.6,2012-08-12,1130,D,0
34.8362,33.3211,362.1,2012-08-12,1130,D,0
34.8106,33.3092,317.9,2012-08-12,1917,N,0
34.8167,33.3363,312.5,2012-08-12,1917,N,0
34.8382,33.3017,314.5,2012-08-12,1917,N,0
34.8244,33.3055,319.3,2012-08-12,1917,N,0
34.8208,33.3037,329.2,2012-08-12,2333,N,0
34.8244,32.8304,328.6,2012-08-13,858,D,0
34.8346,32.8325,325.0,2012-08-13,858,D,0
34.827,32.8165,322.5,2012-08-13,858,D,0
34.848,33.3388,327.1,2012-08-14,1118,D,0
34.8569,33.3204,360.9,2012-08-14,1118,D,0
34.8587,33.3375,356.0,2012-08-14,1118,D,0
34.8463,33.3222,337.6,2012-08-14,1118,D,0
35.1161,33.0795,341.6,2012-08-25,1100,D,0
35.0276,32.4162,322.0,2012-09-28,1047,D,0
35.03,32.4297,322.7,2012-09-28,1047,D,0
34.7629,32.532,335.5,2012-10-05,1053,D,0
35.0717,33.0184,319.7,2012-10-18,1023,D,0
35.078,33.0468,323.4,2012-10-18,1023,D,0
35.0818,33.0408,324.4,2012-10-18,1023,D,0
34.9685,32.5305,321.3,2012-10-19,1106,D,0
34.967,32.5195,323.7,2012-10-19,1106,D,0
35.0813,33.1396,323.6,2012-10-20,833,D,0
34.8882,32.4403,304.2,2012-11-21,833,D,0
34.8867,32.452,302.2,2012-11-21,833,D,0
