latitude,longitude,brightness,acq_date,acq_time,daynight,type
-1.5226,9.9599,305.6,2012-01-01,38,N,2
-1.9583,9.8775,309.4,2012-01-01,38,N,0
-1.5207,9.9471,302.8,2012-01-01,38,N,0
-1.8922,9.8592,312.7,2012-01-01,1004,D,0
-1.5187,9.9518,305.7,2012-01-02,2129,N,2
-1.9632,9.8762,300.1,2012-01-02,2129,N,0
-1.5214,9.9525,300.1,2012-01-03,26,N,2
0.0681,10.9714,308.6,2012-01-03,1247,D,0
2.093,11.6736,315.4,2012-01-03,1248,D,0
2.0416,11.7059,309.9,2012-01-03,1248,D,0
-1.5865,9.9774,302.5,2012-01-04,109,N,2
-1.4869,14.1517,320.0,2012-01-10,1253,D,0
1.4555,11.5782,312.7,2012-01-10,1254,D,0
-1.518,9.9565,300.5,2012-01-10,2218,N,2
0.8281,11.5444,311.1,2012-01-12,944,D,0
-1.5244,9.9482,309.7,2012-01-12,945,D,2
-1.5257,9.9572,306.0,2012-01-12,945,D,2
-1.5937,9.9744,314.5,2012-01-12,1241,D,2
-1.5279,9.9467,314.6,2012-01-12,1241,D,2
0.3378,11.4606,304.9,2012-01-12,1241,D,0
1.9385,11.5083,328.9,2012-01-12,1242,D,0
-0.1541,12.4114,304.0,2012-01-14,1229,D,0
-1.5268,9.948,307.2,2012-01-14,2154,N,2
-1.5916,9.9711,303.5,2012-01-16,2141,N,2
-1.5214,9.9553,304.2,2012-01-16,2141,N,2
-1.5229,9.9451,306.0,2012-01-16,2141,N,2
-1.5305,9.9514,311.6,2012-01-17,1259,D,2
-1.5215,9.9501,304.3,2012-01-17,1259,D,2
-1.5934,9.9773,310.5,2012-01-19,951,D,2
-1.5958,9.972,316.3,2012-01-19,1247,D,2
-0.823,14.4435,324.5,2012-01-19,1247,D,0
1.2244,13.2631,316.5,2012-01-19,1247,D,0
-1.9587,9.8699,310.4,2012-01-19,1247,D,0
1.9472,11.6292,307.3,2012-01-19,1248,D,0
-1.5279,9.9451,311.8,2012-01-23,927,D,2
0.0727,10.9686,301.1,2012-01-23,2148,N,0
-1.5249,9.9542,308.8,2012-01-24,1009,D,2
-1.6185,14.37,321.5,2012-01-24,1305,D,0
-1.7854,14.387,314.9,2012-01-24,1305,D,0
1.9584,11.5626,312.6,2012-01-24,1306,D,0
-0.6822,14.4305,310.6,2012-01-25,914,D,0
-1.9623,9.8688,311.9,2012-01-26,1253,D,0
-1.5271,9.9462,306.6,2012-01-26,2218,N,2
-1.5245,9.959,304.4,2012-01-27,115,N,2
-1.5204,9.9476,308.2,2012-01-28,945,D,0
-1.7915,13.4887,310.6,2012-01-28,1240,D,0
-1.273,14.2746,325.5,2012-01-28,1241,D,0
-1.5194,9.9526,309.3,2012-01-28,2206,N,2
-0.6726,14.278,312.7,2012-01-30,1229,D,0
-1.5873,9.9706,305.7,2012-01-30,2153,N,0
-1.9581,9.872,314.3,2012-01-31,51,N,0
-1.9594,9.8811,304.5,2012-01-31,51,N,0
-1.5293,9.9528,308.5,2012-02-01,920,D,2
-1.7463,14.3173,316.8,2012-02-01,1216,D,0
-1.9568,9.8748,313.0,2012-02-02,39,N,0
-1.8949,9.8635,303.3,2012-02-02,39,N,0
-1.5217,9.948,310.9,2012-02-02,1003,D,2
-1.9639,9.8733,323.7,2012-02-02,1259,D,0
-1.5292,9.9521,323.6,2012-02-02,1259,D,2
-1.9652,9.8643,317.7,2012-02-02,1259,D,0
-1.2101,14.157,327.6,2012-02-04,1247,D,0
-1.813,14.3797,321.4,2012-02-04,1247,D,0
-1.2313,14.2109,326.0,2012-02-04,1247,D,0
-1.2195,14.1586,327.5,2012-02-04,1247,D,0
-1.2209,14.1487,323.3,2012-02-04,1247,D,0
-1.821,14.3911,323.7,2012-02-04,1247,D,0
-1.5876,9.9699,306.0,2012-02-04,1247,D,2
-0.7181,14.25,322.4,2012-02-04,1247,D,0
-1.2115,14.1472,319.9,2012-02-04,1247,D,0
-1.5196,9.9536,300.6,2012-02-05,109,N,2
-1.523,9.9509,311.9,2012-02-06,1235,D,2
