latitude,longitude,brightness,acq_date,acq_time,daynight,type
9.9591,-1.3036,318.2,2012-01-01,1001,D,0
8.0208,-0.4559,346.1,2012-01-01,1001,D,0
8.5607,-0.9231,327.2,2012-01-01,1001,D,0
7.7023,-1.4368,331.4,2012-01-01,1001,D,0
7.6966,-1.445,332.6,2012-01-01,1001,D,0
9.9632,-1.2974,321.8,2012-01-01,1001,D,0
8.7875,-2.0398,316.9,2012-01-01,1001,D,0
8.5446,-0.925,317.1,2012-01-01,1001,D,0
8.553,-0.9314,327.3,2012-01-01,1001,D,0
8.2474,-1.739,318.5,2012-01-01,1001,D,0
8.2444,-1.7471,316.4,2012-01-01,1001,D,0
8.7018,0.3668,320.7,2012-01-01,1001,D,0
8.7165,0.3685,318.1,2012-01-01,1001,D,0
8.8744,-1.6943,315.8,2012-01-01,1001,D,0
9.9589,-1.2609,317.0,2012-01-01,1001,D,0
8.9724,-0.208,329.3,2012-01-01,1001,D,0
8.0247,-0.4857,315.8,2012-01-01,1001,D,0
8.0172,-0.4504,333.4,2012-01-01,1001,D,0
7.6741,-1.2728,316.6,2012-01-01,1001,D,0
8.208,-1.4083,322.8,2012-01-01,1001,D,0
8.9725,-0.2309,318.1,2012-01-01,1001,D,0
8.7029,0.3739,320.8,2012-01-01,1001,D,0
8.6561,-1.7027,316.6,2012-01-01,1001,D,0
10.0046,-0.2253,328.9,2012-01-01,1001,D,0
8.969,-0.2014,333.4,2012-01-01,1001,D,0
8.9537,-0.2033,326.0,2012-01-01,1001,D,0
8.9571,-0.2099,333.9,2012-01-01,1001,D,0
8.2644,-1.737,322.3,2012-01-01,1001,D,0
9.9999,-0.2199,328.3,2012-01-01,1001,D,0
8.8519,-0.4724,323.3,2012-01-01,1001,D,0
8.8416,-0.4811,329.6,2012-01-01,1001,D,0
8.0209,-0.4802,321.6,2012-01-01,1001,D,0
8.2037,-1.3729,316.7,2012-01-01,1001,D,0
8.2614,-1.7451,318.6,2012-01-01,1001,D,0
10.1419,-0.5171,317.9,2012-01-01,1001,D,0
8.0326,-0.4485,326.7,2012-01-01,1001,D,0
8.0363,-0.4783,319.1,2012-01-01,1001,D,0
9.5311,-0.0934,319.8,2012-01-01,1001,D,0
8.7336,-0.5949,318.2,2012-01-01,1001,D,0
9.7593,-0.5626,320.1,2012-01-01,1001,D,0
9.5464,-0.0916,326.2,2012-01-01,1001,D,0
7.9788,-0.2541,318.6,2012-01-01,1001,D,0
7.9825,-0.2827,319.8,2012-01-01,1001,D,0
7.9768,-0.2483,314.7,2012-01-01,1001,D,0
