latitude,longitude,brightness,acq_date,acq_time,daynight,type
46.3391,18.5737,303.6,2012-01-07,914,D,0
46.3402,18.5669,309.7,2012-01-07,914,D,0
46.9382,18.9385,301.5,2012-01-12,2040,N,0
46.9936,18.5493,304.0,2012-01-15,1002,D,0
46.4936,18.5617,301.1,2012-01-15,1003,D,0
47.2287,21.8033,316.5,2012-01-30,1103,D,0
47.231,21.8069,318.7,2012-01-30,1103,D,0
46.9421,18.9509,309.4,2012-01-31,1002,D,0
47.7391,18.7026,303.0,2012-01-31,1146,D,0
47.905,21.0336,303.9,2012-02-01,1051,D,0
47.6167,21.7452,302.6,2012-02-02,950,D,0
47.3553,21.7206,318.4,2012-02-02,1134,D,0
45.8424,18.2895,309.8,2012-02-02,1134,D,0
46.6473,17.2422,307.7,2012-02-21,1021,D,0
46.6507,17.2158,329.1,2012-02-21,1021,D,0
46.6513,17.2228,345.6,2012-02-21,1021,D,0
46.6467,17.2353,328.1,2012-02-21,1021,D,0
46.6413,17.2242,354.3,2012-02-21,1205,D,0
46.643,17.2392,310.8,2012-02-21,1205,D,0
46.9429,18.9429,303.3,2012-02-25,956,D,0
48.0565,19.4164,312.1,2012-02-25,1140,D,0
48.1355,20.7171,318.4,2012-02-25,1140,D,0
46.7083,17.5013,305.3,2012-02-25,1140,D,0
48.1373,20.7306,316.3,2012-02-25,1140,D,0
48.1942,19.5909,300.9,2012-02-26,1046,D,0
47.2063,20.9592,300.1,2012-02-27,944,D,0
47.1944,20.2414,301.2,2012-02-27,944,D,0
48.1808,20.6898,306.8,2012-02-27,1128,D,0
47.5013,20.6469,311.8,2012-02-27,1128,D,0
46.5581,19.2256,309.7,2012-02-27,1128,D,0
48.254,20.344,301.9,2012-02-29,931,D,0
48.4131,20.6317,306.1,2012-02-29,931,D,0
48.2522,20.3592,304.4,2012-02-29,931,D,0
47.3639,19.8296,312.6,2012-03-01,1159,D,0
47.3621,19.8125,310.2,2012-03-01,1159,D,0
48.2238,20.2313,308.0,2012-03-02,1104,D,0
47.1809,19.175,326.1,2012-03-02,1104,D,0
47.9835,19.7923,300.1,2012-03-02,1104,D,0
48.2302,20.2351,304.3,2012-03-02,1104,D,0
47.0761,19.2853,304.0,2012-03-02,1242,D,0
47.074,19.294,302.5,2012-03-02,1242,D,0
48.3346,20.7475,314.2,2012-03-03,1002,D,0
48.3089,20.935,301.8,2012-03-03,1002,D,0
48.0536,21.1766,301.1,2012-03-03,1002,D,0
48.1157,20.7979,300.8,2012-03-03,1002,D,0
47.9676,20.6917,306.3,2012-03-03,1002,D,0
47.9644,20.7083,301.3,2012-03-03,1002,D,0
48.0308,20.9072,301.7,2012-03-03,1002,D,0
47.3701,19.7509,300.1,2012-03-03,1002,D,0
48.2567,20.3851,303.5,2012-03-03,1002,D,0
47.9145,19.6914,302.1,2012-03-03,1002,D,0
48.3378,20.7309,312.4,2012-03-03,1002,D,0
48.2577,20.6559,323.5,2012-03-03,1002,D,0
48.2609,20.6395,308.7,2012-03-03,1002,D,0
48.06,21.1852,301.4,2012-03-03,1002,D,0
46.6894,16.8552,315.2,2012-03-03,1003,D,0
46.8854,18.6031,303.3,2012-03-03,1146,D,0
47.8002,20.9394,303.5,2012-03-03,1146,D,0
47.1814,19.8909,303.6,2012-03-03,1146,D,0
46.8659,19.393,329.4,2012-03-03,1146,D,0
46.0622,17.7955,309.5,2012-03-03,1146,D,0
46.9417,18.9373,300.2,2012-03-03,1146,D,0
46.2626,20.125,311.0,2012-03-03,1146,D,0
47.2974,20.0074,304.9,2012-03-03,1146,D,0
47.333,21.2724,300.7,2012-03-03,1146,D,0
46.6964,19.2308,308.6,2012-03-03,1146,D,0
47.8049,20.9313,305.7,2012-03-03,1146,D,0
46.9508,19.0702,304.6,2012-03-03,1146,D,0
47.0133,19.1877,300.2,2012-03-03,1146,D,0
47.1796,19.8774,302.6,2012-03-03,1146,D,0
46.8641,19.3799,311.1,2012-03-03,1146,D,0
47.9041,19.7061,302.1,2012-03-03,1147,D,0
47.9023,19.6924,301.6,2012-03-03,1147,D,0
47.8899,19.5966,300.7,2012-03-03,1147,D,0
48.1934,20.1107,307.8,2012-03-03,1147,D,0
48.0589,19.4076,313.1,2012-03-03,1147,D,0
48.1693,20.8254,316.2,2012-03-03,1147,D,0
48.171,20.8402,300.0,2012-03-03,1147,D,0
48.1224,20.7229,305.0,2012-03-03,1147,D,0
48.2311,20.2623,315.0,2012-03-03,1147,D,0
48.2561,20.3888,307.4,2012-03-03,1147,D,0
48.3744,20.6816,302.1,2012-03-03,1147,D,0
48.3353,20.6768,309.7,2012-03-03,1147,D,0
48.2803,20.6682,304.1,2012-03-03,1147,D,0
48.2465,20.7078,306.3,2012-03-03,1147,D,0
48.1943,20.7117,329.8,2012-03-03,1147,D,0
48.27,21.1071,314.3,2012-03-03,1147,D,0
48.1807,20.0849,312.4,2012-03-03,1147,D,0
48.0814,20.9473,307.2,2012-03-03,1147,D,0
48.0781,20.9536,329.1,2012-03-03,1147,D,0
48.0499,20.961,302.7,2012-03-03,1147,D,0
48.1926,20.6973,324.8,2012-03-03,1147,D,0
48.1716,20.0875,314.0,2012-03-03,1147,D,0
48.1888,21.5397,321.0,2012-03-04,907,D,0
48.1502,21.8867,304.5,2012-03-04,907,D,0
46.9234,18.6172,307.0,2012-03-04,907,D,0
47.7407,20.5982,302.5,2012-03-04,907,D,0
48.2009,21.5416,304.0,2012-03-04,907,D,0
47.7409,20.6041,306.4,2012-03-04,907,D,0
48.1383,21.8848,304.0,2012-03-04,907,D,0
48.1877,20.1441,303.7,2012-03-04,1045,D,0
48.2234,20.9261,305.2,2012-03-04,1052,D,0
47.3853,19.2798,303.8,2012-03-04,1052,D,0
48.2306,20.9147,306.2,2012-03-04,1052,D,0
47.3872,19.2864,301.8,2012-03-04,1052,D,0
48.4258,21.0382,301.7,2012-03-04,1052,D,0
47.3079,19.8312,310.0,2012-03-04,1229,D,0
47.295,19.8407,319.2,2012-03-04,1229,D,0
48.2854,20.679,303.5,2012-03-04,1230,D,0
48.1862,20.3483,303.5,2012-03-04,1230,D,0
48.1785,20.3532,303.5,2012-03-04,1230,D,0
48.1385,21.2658,300.5,2012-03-04,1230,D,0
48.1422,21.2615,300.4,2012-03-04,1230,D,0
48.2841,20.6299,300.9,2012-03-04,1230,D,0
46.8438,20.3881,313.5,2012-03-05,950,D,0
48.4549,21.2006,311.5,2012-03-05,950,D,0
48.0084,21.019,305.4,2012-03-05,950,D,0
46.2301,18.7345,303.7,2012-03-05,950,D,0
46.7048,19.2725,302.0,2012-03-05,950,D,0
46.5566,16.7635,303.4,2012-03-05,950,D,0
47.8936,21.1464,310.2,2012-03-05,950,D,0
47.8959,21.1326,302.6,2012-03-05,950,D,0
47.6257,18.9581,303.3,2012-03-05,950,D,0
45.7898,18.3952,329.8,2012-03-05,951,D,0
