latitude,longitude,brightness,acq_date,acq_time,daynight,type
54.2973,-9.4202,313.6,2012-03-22,2145,N,0
52.3436,-8.0677,301.3,2012-03-25,1103,D,0
52.9097,-6.4517,305.0,2012-03-25,1103,D,0
53.0082,-6.3727,302.5,2012-03-25,1250,D,0
54.0535,-6.251,315.4,2012-03-25,1251,D,0
54.051,-6.2375,303.9,2012-03-25,2215,N,0
52.3893,-8.2118,305.4,2012-03-26,1146,D,0
52.2276,-10.3506,317.2,2012-03-26,1146,D,0
53.3101,-9.5285,307.3,2012-03-26,1333,D,0
53.3222,-7.172,302.2,2012-03-26,1333,D,0
53.3242,-7.1554,303.6,2012-03-26,1333,D,0
55.1019,-8.139,311.4,2012-03-27,1228,D,0
55.1083,-8.1658,305.2,2012-03-27,1228,D,0
55.0973,-8.1498,314.6,2012-03-27,1228,D,0
52.2822,-7.5847,303.6,2012-03-27,2202,N,0
54.0475,-6.2195,309.2,2012-03-28,1133,D,0
55.0988,-7.9873,307.5,2012-03-28,1133,D,0
52.0156,-9.9673,303.6,2012-03-28,1134,D,0
52.3482,-8.0166,302.1,2012-03-28,1134,D,0
54.0429,-6.2112,307.6,2012-03-28,1321,D,0
54.0409,-6.2264,330.3,2012-03-28,1321,D,0
55.0997,-7.9927,312.9,2012-03-28,1322,D,0
52.5362,-6.8124,307.1,2012-03-29,1216,D,0
52.5387,-6.7859,303.7,2012-03-29,1226,D,0
52.5283,-6.8242,309.1,2012-03-29,1226,D,0
52.5295,-6.8289,305.1,2012-03-29,1226,D,0
52.5402,-6.79,302.4,2012-03-29,1226,D,0
52.1695,-7.6099,314.6,2012-03-29,1404,D,0
52.2223,-7.9763,305.1,2012-03-29,2150,N,0
53.1723,-6.1519,301.7,2012-03-29,2150,N,0
52.1996,-9.9557,332.9,2012-04-04,1140,D,0
52.5911,-6.7836,310.8,2012-04-05,1222,D,0
52.5925,-6.79,311.4,2012-04-05,1222,D,0
52.5934,-6.7976,300.7,2012-04-05,1232,D,0
53.875,-8.7436,302.2,2012-04-29,1321,D,0
53.0821,-8.3061,302.0,2012-04-29,1321,D,0
53.2126,-8.0037,334.8,2012-05-26,1115,D,0
52.2149,-8.0045,306.8,2012-05-26,1115,D,0
52.2076,-7.9994,315.7,2012-05-26,1302,D,0
52.2042,-8.0026,312.5,2012-05-26,1302,D,0
53.2109,-7.9976,330.3,2012-05-26,1303,D,0
53.2074,-8.0156,338.7,2012-05-26,1303,D,0
53.148,-8.1034,318.7,2012-05-26,1303,D,0
53.1419,-8.08,313.1,2012-05-26,1303,D,0
53.1401,-8.094,339.6,2012-05-26,1303,D,0
54.7367,-8.5311,309.1,2012-05-26,2228,N,0
54.7347,-8.5473,300.6,2012-05-26,2228,N,0
54.7312,-8.5243,316.4,2012-05-27,1158,D,0
53.8187,-7.7139,314.8,2012-05-27,1158,D,0
54.7337,-8.5398,315.8,2012-05-27,1158,D,0
54.7349,-8.5347,322.0,2012-05-27,1346,D,0
53.4322,-6.4204,304.5,2012-09-06,1308,D,0
