latitude,longitude,brightness,acq_date,acq_time,daynight,type
6.8811,-10.0874,313.8,2012-01-01,1440,D,0
6.8904,-10.0734,312.1,2012-01-01,1440,D,0
6.8874,-10.0961,310.0,2012-01-01,1440,D,0
6.8525,-11.3582,311.2,2012-01-01,1440,D,0
6.8157,-8.9913,310.6,2012-01-01,1440,D,0
6.6404,-10.9021,313.9,2012-01-01,1440,D,0
5.9437,-9.7152,310.1,2012-01-02,1345,D,0
6.1056,-9.2609,309.5,2012-01-02,1345,D,0
8.1163,-9.9766,318.5,2012-01-03,1127,D,0
8.4366,-10.1948,311.7,2012-01-03,1127,D,0
8.4348,-10.1834,330.3,2012-01-03,1127,D,0
8.1181,-9.9884,325.6,2012-01-03,1127,D,0
5.4781,-9.5285,311.9,2012-01-03,1427,D,0
5.886,-9.7294,311.4,2012-01-03,1427,D,0
5.7356,-7.7155,314.7,2012-01-03,1427,D,0
5.7864,-9.8765,311.3,2012-01-03,1427,D,0
4.6456,-8.3274,310.6,2012-01-03,1427,D,0
6.3941,-10.5161,319.0,2012-01-03,1428,D,0
8.1797,-10.2157,315.1,2012-01-03,1428,D,0
6.9508,-11.2815,311.8,2012-01-03,1428,D,0
6.826,-8.9514,324.1,2012-01-03,1428,D,0
7.007,-9.5647,317.3,2012-01-03,1428,D,0
8.423,-10.1951,322.6,2012-01-03,1428,D,0
6.4376,-10.245,320.9,2012-01-03,1428,D,0
7.4863,-8.5838,311.6,2012-01-04,1333,D,0
7.4866,-8.5889,312.2,2012-01-04,1333,D,0
8.4316,-9.785,312.1,2012-01-05,1115,D,0
7.0283,-9.5268,316.4,2012-01-05,1115,D,0
7.3616,-8.623,310.1,2012-01-05,1115,D,0
7.027,-9.5176,319.1,2012-01-05,1115,D,0
8.4303,-9.776,326.3,2012-01-05,1115,D,0
6.4495,-10.6482,313.4,2012-01-05,1415,D,0
6.2423,-10.3605,328.2,2012-01-05,1415,D,0
6.4507,-10.6392,313.8,2012-01-05,1415,D,0
7.11,-8.5202,322.1,2012-01-05,1415,D,0
7.112,-8.5151,317.2,2012-01-05,1415,D,0
7.1105,-8.5259,314.0,2012-01-05,1415,D,0
5.8585,-9.6824,316.3,2012-01-05,1415,D,0
6.3405,-9.067,324.9,2012-01-05,1415,D,0
6.1805,-9.8238,320.5,2012-01-05,1415,D,0
6.1255,-10.2107,312.4,2012-01-05,1415,D,0
6.3439,-10.5471,337.3,2012-01-05,1415,D,0
5.7659,-9.6921,313.3,2012-01-05,1415,D,0
5.9291,-9.7117,320.7,2012-01-05,1415,D,0
5.9277,-9.721,320.5,2012-01-05,1415,D,0
6.5281,-8.9003,312.8,2012-01-05,1415,D,0
6.037,-9.4051,314.8,2012-01-05,1415,D,0
6.2551,-10.3994,316.4,2012-01-05,1415,D,0
6.4853,-10.3337,320.8,2012-01-05,1415,D,0
6.5174,-10.6856,314.8,2012-01-05,1415,D,0
6.461,-10.8241,316.3,2012-01-05,1415,D,0
5.7188,-9.8306,316.0,2012-01-05,1415,D,0
7.0352,-9.4964,318.1,2012-01-05,1416,D,0
8.5177,-10.1463,314.8,2012-01-05,1416,D,0
8.2539,-10.2503,341.1,2012-01-05,1416,D,0
8.519,-10.1369,314.8,2012-01-05,1416,D,0
8.2526,-10.2596,332.5,2012-01-05,1416,D,0
6.773,-9.2536,311.9,2012-01-07,1403,D,0
6.0524,-9.3365,316.9,2012-01-07,1403,D,0
6.2061,-10.5393,313.1,2012-01-07,1403,D,0
6.1776,-9.7835,314.3,2012-01-07,1403,D,0
5.3517,-9.0884,315.5,2012-01-07,1403,D,0
6.2077,-10.5288,314.5,2012-01-07,1403,D,0
6.038,-9.115,312.1,2012-01-07,1403,D,0
6.0252,-8.0561,329.7,2012-01-07,1403,D,0
6.1751,-9.3093,312.3,2012-01-07,1403,D,0
8.4352,-9.7218,319.5,2012-01-07,1404,D,0
8.4483,-9.7389,316.7,2012-01-08,1146,D,0
6.4682,-10.5887,312.1,2012-01-08,1446,D,0
6.4658,-10.5933,314.1,2012-01-08,1446,D,0
6.8637,-11.3932,328.5,2012-01-08,1446,D,0
7.4231,-8.4826,317.0,2012-01-09,1351,D,0
7.4248,-8.4709,312.9,2012-01-09,1351,D,0
6.0132,-9.3604,307.8,2012-01-09,1351,D,0
7.3682,-8.7059,315.3,2012-01-09,1351,D,0
6.0093,-10.1602,311.8,2012-01-10,1434,D,0
6.3084,-9.1584,314.1,2012-01-10,1434,D,0
6.0052,-10.1542,312.2,2012-01-10,1434,D,0
6.4681,-10.8466,314.0,2012-01-10,1434,D,0
6.0211,-9.8572,320.5,2012-01-10,1434,D,0
8.322,-10.2385,313.3,2012-01-10,1434,D,0
6.5119,-10.8681,312.9,2012-01-10,1434,D,0
6.1847,-9.245,322.9,2012-01-12,1421,D,0
6.1863,-9.2332,318.2,2012-01-12,1421,D,0
6.5076,-9.3574,313.8,2012-01-12,1421,D,0
5.9885,-9.6369,311.9,2012-01-12,1421,D,0
5.946,-9.7989,314.7,2012-01-12,1421,D,0
5.7023,-9.6464,310.4,2012-01-12,1421,D,0
6.1987,-10.2533,326.6,2012-01-12,1421,D,0
6.4525,-10.5839,321.6,2012-01-12,1422,D,0
6.9762,-9.2834,318.2,2012-01-12,1422,D,0
6.485,-10.5577,325.4,2012-01-12,1422,D,0
6.9746,-9.2954,318.4,2012-01-12,1422,D,0
6.7853,-10.5152,324.2,2012-01-12,1422,D,0
6.4203,-10.634,314.7,2012-01-12,1422,D,0
7.042,-9.5489,313.0,2012-01-14,1109,D,0
7.051,-9.5476,319.7,2012-01-14,1109,D,0
6.8268,-8.9814,322.9,2012-01-14,1409,D,0
6.8256,-8.9904,318.0,2012-01-14,1409,D,0
6.476,-8.7336,323.7,2012-01-14,1409,D,0
5.7115,-9.5061,309.9,2012-01-14,1409,D,0
5.7873,-9.5601,326.6,2012-01-14,1409,D,0
6.3451,-10.6705,315.1,2012-01-14,1409,D,0
6.5414,-9.3082,312.4,2012-01-14,1409,D,0
6.5402,-9.3172,328.8,2012-01-14,1409,D,0
6.5042,-8.8548,316.6,2012-01-14,1409,D,0
7.1223,-8.8479,310.8,2012-01-14,1409,D,0
7.1962,-10.8955,308.6,2012-01-14,1409,D,0
6.6341,-9.4918,312.6,2012-01-14,1409,D,0
5.8156,-9.936,325.5,2012-01-14,1409,D,0
5.6794,-9.7297,328.8,2012-01-14,1409,D,0
6.3088,-9.2555,313.4,2012-01-14,1409,D,0
6.1766,-9.2215,317.7,2012-01-14,1409,D,0
6.6047,-10.7174,315.6,2012-01-14,1409,D,0
6.1574,-9.2919,313.7,2012-01-14,1409,D,0
7.0199,-9.5701,314.9,2012-01-14,1409,D,0
5.8051,-9.5627,311.7,2012-01-14,1409,D,0
5.8064,-9.5538,311.8,2012-01-14,1409,D,0
6.4378,-10.4086,314.9,2012-01-14,1409,D,0
6.8162,-10.3404,312.6,2012-01-14,1409,D,0
8.2214,-9.7884,312.6,2012-01-14,1410,D,0
8.1327,-10.2793,310.5,2012-01-14,1410,D,0
8.4295,-9.7485,314.0,2012-01-14,1410,D,0
7.9646,-9.9711,306.9,2012-01-15,227,N,0
8.383,-10.2073,318.8,2012-01-15,1453,D,0
8.3826,-10.1993,319.1,2012-01-15,1453,D,0
5.8711,-9.3769,308.1,2012-01-16,1357,D,0
5.9767,-9.6979,310.0,2012-01-16,1357,D,0
5.9749,-9.7095,309.9,2012-01-16,1357,D,0
6.1217,-9.2735,322.6,2012-01-16,1357,D,0
6.12,-9.2845,324.5,2012-01-16,1357,D,0
6.1446,-9.3221,341.2,2012-01-16,1357,D,0
6.143,-9.3332,315.7,2012-01-16,1357,D,0
6.1802,-9.233,310.5,2012-01-16,1357,D,0
6.1785,-9.2439,310.7,2012-01-16,1357,D,0
6.4474,-10.3804,318.9,2012-01-16,1357,D,0
6.4291,-10.4304,320.3,2012-01-16,1357,D,0
6.431,-10.4174,342.4,2012-01-16,1357,D,0
5.9466,-9.2127,308.4,2012-01-16,1357,D,0
6.0838,-9.2511,319.9,2012-01-16,1357,D,0
6.0856,-9.2458,313.2,2012-01-16,1357,D,0
6.0839,-9.2567,312.0,2012-01-16,1357,D,0
5.3508,-9.0924,311.6,2012-01-16,1357,D,0
5.4035,-9.0834,309.3,2012-01-16,1357,D,0
6.4177,-9.8912,311.4,2012-01-16,1357,D,0
6.5041,-9.1125,311.7,2012-01-16,1357,D,0
7.2594,-8.8612,325.9,2012-01-16,1357,D,0
5.7883,-9.6572,310.0,2012-01-16,1357,D,0
8.153,-9.9868,321.3,2012-01-16,1357,D,0
8.1547,-9.9754,330.1,2012-01-16,1357,D,0
7.5554,-8.5609,318.5,2012-01-16,1357,D,0
6.3967,-10.572,310.4,2012-01-16,1357,D,0
6.6498,-10.1175,313.1,2012-01-16,1357,D,0
6.092,-7.8659,312.3,2012-01-16,1357,D,0
6.648,-10.1296,312.8,2012-01-16,1357,D,0
6.7726,-8.6788,319.8,2012-01-16,1357,D,0
5.7741,-9.7513,310.0,2012-01-16,1357,D,0
6.6548,-8.7901,314.8,2012-01-16,1357,D,0
6.6533,-8.8003,337.2,2012-01-16,1357,D,0
6.6351,-10.3566,309.1,2012-01-16,1357,D,0
6.8766,-11.3752,312.2,2012-01-17,1440,D,0
5.8773,-9.5618,310.0,2012-01-17,1440,D,0
5.8456,-9.6496,314.0,2012-01-17,1440,D,0
5.8504,-9.6578,311.1,2012-01-17,1440,D,0
5.8614,-9.9001,305.2,2012-01-17,1440,D,0
5.9276,-9.8665,304.7,2012-01-17,1440,D,0
6.879,-11.3825,313.6,2012-01-17,1440,D,0
4.4497,-7.724,312.0,2012-01-18,1344,D,0
5.7826,-9.6028,308.1,2012-01-18,1345,D,0
5.7851,-9.5902,309.4,2012-01-18,1345,D,0
