latitude,longitude,brightness,acq_date,acq_time,daynight,type
-15.4224,50.4423,320.5,2012-01-01,650,D,0
-15.5826,47.1651,323.4,2012-01-01,650,D,0
-15.8837,50.1978,313.3,2012-01-02,733,D,0
-15.8821,50.1923,313.6,2012-01-02,733,D,0
-20.0967,48.5824,321.5,2012-01-02,1019,D,0
-20.2155,48.3566,324.4,2012-01-02,1019,D,0
-17.429,45.4842,316.3,2012-01-02,1020,D,0
-20.0219,48.4434,317.5,2012-01-02,1020,D,0
-20.0118,48.4421,314.6,2012-01-02,1020,D,0
-15.9218,50.1935,344.3,2012-01-02,1021,D,0
-15.9145,50.1868,321.7,2012-01-02,1021,D,0
-15.9159,50.1774,323.8,2012-01-02,1021,D,0
-15.7628,50.2147,315.8,2012-01-02,1021,D,0
-15.7164,50.288,321.5,2012-01-02,1021,D,0
-15.6986,50.2184,320.5,2012-01-02,1021,D,0
-15.6623,50.2797,312.6,2012-01-02,1021,D,0
-15.8769,50.2577,320.5,2012-01-02,1021,D,0
-15.8808,50.2296,325.5,2012-01-02,1021,D,0
-15.8821,50.2202,321.2,2012-01-02,1021,D,0
-15.8874,50.1826,334.0,2012-01-02,1021,D,0
-15.8707,50.1705,329.7,2012-01-02,1021,D,0
-15.8486,50.196,325.1,2012-01-02,1021,D,0
-15.8183,50.2136,319.0,2012-01-02,1021,D,0
-15.7936,50.2577,333.5,2012-01-02,1021,D,0
-15.7833,50.2656,334.1,2012-01-02,1021,D,0
-15.7872,50.2376,320.1,2012-01-02,1021,D,0
-15.7885,50.2282,333.4,2012-01-02,1021,D,0
-15.6208,50.3783,328.2,2012-01-02,1021,D,0
-15.6221,50.3689,320.4,2012-01-02,1021,D,0
-20.1508,44.4342,333.5,2012-01-03,1102,D,0
-23.4041,43.9857,332.1,2012-01-04,723,D,0
-21.2653,44.0249,313.9,2012-01-04,1007,D,0
-21.2664,44.0217,313.6,2012-01-04,1007,D,0
-23.5604,44.4416,341.2,2012-01-05,1049,D,0
-25.2647,44.8308,339.8,2012-01-07,1037,D,0
-14.5431,50.0717,325.1,2012-01-07,1039,D,0
-14.5393,50.0641,319.3,2012-01-07,1039,D,0
-15.1452,50.4157,319.5,2012-01-08,656,D,0
-15.7583,50.2663,317.5,2012-01-08,656,D,0
-15.7597,50.2756,317.9,2012-01-08,656,D,0
-15.1802,50.4042,327.1,2012-01-08,656,D,0
-15.1816,50.4136,318.6,2012-01-08,656,D,0
-15.1292,50.3703,322.2,2012-01-08,656,D,0
-15.3876,50.4357,342.5,2012-01-08,656,D,0
-15.1187,50.3624,323.7,2012-01-08,656,D,0
-15.1458,50.3581,322.6,2012-01-08,656,D,0
-14.9756,50.166,317.0,2012-01-08,944,D,0
-15.6196,50.3254,311.2,2012-01-09,739,D,0
-14.4563,50.0241,321.3,2012-01-09,1027,D,0
-15.136,50.4069,316.6,2012-01-09,1027,D,0
-14.4347,49.9817,317.7,2012-01-09,1027,D,0
-15.1032,50.3131,331.3,2012-01-09,1027,D,0
