latitude,longitude,brightness,acq_date,acq_time,daynight,type
-22.5587,17.1181,342.5,2012-01-01,1253,D,0
-19.7868,16.8836,324.0,2012-01-02,913,D,0
-21.4172,15.9455,331.9,2012-01-02,914,D,0
-23.7424,16.4352,331.0,2012-01-02,1158,D,0
-23.4272,17.2212,327.9,2012-01-03,819,D,0
-23.4239,17.2146,326.2,2012-01-03,819,D,0
-23.2218,19.0981,356.6,2012-01-03,1241,D,0
-23.2312,19.0998,349.4,2012-01-03,1241,D,0
-23.2124,19.0963,350.3,2012-01-03,1241,D,0
-23.2234,19.0874,358.4,2012-01-03,1241,D,0
-23.2158,19.0749,359.4,2012-01-03,1241,D,0
-23.2141,19.0856,392.4,2012-01-03,1241,D,0
-18.4395,15.7348,340.7,2012-01-03,1242,D,0
-18.4305,15.7334,343.5,2012-01-03,1242,D,0
-20.1469,17.589,300.3,2012-01-03,2336,N,0
-25.0181,17.3576,300.8,2012-01-03,2337,N,0
-25.0158,17.3662,303.0,2012-01-03,2337,N,0
-17.7287,24.9337,327.9,2012-01-04,900,D,0
-17.7244,24.9284,323.4,2012-01-04,900,D,0
-20.1579,17.5949,334.7,2012-01-04,901,D,0
-20.1488,17.5964,361.0,2012-01-04,901,D,0
-23.2278,19.0983,353.2,2012-01-04,902,D,0
-23.2292,19.1081,376.5,2012-01-04,902,D,0
-17.7244,24.9278,335.8,2012-01-04,1147,D,0
-17.7239,24.933,342.2,2012-01-04,1147,D,0
-17.7225,24.9426,328.0,2012-01-04,1147,D,0
-25.0188,17.3806,343.8,2012-01-04,1323,D,0
-25.0323,17.3532,336.7,2012-01-04,1323,D,0
-25.016,17.3488,334.1,2012-01-04,1323,D,0
-25.024,17.3907,348.3,2012-01-04,1323,D,0
-24.9778,17.3306,333.7,2012-01-04,1323,D,0
-25.0104,17.3397,335.0,2012-01-04,1323,D,0
-24.9833,17.3403,337.0,2012-01-04,1323,D,0
-25.056,17.3925,339.3,2012-01-05,1228,D,0
-17.7173,24.7698,326.6,2012-01-05,1230,D,0
-17.7245,24.9408,336.7,2012-01-05,1230,D,0
-17.7065,24.8729,329.9,2012-01-05,1230,D,0
-22.3318,17.9205,303.8,2012-01-05,2154,N,0
-22.3435,17.9237,308.3,2012-01-05,2154,N,0
-22.104,17.9168,327.3,2012-01-07,932,D,0
-22.1009,17.9115,334.6,2012-01-07,932,D,0
-17.6891,25.0296,333.1,2012-01-07,1217,D,0
-17.7233,24.8812,336.8,2012-01-07,1217,D,0
-17.7221,24.9519,343.4,2012-01-07,1217,D,0
-25.3643,19.9136,307.8,2012-01-07,2141,N,0
-25.362,19.927,321.5,2012-01-07,2141,N,0
-23.2975,16.9189,333.1,2012-01-08,837,D,0
-23.3109,16.9157,330.0,2012-01-08,837,D,0
-23.3047,16.9104,332.0,2012-01-08,837,D,0
-17.6654,25.0238,302.3,2012-01-08,2047,N,0
-17.7328,24.9649,322.8,2012-01-09,918,D,0
-22.346,17.149,334.1,2012-01-09,920,D,0
-22.3575,17.1591,341.4,2012-01-09,920,D,0
-22.356,17.1475,348.1,2012-01-09,920,D,0
-22.359,17.171,334.1,2012-01-09,920,D,0
-26.8956,18.8396,334.2,2012-01-09,921,D,0
-26.8937,18.8216,332.7,2012-01-09,921,D,0
-26.9072,18.8336,342.5,2012-01-09,1203,D,0
-26.9214,18.836,343.7,2012-01-09,1203,D,0
-26.9174,18.8282,347.8,2012-01-09,1203,D,0
-17.6829,24.9826,337.5,2012-01-09,1205,D,0
-17.7111,24.7857,341.5,2012-01-09,1205,D,0
-17.5238,24.4848,332.2,2012-01-09,1205,D,0
-17.7405,25.0261,335.2,2012-01-09,1205,D,0
