latitude,longitude,brightness,acq_date,acq_time,daynight,type
52.4876,4.614,303.4,2012-01-23,1237,D,2
52.6649,7.0148,315.5,2012-02-01,1044,D,0
52.6628,7.0293,306.0,2012-02-01,1044,D,0
52.6561,7.0114,305.0,2012-02-01,1044,D,0
51.8792,4.3728,300.4,2012-02-10,1038,D,0
52.4897,4.6163,306.9,2012-03-11,1051,D,2
52.4914,4.61,310.5,2012-03-11,1237,D,2
52.491,4.6073,302.8,2012-03-15,1213,D,2
52.1509,4.8404,304.8,2012-03-19,1148,D,0
52.4936,4.6078,302.6,2012-03-20,1231,D,2
51.3339,3.793,301.6,2012-03-21,1127,D,0
51.3369,3.788,309.4,2012-03-21,1127,D,0
52.0315,4.6005,301.0,2012-03-21,1127,D,0
51.3301,3.7543,308.7,2012-03-21,1136,D,0
52.0385,4.4647,307.3,2012-03-22,1219,D,0
52.4826,4.5906,308.9,2012-03-22,1219,D,0
51.764,5.2088,301.8,2012-03-22,1219,D,0
52.0908,4.9806,306.4,2012-03-22,1219,D,0
52.1913,4.7377,304.6,2012-03-22,1219,D,0
51.8873,4.0874,308.4,2012-03-22,1219,D,0
51.8862,4.0948,302.6,2012-03-22,1219,D,0
52.5005,4.6344,306.7,2012-03-22,1219,D,0
51.3407,5.9667,305.8,2012-03-22,1219,D,0
51.3354,6.0499,305.6,2012-03-22,1219,D,0
52.017,4.4574,305.8,2012-03-22,1219,D,0
51.1656,5.8393,304.6,2012-03-22,1219,D,0
52.4895,4.5938,312.8,2012-03-23,150,N,0
52.4894,4.6121,309.5,2012-03-23,1115,D,2
52.4881,4.6089,308.9,2012-03-23,1302,D,2
52.4206,5.2602,303.2,2012-03-24,1207,D,0
52.2313,4.7728,302.3,2012-03-24,1207,D,0
51.3334,6.1152,303.0,2012-03-25,1103,D,0
52.4924,4.6197,306.3,2012-03-25,1103,D,2
52.4854,4.6222,301.3,2012-03-26,1145,D,2
52.4862,4.6201,303.3,2012-03-26,1155,D,2
52.4952,4.6223,303.4,2012-03-27,1050,D,2
52.4881,4.615,302.5,2012-03-27,1238,D,2
52.0174,4.5332,301.0,2012-04-01,1109,D,0
51.8855,5.8177,327.4,2012-04-03,1056,D,0
51.6436,5.0071,314.8,2012-04-03,1057,D,0
51.8051,5.2247,312.7,2012-04-03,1057,D,0
51.8028,5.2392,319.2,2012-04-03,1057,D,0
51.9952,4.1874,303.2,2012-04-06,1127,D,0
52.4973,4.6161,301.0,2012-04-08,151,N,0
51.9821,4.1709,307.5,2012-04-12,1238,D,0
51.9842,4.1852,303.6,2012-04-12,1238,D,0
52.7025,4.8264,302.8,2012-04-14,1226,D,0
52.4899,4.6144,305.5,2012-04-14,1226,D,2
52.7049,4.8413,302.8,2012-04-14,1226,D,0
51.4048,5.3764,303.6,2012-04-16,1213,D,0
51.9902,4.2023,307.5,2012-04-16,1213,D,0
52.0202,4.2001,318.9,2012-04-16,1213,D,0
51.4511,5.6684,305.1,2012-04-21,1045,D,0
51.906,4.1419,323.9,2012-04-22,1127,D,0
51.9901,4.197,311.2,2012-04-22,1127,D,0
52.4812,4.5878,306.7,2012-04-22,2101,N,0
52.4887,4.6123,312.9,2012-04-30,1226,D,2
51.4082,5.3813,308.6,2012-05-07,1045,D,0
