latitude,longitude,brightness,acq_date,acq_time,daynight,type
-4.5122,12.0485,304.4,2012-01-01,39,N,2
-4.5044,12.0591,300.2,2012-01-01,39,N,2
-4.5136,12.0578,304.9,2012-01-01,39,N,2
-4.5155,12.0467,308.6,2012-01-01,2223,N,2
-4.513,12.0409,308.1,2012-01-01,2223,N,2
-0.2044,17.3672,304.9,2012-01-02,1204,D,0
-4.5133,12.0477,303.0,2012-01-02,2128,N,2
-4.516,12.06,303.0,2012-01-03,952,D,2
-4.5143,12.0481,309.2,2012-01-03,952,D,2
-4.7184,12.1184,307.0,2012-01-03,1246,D,0
-4.5166,12.0494,320.2,2012-01-03,1246,D,2
-4.1786,11.6428,308.0,2012-01-03,1246,D,0
-4.3078,11.7017,317.8,2012-01-03,1246,D,0
-4.5153,12.0585,309.5,2012-01-03,1246,D,2
-4.18,11.6335,310.5,2012-01-03,1246,D,0
-4.5177,12.0602,313.4,2012-01-04,857,D,2
-4.5172,12.0525,312.9,2012-01-04,857,D,2
-2.5645,15.7095,312.3,2012-01-05,1234,D,0
-2.5632,15.7184,310.2,2012-01-05,1234,D,0
1.371,17.4463,309.3,2012-01-05,1235,D,0
1.3806,17.4165,311.2,2012-01-07,926,D,0
1.9357,15.2798,304.0,2012-01-07,926,D,0
-3.308,15.6064,312.0,2012-01-07,927,D,0
-3.6545,15.8406,318.0,2012-01-07,1221,D,0
-4.2186,14.958,308.9,2012-01-07,1221,D,0
-3.899,14.8813,313.1,2012-01-07,1221,D,0
0.9911,17.7562,325.9,2012-01-07,1223,D,0
2.039,16.0799,307.7,2012-01-07,1223,D,0
1.4332,17.4344,319.6,2012-01-07,1223,D,0
1.5105,17.3992,315.1,2012-01-07,1223,D,0
1.3063,17.4501,319.0,2012-01-07,1223,D,0
1.3075,17.459,318.6,2012-01-07,1223,D,0
1.3846,17.4141,317.0,2012-01-07,1223,D,0
1.9335,15.2803,309.7,2012-01-07,1223,D,0
2.352,18.1532,318.7,2012-01-09,1211,D,0
