latitude,longitude,brightness,acq_date,acq_time,daynight,type
58.6855,17.1229,304.0,2012-03-06,2007,N,0
58.352,12.3754,300.6,2012-03-23,1125,D,0
58.6894,17.1254,301.1,2012-03-24,1018,D,0
56.6954,12.8525,304.0,2012-03-29,1037,D,0
59.29,17.6998,305.5,2012-04-15,1132,D,0
55.5793,13.6267,301.7,2012-04-23,1031,D,0
59.4924,17.8409,307.9,2012-04-27,1005,D,0
60.1358,16.1782,301.8,2012-05-01,941,D,0
64.6898,21.0583,315.6,2012-05-01,1133,D,0
59.4306,11.7554,304.7,2012-05-03,142,N,0
57.3033,18.6137,315.9,2012-05-03,929,D,0
59.6964,16.6979,306.2,2012-05-06,1150,D,0
59.6945,16.7039,309.2,2012-05-06,1150,D,0
56.1883,12.5931,313.4,2012-05-08,1126,D,0
57.2926,15.7298,302.0,2012-05-21,1107,D,0
60.1334,16.1748,305.8,2012-05-22,959,D,0
58.5051,13.1618,315.4,2012-05-22,1150,D,0
59.6894,17.8051,302.0,2012-05-25,105,N,0
59.6872,17.8244,303.5,2012-05-25,105,N,0
57.1029,16.0699,310.8,2012-05-27,1208,D,0
57.4927,13.0462,303.7,2012-05-27,1208,D,0
57.105,16.093,369.0,2012-05-27,1208,D,0
60.1377,17.8828,349.5,2012-05-29,1156,D,0
60.1355,17.8577,310.4,2012-05-29,1156,D,0
61.0087,13.0793,330.3,2012-05-29,1157,D,0
61.011,13.0987,334.0,2012-05-29,1157,D,0
57.272,13.6269,301.9,2012-06-09,1137,D,0
58.2021,16.5919,301.0,2012-06-20,1119,D,0
59.4284,16.4571,301.3,2012-06-20,1119,D,0
58.0338,12.8075,304.2,2012-06-26,1030,D,0
62.3282,15.0756,303.7,2012-06-28,1956,N,0
60.1313,16.1804,302.3,2012-07-01,2026,N,0
59.5055,15.9969,301.0,2012-07-03,1049,D,0
55.8318,13.3005,306.6,2012-07-04,1131,D,0
60.1355,16.1877,306.9,2012-07-05,1024,D,0
67.6309,21.4551,311.9,2012-07-09,1135,D,0
67.6196,21.4924,311.7,2012-07-09,1135,D,0
67.637,21.468,303.3,2012-07-10,901,D,0
67.6701,22.288,302.4,2012-07-10,919,D,0
67.685,22.3316,300.1,2012-07-10,919,D,0
67.6811,22.3252,306.0,2012-07-10,1040,D,0
67.6248,21.4861,309.1,2012-07-10,1040,D,0
67.6289,21.4635,327.1,2012-07-10,1040,D,0
67.6294,21.4718,367.6,2012-07-10,1057,D,0
67.6325,21.4946,319.5,2012-07-10,1057,D,0
67.6299,21.4506,308.6,2012-07-10,1217,D,0
67.6345,21.4563,313.0,2012-07-10,1217,D,0
67.5502,21.1227,318.4,2012-07-12,1028,D,0
67.5586,21.1316,310.8,2012-07-12,1028,D,0
67.5517,21.1284,320.0,2012-07-12,1044,D,0
67.5482,21.1064,313.1,2012-07-12,1044,D,0
