latitude,longitude,brightness,acq_date,acq_time,daynight,type
56.366,-121.8827,308.1,2013-01-01,624,N,0
54.0458,-116.199,301.8,2013-01-01,1953,D,0
54.0443,-116.2169,302.4,2013-01-01,2003,D,0
55.6426,-115.2838,300.8,2013-01-01,2004,D,0
55.6443,-115.2699,301.2,2013-01-01,2004,D,0
55.5267,-121.882,314.8,2013-01-01,2004,D,0
55.5324,-121.8873,337.2,2013-01-01,2142,D,0
55.5281,-121.8959,328.4,2013-01-01,2142,D,0
55.5298,-121.8589,302.6,2013-01-01,2142,D,0
54.1372,-117.1951,366.9,2013-01-02,1858,D,0
53.7974,-117.0927,314.0,2013-01-02,2046,D,0
53.7954,-117.1083,336.5,2013-01-02,2046,D,0
54.1446,-117.1973,368.9,2013-01-02,2046,D,0
54.1426,-117.213,335.2,2013-01-02,2046,D,0
54.1385,-117.2443,332.8,2013-01-02,2046,D,0
54.1266,-117.1906,322.1,2013-01-02,2046,D,0
54.1246,-117.2063,389.2,2013-01-02,2046,D,0
54.1356,-117.1939,361.9,2013-01-02,2046,D,0
54.1226,-117.222,333.0,2013-01-02,2046,D,0
52.0014,-115.0443,328.1,2013-01-02,2046,D,0
54.3154,-116.5638,313.6,2013-01-02,2046,D,0
52.0033,-115.0283,335.2,2013-01-02,2046,D,0
52.9451,-116.6771,338.1,2013-01-02,2046,D,0
52.9512,-116.6845,322.9,2013-01-02,2046,D,0
54.3134,-116.5799,331.8,2013-01-02,2046,D,0
52.9397,-116.6032,335.3,2013-01-03,1803,D,0
51.9933,-115.0276,320.9,2013-01-03,1804,D,0
52.0036,-115.032,315.0,2013-01-03,1804,D,0
54.5281,-118.0256,314.7,2013-01-03,1941,D,0
54.5229,-118.0024,304.6,2013-01-03,1941,D,0
52.9501,-116.6427,304.7,2013-01-03,1941,D,0
52.943,-116.6135,374.3,2013-01-03,1941,D,0
54.1354,-117.5265,363.6,2013-01-03,1941,D,0
53.7982,-117.1385,326.9,2013-01-03,1941,D,0
53.792,-117.1125,328.8,2013-01-03,1941,D,0
53.7988,-117.1137,319.7,2013-01-03,1941,D,0
53.7874,-117.1204,303.8,2013-01-03,1941,D,0
52.9313,-116.6217,385.5,2013-01-03,1941,D,0
52.924,-116.5922,320.8,2013-01-03,1941,D,0
52.9357,-116.5839,326.3,2013-01-03,1941,D,0
54.8773,-120.1655,303.9,2013-01-03,1941,D,0
51.997,-115.0355,306.1,2013-01-03,1942,D,0
52.0007,-115.026,302.3,2013-01-03,1942,D,0
54.5128,-118.0294,307.0,2013-01-03,1951,D,0
53.7862,-117.1326,321.9,2013-01-03,1951,D,0
53.7985,-117.1411,301.8,2013-01-03,1951,D,0
52.9248,-116.5952,312.4,2013-01-03,1951,D,0
52.9168,-116.6264,327.0,2013-01-03,1951,D,0
52.9372,-116.6039,366.5,2013-01-03,1951,D,0
52.9291,-116.6355,379.7,2013-01-03,1951,D,0
52.9414,-116.6445,303.3,2013-01-03,1951,D,0
52.9452,-116.6168,309.8,2013-01-03,1951,D,0
52.937,-116.6482,308.3,2013-01-03,1951,D,0
54.1415,-117.5359,354.4,2013-01-03,2129,D,0
52.9277,-116.6162,349.2,2013-01-03,2129,D,0
52.9259,-116.6615,329.8,2013-01-03,2129,D,0
52.9423,-116.6172,316.3,2013-01-03,2129,D,0
52.9405,-116.6618,325.9,2013-01-03,2129,D,0
52.928,-116.6204,354.6,2013-01-03,2129,D,0
52.9265,-116.6657,326.4,2013-01-03,2129,D,0
52.9426,-116.6213,318.1,2013-01-03,2129,D,0
52.9411,-116.6661,323.1,2013-01-03,2129,D,0
54.4826,-118.65,300.9,2013-01-03,2129,D,0
54.5307,-118.7651,321.8,2013-01-03,2129,D,0
52.9396,-116.7087,301.9,2013-01-03,2129,D,0
54.5067,-118.0004,319.4,2013-01-03,2129,D,0
54.5237,-118.0454,304.3,2013-01-03,2129,D,0
54.5132,-117.9664,300.1,2013-01-03,2129,D,0
52.9388,-116.7049,305.5,2013-01-03,2129,D,0
54.5116,-118.005,317.3,2013-01-03,2129,D,0
55.5404,-122.0306,300.2,2013-01-03,2130,D,0
53.7992,-117.1187,370.0,2013-01-04,1846,D,0
53.9087,-117.6616,316.8,2013-01-04,1846,D,0
54.0183,-118.8297,342.2,2013-01-04,1846,D,0
54.0204,-118.8513,328.7,2013-01-04,1846,D,0
54.5181,-117.9481,335.5,2013-01-04,1846,D,0
54.4786,-118.6545,310.4,2013-01-04,1846,D,0
52.8106,-115.7623,343.1,2013-01-04,2034,D,0
53.8838,-117.6076,383.0,2013-01-04,2034,D,0
55.6829,-115.234,316.7,2013-01-04,2034,D,0
54.4864,-115.3613,311.3,2013-01-04,2034,D,0
53.8814,-117.6227,347.2,2013-01-04,2034,D,0
