latitude,longitude,brightness,acq_date,acq_time,daynight,type
43.9576,16.3294,307.1,2013-03-04,1016,D,0
43.9607,16.3134,301.7,2013-03-04,1016,D,0
43.951,16.3131,320.1,2013-03-04,1158,D,0
45.8271,17.6433,306.0,2013-04-14,1009,D,0
45.83,17.6279,305.6,2013-04-14,1009,D,0
45.6006,15.8185,307.3,2013-04-14,1010,D,0
45.4737,17.3491,304.6,2013-04-14,1010,D,0
45.2769,15.6383,313.1,2013-04-14,1153,D,0
45.827,17.6359,307.8,2013-04-14,1153,D,0
45.0953,15.4741,324.6,2013-04-16,957,D,0
46.1715,16.822,306.1,2013-04-16,1141,D,0
45.2961,18.9482,309.4,2013-04-16,1141,D,0
45.7897,16.7248,310.3,2013-04-16,1141,D,0
45.7804,16.7283,315.3,2013-04-16,1141,D,0
45.0916,15.4852,310.9,2013-04-16,1141,D,0
45.1358,15.6388,312.5,2013-04-17,1224,D,0
45.236,15.7536,308.7,2013-04-17,1224,D,0
45.2356,15.7591,308.0,2013-04-17,1224,D,0
46.2727,16.3587,310.3,2013-04-18,945,D,0
43.6636,16.6046,312.8,2013-04-18,946,D,0
42.935,16.9124,313.0,2013-04-18,946,D,0
45.1702,17.5237,310.6,2013-04-18,1129,D,0
45.1074,16.2944,339.3,2013-04-19,1028,D,0
45.4026,15.9246,311.8,2013-04-19,1211,D,0
45.1073,16.2885,324.0,2013-04-19,1211,D,0
44.3585,15.6989,316.8,2013-04-19,1211,D,0
45.0639,15.7488,315.7,2013-04-19,1211,D,0
45.2652,15.3325,311.6,2013-04-25,951,D,0
45.6978,17.7094,312.2,2013-04-25,1135,D,0
45.44,18.6993,314.4,2013-05-02,1141,D,0
46.2942,16.7344,305.2,2013-06-12,26,N,0
46.2961,16.7054,307.2,2013-06-12,26,N,0
46.2923,16.7131,316.5,2013-06-12,26,N,0
46.2942,16.7101,315.3,2013-06-12,204,N,0
46.2966,16.7143,316.5,2013-06-12,204,N,0
46.2788,16.7632,303.2,2013-06-12,204,N,0
46.2809,16.7673,301.9,2013-06-12,204,N,0
46.2914,16.7104,310.6,2013-06-12,2059,N,0
46.291,16.7107,300.4,2013-06-13,109,N,0
45.3287,14.5167,314.8,2013-06-15,1022,D,0
45.7011,17.7205,316.4,2013-06-17,1009,D,0
45.6863,16.5435,316.2,2013-06-17,1009,D,0
43.7056,15.9145,319.2,2013-06-17,1010,D,0
46.1737,16.8216,320.5,2013-06-17,1153,D,0
45.6673,16.3903,311.3,2013-06-22,1211,D,0
45.4961,15.5504,304.5,2013-06-23,2041,N,0
45.8029,15.865,317.2,2013-07-03,1009,D,0
45.3908,16.9064,314.7,2013-07-03,1152,D,0
