latitude,longitude,brightness,acq_date,acq_time,daynight,type
1.9932,9.9258,312.8,2013-01-05,950,D,0
1.9919,9.9347,314.1,2013-01-05,950,D,0
1.9884,9.9274,329.9,2013-01-05,1248,D,0
1.8146,9.8685,310.3,2013-01-05,1248,D,0
1.804,9.8603,317.2,2013-01-05,1248,D,0
1.8053,9.8698,328.9,2013-01-05,1248,D,0
1.7158,10.2916,314.1,2013-01-07,1236,D,0
1.7123,10.4087,309.0,2013-01-10,1307,D,0
1.8076,9.8586,314.5,2013-01-10,1307,D,0
1.7998,9.8659,324.9,2013-01-12,1254,D,0
1.7691,9.7795,313.2,2013-01-12,1254,D,0
1.8028,9.8594,308.8,2013-01-14,1242,D,0
1.9863,11.0766,306.2,2013-02-03,1217,D,0
1.987,11.0816,308.2,2013-02-03,1217,D,0
1.9905,11.1034,305.6,2013-02-03,1217,D,0
1.8929,10.3678,316.3,2013-02-06,1248,D,0
1.5744,9.8944,305.3,2013-02-13,957,D,0
2.0587,10.8205,313.3,2013-02-13,1254,D,0
2.1606,11.0795,315.7,2013-02-13,1254,D,0
1.902,10.1995,314.0,2013-02-15,1242,D,0
1.9036,10.205,310.0,2013-02-15,1242,D,0
2.091,11.0161,312.0,2013-02-15,1242,D,0
1.9732,9.9134,311.2,2013-02-15,1242,D,0
1.8676,11.2465,315.8,2013-02-15,1242,D,0
1.9126,11.2543,313.8,2013-02-15,1242,D,0
1.9112,11.2446,311.8,2013-02-15,1242,D,0
1.8514,10.0594,311.0,2013-02-15,1242,D,0
2.2659,9.8035,312.8,2013-02-20,1300,D,0
1.8752,11.0897,324.1,2013-02-22,1248,D,0
2.0603,11.0325,311.9,2013-02-22,1248,D,0
1.6385,11.1692,310.7,2013-02-22,1248,D,0
1.9262,10.6072,313.9,2013-02-22,1248,D,0
1.9136,10.8397,313.1,2013-02-22,1248,D,0
1.6292,10.4641,309.9,2013-02-22,1248,D,0
1.8095,9.8673,311.9,2013-03-01,957,D,0
1.926,10.3226,336.6,2013-03-01,1254,D,0
1.8414,10.0595,313.9,2013-03-01,1254,D,0
2.0371,9.9397,314.6,2013-03-01,1254,D,0
2.0291,11.0466,314.7,2013-03-01,1254,D,0
2.0007,11.1706,319.0,2013-03-01,1254,D,0
1.6708,9.6354,326.1,2013-03-01,1254,D,0
1.9631,10.3902,315.6,2013-03-01,1254,D,0
1.8848,11.3263,317.4,2013-03-01,1254,D,0
1.8133,9.8638,320.2,2013-03-01,1254,D,0
1.8076,11.1726,318.1,2013-03-01,1254,D,0
1.857,11.0647,320.8,2013-03-01,1254,D,0
1.8859,11.2022,313.7,2013-03-01,1254,D,0
1.8845,11.1929,316.8,2013-03-01,1254,D,0
1.9171,11.1599,315.0,2013-03-01,1254,D,0
1.9263,11.1056,321.3,2013-03-01,1254,D,0
2.1588,11.317,322.9,2013-03-01,1254,D,0
1.764,10.4768,321.0,2013-03-01,1254,D,0
1.9215,11.321,316.0,2013-03-01,1254,D,0
1.8644,10.7935,321.1,2013-03-01,1254,D,0
1.8657,10.8026,314.9,2013-03-01,1254,D,0
1.8102,10.866,316.9,2013-03-01,1254,D,0
1.945,11.2889,316.1,2013-03-01,1254,D,0
1.9436,11.2796,321.2,2013-03-01,1254,D,0
1.9513,11.2823,324.7,2013-03-01,1254,D,0
1.9668,11.1944,317.2,2013-03-01,1254,D,0
1.4205,11.3001,329.3,2013-03-01,1254,D,0
1.6394,10.9586,317.6,2013-03-01,1254,D,0
2.1362,11.0916,321.6,2013-03-01,1254,D,0
2.089,11.0757,320.2,2013-03-01,1254,D,0
2.0904,11.085,322.0,2013-03-01,1254,D,0
2.0617,11.0796,316.6,2013-03-01,1254,D,0
3.5869,8.7491,318.3,2013-03-01,1255,D,1
3.5886,8.7394,312.9,2013-03-03,944,D,0
1.6603,11.2335,310.3,2013-03-03,1242,D,0
1.764,11.2524,318.2,2013-03-03,1242,D,0
1.7864,11.2921,313.5,2013-03-03,1242,D,0
1.943,11.2833,316.9,2013-03-03,1242,D,0
2.0028,9.8516,316.9,2013-03-03,1242,D,0
2.0012,9.8401,317.2,2013-03-03,1242,D,0
2.1263,11.0992,321.7,2013-03-03,1242,D,0
1.9879,10.9718,307.5,2013-03-08,1003,D,0
2.0712,11.0941,310.9,2013-03-10,1248,D,0
2.0482,10.9972,318.4,2013-03-10,1248,D,0
2.0495,11.0062,310.7,2013-03-10,1248,D,0
1.1169,10.5848,311.6,2013-03-12,1236,D,0
1.8445,10.5027,308.0,2013-03-12,1236,D,0
1.1544,10.4353,322.1,2013-03-12,1236,D,0
2.1156,11.0694,314.2,2013-03-12,1236,D,0
1.1905,11.2897,304.3,2013-03-19,1242,D,0
