latitude,longitude,brightness,acq_date,acq_time,daynight,type
-10.5474,-138.6601,312.5,2013-01-06,2321,D,3
-10.5439,-138.66,310.2,2013-01-09,1923,D,3
-17.5411,-149.5618,310.1,2013-01-15,2313,D,0
-10.5359,-138.6351,311.4,2013-02-12,1910,D,3
-10.5437,-138.6436,311.4,2013-02-12,1910,D,3
-10.545,-138.6572,311.6,2013-02-14,2327,D,3
-10.5447,-138.6535,313.3,2013-02-26,1923,D,3
-10.5405,-138.6487,310.8,2013-03-02,2327,D,3
-10.5434,-138.6553,312.9,2013-03-11,2321,D,3
-10.5458,-138.6563,313.7,2013-03-20,2315,D,3
-10.5417,-138.6483,313.7,2013-03-23,1917,D,3
-8.8036,-140.2386,311.9,2013-03-26,2239,D,0
-10.5437,-138.6499,312.3,2013-03-28,1935,D,3
-10.5446,-138.6513,310.6,2013-10-21,2321,D,3
-10.5424,-138.6444,312.4,2013-11-02,1916,D,3
-10.5452,-138.6501,313.5,2013-11-08,2309,D,3
-17.5396,-149.5442,310.4,2013-12-08,2320,D,0
-10.5414,-138.645,312.9,2013-12-20,1917,D,3
