latitude,longitude,brightness,acq_date,acq_time,daynight,type
56.1893,21.2438,304.8,2013-03-28,1113,D,0
56.2719,27.1658,309.0,2013-04-18,942,D,0
56.2747,27.1492,301.3,2013-04-18,942,D,0
56.9434,24.218,300.4,2013-04-20,1119,D,0
56.9413,24.2008,306.2,2013-04-20,1119,D,0
57.3589,24.656,305.8,2013-04-21,1012,D,0
57.355,24.6476,310.2,2013-04-21,1012,D,0
55.8218,26.5735,305.4,2013-04-22,1106,D,0
56.5189,27.2984,303.3,2013-04-22,1107,D,0
57.5635,25.4122,315.3,2013-04-22,1107,D,0
55.9323,26.7738,308.0,2013-04-22,1107,D,0
56.7879,23.9069,302.5,2013-04-24,1055,D,0
55.8296,26.6257,335.7,2013-05-01,1100,D,0
56.3812,22.64,302.5,2013-05-01,1101,D,0
56.9763,27.1032,309.1,2013-05-02,954,D,0
56.2761,27.8138,304.1,2013-05-02,954,D,0
55.85,27.2201,307.1,2013-05-02,1143,D,0
57.7132,24.6357,301.6,2013-05-03,1049,D,0
57.726,25.5652,306.6,2013-05-04,941,D,0
56.6016,25.2351,301.4,2013-05-04,942,D,0
57.1589,24.6516,305.9,2013-05-04,942,D,0
56.9569,23.1069,308.7,2013-05-04,1131,D,0
56.0538,25.9758,311.1,2013-05-05,1024,D,0
56.6757,26.3823,306.2,2013-05-06,929,D,0
56.6779,26.3662,305.8,2013-05-06,929,D,0
56.5481,25.8831,307.0,2013-05-06,929,D,0
56.2634,28.1763,305.4,2013-05-06,929,D,0
57.4897,27.4441,301.1,2013-05-06,941,D,0
56.976,27.0314,328.8,2013-05-06,1119,D,0
56.9781,27.052,306.7,2013-05-06,1119,D,0
56.2624,28.161,305.2,2013-05-06,1119,D,0
56.7048,27.6706,311.5,2013-05-08,917,D,0
57.6205,24.7473,309.8,2013-05-08,1107,D,0
57.0042,24.0514,354.7,2013-05-09,1150,D,0
57.0067,24.0456,351.7,2013-05-09,1150,D,0
56.992,24.0539,319.8,2013-05-09,1150,D,0
56.9946,24.0481,330.6,2013-05-09,1150,D,0
57.0022,24.0198,323.7,2013-05-09,1150,D,0
56.5454,26.6281,318.6,2013-06-02,911,D,0
56.5155,26.8421,300.0,2013-06-12,959,D,0
57.8206,26.0137,303.6,2013-06-23,929,D,0
57.8228,25.9965,308.9,2013-06-23,929,D,0
56.7146,23.5928,309.5,2013-07-08,1024,D,0
56.8324,25.0322,307.4,2013-07-09,1118,D,0
56.9476,26.4529,306.7,2013-07-11,1106,D,0
56.5853,22.2594,307.4,2013-08-05,1100,D,0
56.8851,26.5452,304.4,2013-08-06,1143,D,0
56.8844,26.5537,305.0,2013-08-06,1143,D,0
56.2335,21.1931,307.7,2013-08-07,1048,D,0
57.5179,25.3066,305.6,2013-08-18,1030,D,0
57.1264,21.7892,302.0,2013-08-24,1131,D,0
56.4668,25.7697,309.3,2013-08-25,1035,D,0
57.7685,25.8159,300.2,2013-08-27,1012,D,0
56.8759,23.9077,303.0,2013-09-06,1100,D,0
56.4907,23.9757,312.0,2013-09-07,1142,D,0
57.2372,24.7901,300.7,2013-09-09,1130,D,0
56.2813,24.0967,301.8,2013-09-11,1118,D,0
55.9795,26.8575,300.0,2013-09-17,1041,D,0
