latitude,longitude,brightness,acq_date,acq_time,daynight,type
46.5632,29.8607,303.6,2013-02-20,1134,D,0
46.5613,29.835,305.8,2013-02-20,1134,D,0
47.0051,28.8708,301.3,2013-02-28,1045,D,0
46.558,29.8436,304.7,2013-03-01,944,D,0
46.7021,29.3299,303.6,2013-03-01,1128,D,0
46.7038,29.3501,319.3,2013-03-01,1128,D,0
46.6458,29.1083,306.8,2013-03-01,1128,D,0
46.4145,30.0811,302.8,2013-03-01,1128,D,0
47.538,28.6063,301.0,2013-03-03,931,D,0
47.4032,29.2349,327.6,2013-03-03,931,D,0
47.6628,27.4039,300.7,2013-03-04,1159,D,0
46.4502,30.0243,302.4,2013-03-04,1945,N,0
46.4477,30.0386,354.5,2013-03-05,920,D,0
46.4424,30.036,305.0,2013-03-05,1103,D,0
47.4229,29.2468,322.6,2013-03-05,1103,D,0
47.3728,27.9089,300.7,2013-03-05,1103,D,0
47.3868,28.6103,334.8,2013-03-05,1103,D,0
46.4513,30.0334,308.4,2013-03-05,1103,D,0
47.3887,28.6234,313.7,2013-03-05,1103,D,0
47.6402,27.9519,303.5,2013-03-05,1104,D,0
47.8715,27.9442,310.9,2013-03-05,1104,D,0
47.9799,28.3595,300.7,2013-03-05,1104,D,0
47.8804,27.9412,303.5,2013-03-05,1104,D,0
46.5262,29.861,301.6,2013-03-06,1008,D,0
47.6453,28.9715,303.0,2013-03-06,1146,D,0
47.6472,29.0072,302.3,2013-03-06,1146,D,0
47.6504,29.0031,306.7,2013-03-06,1147,D,0
47.6487,28.9669,304.6,2013-03-06,1147,D,0
47.5057,28.8954,306.4,2013-03-07,907,D,0
47.0247,28.0983,304.9,2013-03-07,907,D,0
46.6437,29.2551,307.3,2013-03-07,1051,D,0
46.6412,29.2409,303.3,2013-03-07,1051,D,0
47.2801,29.524,301.4,2013-03-07,1051,D,0
46.2726,28.2908,314.2,2013-03-16,901,D,0
48.0172,28.8205,304.1,2013-03-16,901,D,0
46.6325,29.53,302.8,2013-03-17,1128,D,0
46.9347,29.2801,301.3,2013-03-18,849,D,0
45.6059,28.1861,300.1,2013-03-18,849,D,0
46.968,28.6904,309.7,2013-03-18,1033,D,0
45.7882,28.2281,308.4,2013-03-19,932,D,0
45.7916,28.2109,310.0,2013-03-19,932,D,0
45.6068,28.1639,307.0,2013-03-24,950,D,0
46.5863,29.9311,313.0,2013-03-25,855,D,0
47.1874,28.3798,308.5,2013-04-01,901,D,0
47.1554,28.5753,309.4,2013-04-02,1128,D,0
48.0025,27.8852,308.6,2013-04-10,855,D,0
47.5266,27.7235,307.2,2013-04-16,1141,D,0
45.9387,28.2185,307.4,2013-04-17,902,D,0
47.8379,27.4628,318.5,2013-04-17,1046,D,0
47.201,28.4441,309.7,2013-04-17,1046,D,0
47.8461,27.7352,319.6,2013-04-18,944,D,0
48.3859,27.2836,316.6,2013-04-19,849,D,0
48.3421,27.2525,312.0,2013-04-19,849,D,0
47.9729,28.3682,330.5,2013-04-20,932,D,0
47.8709,27.4694,315.4,2013-04-22,920,D,0
47.709,27.7287,315.3,2013-04-22,920,D,0
46.5341,28.6867,319.1,2013-04-22,920,D,0
47.7111,27.7154,316.4,2013-04-22,920,D,0
48.0626,27.8012,320.9,2013-04-22,1104,D,0
48.0714,27.9457,327.3,2013-04-24,907,D,0
48.0733,27.9318,358.2,2013-04-24,907,D,0
47.907,27.5942,314.4,2013-04-25,950,D,0
48.3179,26.9761,318.7,2013-04-27,938,D,0
48.1816,27.5198,318.2,2013-04-27,938,D,0
48.3175,26.977,328.3,2013-04-27,1123,D,0
48.2308,27.5599,322.5,2013-04-27,1123,D,0
47.9319,27.5284,325.4,2013-04-27,1123,D,0
47.9301,27.5131,340.7,2013-04-27,1123,D,0
48.2326,27.5541,322.5,2013-04-27,1123,D,0
48.2211,27.7633,318.5,2013-04-28,843,D,0
48.2192,27.7887,321.6,2013-04-28,843,D,0
48.3432,27.3566,320.5,2013-04-29,1111,D,0
48.2081,27.6528,318.1,2013-05-03,901,D,0
47.7848,27.9739,319.5,2013-05-08,919,D,0
48.332,27.7514,319.2,2013-05-08,919,D,0
48.334,27.7381,319.9,2013-05-08,919,D,0
48.3158,27.8226,322.0,2013-05-08,1104,D,0
46.8459,29.7661,320.6,2013-05-10,907,D,0
47.8278,28.7478,310.7,2013-06-02,1058,D,0
46.4533,28.4088,307.6,2013-06-09,1103,D,0
46.9176,28.8521,301.8,2013-06-10,1933,N,0
46.351,28.2975,320.0,2013-06-18,914,D,0
46.8357,29.7384,318.4,2013-06-18,1057,D,0
46.6605,29.6679,300.6,2013-06-21,2053,N,0
46.6574,29.6727,304.0,2013-06-21,2053,N,0
47.1485,29.4259,314.1,2013-06-23,932,D,0
45.7219,28.4482,331.3,2013-06-27,908,D,0
47.745,29.0653,333.6,2013-07-06,901,D,0
47.0229,29.4864,301.6,2013-07-06,2010,N,0
45.675,28.2968,311.1,2013-07-08,1033,D,0
47.9124,29.0054,380.9,2013-07-08,1033,D,0
47.9076,28.983,379.1,2013-07-08,1033,D,0
45.5726,28.4806,331.1,2013-07-10,837,D,0
46.7606,29.7275,321.1,2013-07-11,919,D,0
45.6266,28.4954,323.8,2013-07-11,920,D,0
46.7573,29.72,322.2,2013-07-11,1103,D,0
47.9203,29.0875,371.4,2013-07-13,907,D,0
47.7347,29.1558,337.2,2013-07-13,907,D,0
47.7366,29.1427,326.3,2013-07-13,907,D,0
47.7543,29.148,321.6,2013-07-13,907,D,0
47.7632,29.1508,359.3,2013-07-13,907,D,0
47.9256,29.0798,321.9,2013-07-13,1051,D,0
46.3763,30.0221,317.1,2013-07-15,855,D,0
46.8017,29.634,325.9,2013-07-15,855,D,0
46.7994,29.6379,318.9,2013-07-15,1039,D,0
46.8024,29.6221,314.6,2013-07-15,1039,D,0
46.7922,29.6265,332.2,2013-07-15,1039,D,0
46.7958,29.6199,322.9,2013-07-15,1039,D,0
