latitude,longitude,brightness,acq_date,acq_time,daynight,type
50.7454,19.0298,325.9,2013-01-01,1148,D,0
50.7435,19.015,309.6,2013-01-01,1148,D,0
51.6928,15.9707,304.9,2013-01-31,1014,D,2
51.6872,15.9823,300.7,2013-02-03,1044,D,2
51.6857,15.9778,310.2,2013-02-04,949,D,2
51.1739,16.1085,304.9,2013-02-06,2048,N,0
51.6939,15.9844,306.6,2013-02-09,43,N,2
50.421,18.1467,303.0,2013-03-02,101,N,0
51.6848,15.9821,302.5,2013-03-02,1212,D,2
51.6834,15.9687,300.4,2013-03-04,1200,D,2
51.6852,15.9841,303.5,2013-03-04,1200,D,2
50.3497,19.2799,301.4,2013-03-05,2029,N,0
50.0651,20.1194,317.5,2013-03-05,2029,N,0
51.2852,20.9345,304.6,2013-03-06,1001,D,0
51.6842,15.9882,302.9,2013-03-06,1002,D,2
50.0492,20.2253,314.2,2013-03-06,1002,D,0
50.052,20.21,313.0,2013-03-06,1002,D,0
50.3877,19.4161,310.4,2013-03-06,1002,D,0
49.962,19.8296,321.8,2013-03-06,1147,D,0
49.9638,19.8445,310.3,2013-03-06,1147,D,0
50.3281,19.2884,300.8,2013-03-06,1147,D,2
50.3372,19.2856,300.4,2013-03-06,1147,D,2
50.4206,18.1393,307.8,2013-03-06,1148,D,0
50.3369,19.2943,307.0,2013-03-17,944,D,2
50.3404,19.3409,301.4,2013-03-17,944,D,0
50.3345,19.2952,325.8,2013-03-24,950,D,2
50.3365,19.2813,303.4,2013-03-24,950,D,2
50.4443,19.2508,308.9,2013-03-24,1135,D,0
50.1673,20.0811,301.5,2013-03-24,1135,D,0
50.3353,19.2901,348.4,2013-03-28,2036,N,2
52.5889,19.6824,300.4,2013-04-07,1001,D,0
52.7134,15.2158,314.3,2013-04-07,1002,D,0
52.7115,15.2314,306.1,2013-04-07,1002,D,0
50.3352,19.2936,303.0,2013-04-08,120,N,2
51.6873,15.9785,302.0,2013-04-08,120,N,2
50.0486,20.1827,303.7,2013-04-11,938,D,0
50.3696,19.0019,301.7,2013-04-11,1124,D,0
50.3419,19.2979,323.0,2013-04-12,56,N,2
51.6834,15.9792,310.0,2013-04-14,1008,D,2
53.3791,14.4749,309.5,2013-04-14,1155,D,0
53.3811,14.4897,321.7,2013-04-14,1155,D,0
51.6841,15.9751,317.9,2013-04-14,1155,D,2
53.39,14.4862,316.7,2013-04-14,1155,D,0
50.6306,17.4812,304.5,2013-04-15,913,D,0
50.3136,18.8874,304.1,2013-04-15,1051,D,0
50.3262,18.8441,304.0,2013-04-15,1051,D,0
50.3185,18.8862,305.1,2013-04-15,1051,D,0
50.3308,18.8425,302.6,2013-04-15,1051,D,0
50.5075,16.6565,301.2,2013-04-15,1059,D,0
51.4963,21.1035,309.0,2013-04-15,1059,D,0
50.5102,16.6473,302.3,2013-04-15,1059,D,0
54.3029,18.9037,309.4,2013-04-15,1100,D,0
51.1332,19.8231,324.1,2013-04-15,2024,N,0
54.2584,19.3675,302.7,2013-04-16,955,D,0
54.3687,21.3137,323.9,2013-04-16,955,D,0
54.3711,21.2986,301.8,2013-04-16,955,D,0
54.396,20.5304,305.8,2013-04-16,955,D,0
54.3414,21.5998,301.2,2013-04-16,955,D,0
51.2907,19.034,311.3,2013-04-16,956,D,0
50.6884,21.9096,306.0,2013-04-16,956,D,0
50.3894,22.1342,304.7,2013-04-16,956,D,0
49.6559,21.7251,305.5,2013-04-16,956,D,0
50.4642,22.2414,305.0,2013-04-16,956,D,0
50.688,17.5529,314.1,2013-04-16,956,D,0
50.69,17.5388,310.2,2013-04-16,956,D,0
49.8927,19.5073,321.8,2013-04-16,956,D,0
50.8335,18.9782,308.1,2013-04-16,956,D,0
50.976,19.1529,309.3,2013-04-16,1142,D,0
50.1485,23.2121,306.5,2013-04-16,1142,D,0
50.4605,22.2339,312.5,2013-04-16,1142,D,0
50.6082,19.1711,313.7,2013-04-16,1142,D,0
50.922,19.0975,313.6,2013-04-16,1142,D,0
51.0424,16.88,306.2,2013-04-16,1142,D,0
50.3038,19.4544,312.2,2013-04-16,1142,D,0
50.4623,22.2503,325.3,2013-04-16,1142,D,0
50.978,19.167,310.6,2013-04-16,1142,D,0
50.0606,22.0216,308.8,2013-04-16,1142,D,0
50.4159,18.1465,311.3,2013-04-16,1142,D,0
50.7793,17.4095,307.0,2013-04-16,1142,D,0
50.5994,19.1741,316.6,2013-04-16,1142,D,0
54.3703,21.3123,303.0,2013-04-16,1143,D,0
54.2554,19.3707,306.5,2013-04-16,1143,D,0
54.3894,20.5303,307.0,2013-04-16,1143,D,0
54.3508,21.3183,306.1,2013-04-16,1143,D,0
54.3684,21.2939,302.8,2013-04-16,1143,D,0
50.8573,20.7775,314.4,2013-04-18,943,D,0
53.6032,14.5617,301.7,2013-04-18,943,D,0
54.3851,20.8424,301.3,2013-04-18,943,D,0
51.1378,23.4177,304.5,2013-04-18,943,D,0
50.8553,20.7916,313.2,2013-04-18,943,D,0
54.3657,21.4874,302.4,2013-04-18,943,D,0
50.754,20.6559,307.5,2013-04-18,944,D,0
49.7194,21.7587,311.6,2013-04-18,944,D,0
50.4137,18.1508,305.8,2013-04-18,944,D,0
49.5404,22.1914,315.8,2013-04-18,944,D,0
50.1594,19.3739,310.0,2013-04-18,944,D,0
50.1575,19.3883,310.7,2013-04-18,944,D,0
49.9643,19.7959,313.2,2013-04-18,944,D,0
50.0735,20.0858,319.3,2013-04-18,944,D,0
50.5422,17.2204,304.0,2013-04-18,944,D,0
49.7283,21.2682,308.7,2013-04-18,944,D,0
50.3877,19.1081,307.1,2013-04-18,944,D,0
50.3871,19.2605,308.3,2013-04-18,944,D,0
50.389,19.2458,319.2,2013-04-18,944,D,0
51.084,17.2663,305.7,2013-04-18,1130,D,0
50.7583,19.0356,331.6,2013-04-18,1130,D,0
50.7479,19.014,304.1,2013-04-18,1130,D,0
50.7503,19.0285,338.0,2013-04-18,1130,D,0
50.7527,19.0431,305.5,2013-04-18,1130,D,0
49.8871,19.761,314.7,2013-04-18,1130,D,0
51.3053,17.145,301.2,2013-04-18,1130,D,0
51.3024,17.129,301.5,2013-04-18,1130,D,0
51.2631,20.6953,302.1,2013-04-18,1130,D,0
50.6708,23.7406,308.6,2013-04-18,1130,D,0
50.6689,23.7259,325.6,2013-04-18,1130,D,0
50.375,18.9855,350.7,2013-04-18,1130,D,0
50.3674,18.9784,330.4,2013-04-18,1130,D,0
52.1026,20.7052,303.9,2013-04-18,1130,D,0
50.3892,19.1097,313.1,2013-04-18,1130,D,0
50.3699,18.993,359.6,2013-04-18,1130,D,0
50.3946,19.1022,312.6,2013-04-18,1130,D,0
50.3774,19.0001,315.5,2013-04-18,1130,D,0
50.7558,19.0211,334.3,2013-04-18,1130,D,0
54.3833,20.74,303.0,2013-04-18,1131,D,0
54.3613,21.4749,308.6,2013-04-18,1131,D,0
54.3593,21.4593,307.5,2013-04-18,1131,D,0
54.2907,20.0735,305.0,2013-04-18,1131,D,0
50.7149,23.276,313.9,2013-04-19,1035,D,0
51.6851,15.9741,302.6,2013-04-20,2042,N,2
54.3811,21.1636,316.1,2013-04-21,1013,D,0
54.3643,21.875,303.8,2013-04-21,1013,D,0
54.3636,21.9861,307.2,2013-04-21,1013,D,0
54.3803,21.0592,310.8,2013-04-21,1013,D,0
54.3766,21.0778,328.5,2013-04-21,1013,D,0
54.4066,20.5402,316.6,2013-04-21,1013,D,0
54.4032,20.5582,302.6,2013-04-21,1013,D,0
51.9583,21.3172,321.2,2013-04-21,1014,D,0
51.1691,23.0504,312.5,2013-04-21,1014,D,0
