latitude,longitude,brightness,acq_date,acq_time,daynight,type
-26.0933,31.5305,314.8,2013-01-03,831,D,0
-26.0974,31.5243,315.2,2013-01-03,831,D,0
-26.1063,31.8642,320.7,2013-01-06,1145,D,0
-26.1048,31.8742,353.9,2013-01-06,1145,D,0
-26.2574,31.4355,323.6,2013-01-08,1133,D,0
-26.3971,30.9776,360.0,2013-01-09,1215,D,0
-25.9248,31.3559,322.0,2013-01-09,1215,D,0
-26.3805,30.9716,322.7,2013-01-10,838,D,0
-25.8981,31.2119,319.7,2013-01-10,1120,D,0
-25.9376,31.3141,317.9,2013-01-10,1120,D,0
-25.9398,31.3194,317.8,2013-01-10,1120,D,0
-27.1128,31.1774,315.7,2013-01-14,813,D,0
-25.9717,31.3137,365.4,2013-01-17,1126,D,0
-25.9708,31.3065,344.1,2013-01-17,1126,D,0
-25.9689,31.3227,353.4,2013-01-17,1126,D,0
-25.9956,31.3001,319.6,2013-01-17,1126,D,0
-25.97,31.3296,321.1,2013-01-17,1126,D,0
-26.6671,30.9839,348.3,2013-01-23,807,D,0
-26.6686,30.9939,312.3,2013-01-23,807,D,0
-27.1106,31.1806,317.8,2013-01-23,807,D,0
-27.2264,31.3357,318.2,2013-01-24,850,D,0
-27.2222,31.3408,319.1,2013-01-24,850,D,0
-25.9268,31.3265,319.2,2013-01-24,1132,D,0
-25.9489,31.2289,321.1,2013-01-24,1132,D,0
-25.9388,31.2274,326.3,2013-01-24,1132,D,0
-26.9978,31.2495,319.6,2013-02-11,1120,D,0
-27.1049,31.1746,321.0,2013-02-14,1150,D,0
-26.8129,30.9027,375.5,2013-02-14,1151,D,0
-26.6239,30.8185,327.1,2013-02-14,1151,D,0
-26.6225,30.8286,339.8,2013-02-14,1151,D,0
-26.6291,30.8282,312.8,2013-02-15,813,D,0
-27.1209,31.1571,312.3,2013-02-18,844,D,0
-26.5855,30.9144,317.7,2013-02-18,1126,D,0
-26.5873,30.8973,317.1,2013-02-18,1126,D,0
-26.5156,30.7851,315.5,2013-02-19,749,D,0
-27.097,31.1754,316.0,2013-02-19,749,D,0
-26.5071,30.7941,312.8,2013-02-19,749,D,0
-26.6501,31.0954,349.1,2013-02-19,1209,D,0
-26.6554,31.0726,319.4,2013-02-19,1209,D,0
-26.6533,31.0788,350.1,2013-02-19,1209,D,0
-26.6525,31.0889,366.4,2013-02-19,1209,D,0
-26.6614,31.0983,316.2,2013-02-19,1209,D,0
-26.8495,31.7206,312.5,2013-02-20,832,D,0
-25.9504,31.2636,314.3,2013-02-20,1114,D,0
-25.9557,31.2708,313.4,2013-02-20,1114,D,0
-27.2816,31.8563,329.6,2013-02-23,1144,D,0
-27.229,31.3484,317.3,2013-02-25,1132,D,0
-27.2305,31.3353,317.4,2013-02-25,1132,D,0
-27.2211,31.341,323.0,2013-02-25,1132,D,0
-26.0082,31.337,338.0,2013-02-26,1215,D,0
-26.013,31.3336,331.1,2013-02-26,1215,D,0
-26.0086,31.3565,328.5,2013-02-26,1215,D,0
-26.4904,31.0492,328.1,2013-02-27,838,D,0
-26.4894,31.0595,349.8,2013-02-27,1120,D,0
-26.5022,31.0606,335.6,2013-02-27,1120,D,0
-26.5042,31.0472,324.9,2013-02-27,1120,D,0
-26.4914,31.0386,336.6,2013-02-27,1120,D,0
-26.5041,31.0407,322.6,2013-02-27,1120,D,0
-27.2392,31.3274,356.9,2013-03-04,1138,D,0
-27.2283,31.3373,315.5,2013-03-04,1138,D,0
-27.2297,31.3261,351.1,2013-03-04,1138,D,0
-27.0069,31.2112,310.1,2013-03-05,801,D,0
-27.0086,31.2219,317.4,2013-03-05,801,D,0
-27.2195,31.3477,320.1,2013-03-12,807,D,0
-27.218,31.3376,337.9,2013-03-12,807,D,0
-25.9128,31.3505,342.2,2013-03-18,1151,D,0
-25.9112,31.3608,337.6,2013-03-18,1151,D,0
-25.9684,31.1611,309.5,2013-03-19,813,D,0
-27.0631,31.1792,311.6,2013-03-19,814,D,0
-26.6491,31.0979,313.4,2013-03-19,814,D,0
-26.6476,31.0875,321.5,2013-03-19,814,D,0
-27.0138,31.2151,313.8,2013-03-19,814,D,0
-27.1236,31.2772,323.5,2013-03-19,814,D,0
-27.1251,31.2878,310.2,2013-03-19,814,D,0
-27.0616,31.1687,311.6,2013-03-19,814,D,0
-25.9676,31.3131,312.7,2013-03-22,1127,D,0
-25.9769,31.3304,376.2,2013-03-22,1127,D,0
-25.9787,31.3147,367.5,2013-03-22,1127,D,0
-26.0106,31.8149,308.1,2013-04-02,826,D,0
-26.9791,31.2219,350.5,2013-04-08,749,D,0
-26.9764,31.2068,317.6,2013-04-08,749,D,0
-25.9391,31.315,326.0,2013-04-08,1210,D,0
-25.9628,31.32,316.4,2013-04-08,1210,D,0
-25.9686,31.3282,315.0,2013-04-08,1210,D,0
-25.9426,31.2965,330.4,2013-04-08,1210,D,0
-25.9287,31.3234,327.7,2013-04-09,832,D,0
-26.5207,30.9728,351.4,2013-04-09,832,D,0
-26.5174,30.9851,325.5,2013-04-09,832,D,0
-25.9335,31.3097,342.4,2013-04-09,832,D,0
-25.9267,31.3036,337.0,2013-04-09,832,D,0
-25.9216,31.3118,314.0,2013-04-09,832,D,0
-26.5089,30.9734,313.9,2013-04-09,832,D,0
-26.5156,30.9675,341.7,2013-04-09,832,D,0
-26.5067,30.9587,316.1,2013-04-09,1115,D,0
-25.9306,31.3043,312.6,2013-04-09,1115,D,0
-25.9359,31.3093,314.7,2013-04-09,1115,D,0
-26.5161,30.9815,312.1,2013-04-09,1115,D,0
-26.5186,30.954,316.2,2013-04-09,1115,D,0
-26.0045,31.2868,309.3,2013-04-16,838,D,0
-26.0071,31.2676,317.6,2013-04-16,1121,D,0
-26.0033,31.2819,315.0,2013-04-16,1121,D,0
-26.0053,31.263,312.5,2013-04-16,1121,D,0
-25.8972,31.1564,317.3,2013-04-17,743,D,0
-27.1322,31.2378,347.1,2013-04-17,743,D,0
-27.144,31.2347,312.0,2013-04-17,743,D,0
-25.9083,31.1609,315.0,2013-04-17,743,D,0
-25.9218,31.3244,324.8,2013-04-17,1204,D,0
-25.9033,31.1473,312.6,2013-04-17,1204,D,0
-25.9765,31.1291,305.7,2013-04-22,801,D,0
-25.9748,31.1186,302.6,2013-04-22,801,D,0
-26.5311,31.122,333.4,2013-04-25,832,D,0
-25.9557,31.4008,308.9,2013-04-25,1115,D,0
-26.4146,30.8638,310.0,2013-04-26,1158,D,0
-25.9458,31.1216,307.1,2013-04-29,807,D,0
-25.9473,31.1315,304.8,2013-04-29,807,D,0
-25.952,31.4034,314.0,2013-05-02,1121,D,0
-26.9337,30.9758,311.5,2013-05-03,1204,D,0
-25.9776,31.142,308.9,2013-05-06,813,D,0
-27.1435,31.2156,302.2,2013-05-06,814,D,0
-27.1449,31.226,301.2,2013-05-06,814,D,0
-26.1574,31.0786,331.9,2013-05-07,1139,D,0
-26.6644,31.9507,312.2,2013-05-07,1139,D,0
-25.9757,31.2128,359.0,2013-05-07,1139,D,0
-25.9743,31.2233,353.3,2013-05-07,1139,D,0
-25.9858,31.1757,318.4,2013-05-07,1139,D,0
-25.9816,31.2082,323.9,2013-05-07,1139,D,0
-25.9802,31.2188,407.7,2013-05-07,1139,D,0
-26.156,31.0894,337.7,2013-05-07,1139,D,0
-26.1668,31.0802,307.3,2013-05-07,1139,D,0
-26.1654,31.0911,310.2,2013-05-07,1139,D,0
-25.9737,31.2255,302.6,2013-05-07,2104,N,0
-25.9142,31.1191,316.5,2013-05-08,801,D,0
-25.9751,31.2219,314.5,2013-05-08,801,D,0
-26.1306,31.1025,309.4,2013-05-08,801,D,0
-25.9237,31.1177,315.9,2013-05-08,801,D,0
-25.916,31.1301,316.2,2013-05-08,801,D,0
-25.9768,31.2325,318.7,2013-05-08,801,D,0
-26.1491,31.0963,371.9,2013-05-08,1222,D,0
-26.1471,31.0883,374.2,2013-05-08,1222,D,0
-26.1554,31.0666,323.7,2013-05-08,1222,D,0
-26.1348,31.0927,338.3,2013-05-08,1222,D,0
-26.1328,31.0843,312.6,2013-05-08,1222,D,0
-27.145,31.2588,304.6,2013-05-09,844,D,0
-26.0185,31.229,311.2,2013-05-09,844,D,0
-27.1318,31.2658,311.0,2013-05-09,844,D,0
-26.0188,31.2348,309.8,2013-05-09,844,D,0
-27.1449,31.2649,312.1,2013-05-09,1127,D,0
