latitude,longitude,brightness,acq_date,acq_time,daynight,type
42.8175,25.1887,326.3,2014-01-08,1121,D,0
42.3157,24.2928,300.3,2014-01-08,1121,D,0
42.7159,24.1766,305.3,2014-01-08,1121,D,2
43.3271,26.2077,302.9,2014-01-08,1121,D,0
42.7139,24.164,309.0,2014-01-08,1121,D,2
42.13,27.0945,302.3,2014-01-10,1108,D,0
43.0487,24.8484,303.6,2014-01-10,1109,D,0
43.0513,24.8631,302.5,2014-01-10,1109,D,0
42.2188,24.2295,301.2,2014-01-11,1151,D,0
42.213,24.5349,300.4,2014-01-11,1151,D,0
42.151,24.8536,302.8,2014-01-11,1151,D,0
42.2738,24.5832,308.4,2014-01-11,1151,D,0
42.2515,24.5869,312.0,2014-01-11,1151,D,0
42.7597,27.1014,303.7,2014-01-11,1151,D,0
42.7124,24.1656,304.3,2014-01-11,1151,D,2
42.1503,24.8467,303.0,2014-01-11,1151,D,0
42.2137,24.5402,304.2,2014-01-11,1151,D,0
43.3417,25.3989,303.9,2014-01-11,1152,D,0
43.3062,24.8345,331.8,2014-01-11,1152,D,0
43.308,24.8553,302.7,2014-01-11,1152,D,0
42.8794,24.1689,303.5,2014-01-13,957,D,0
43.4415,23.5067,302.1,2014-01-13,1139,D,0
42.3139,25.8005,301.3,2014-01-13,1139,D,0
43.3456,25.0227,300.4,2014-01-13,1139,D,0
43.0532,24.6115,301.9,2014-01-13,1139,D,0
43.0561,24.6039,302.2,2014-01-13,1139,D,0
42.8714,24.1726,305.6,2014-01-13,1139,D,0
42.8807,24.17,342.2,2014-01-13,1139,D,0
43.1243,24.431,303.0,2014-01-13,1139,D,0
42.8791,24.1561,312.8,2014-01-13,1139,D,0
43.2162,24.6081,305.4,2014-01-13,1139,D,0
43.1082,24.3772,309.7,2014-01-13,1139,D,0
42.1928,24.2716,306.2,2014-01-13,1139,D,0
42.2593,24.5898,313.4,2014-01-13,1139,D,0
42.2609,24.6035,334.0,2014-01-13,1139,D,0
43.6593,24.7351,330.8,2014-01-13,1139,D,0
42.2277,24.5686,307.7,2014-01-13,1139,D,0
42.2292,24.5823,327.8,2014-01-13,1139,D,0
41.9478,24.9774,300.8,2014-01-13,1139,D,0
43.5017,25.2412,310.9,2014-01-13,1139,D,0
43.5033,25.2566,307.2,2014-01-13,1139,D,0
43.0416,24.5129,315.3,2014-01-13,1139,D,0
43.4431,23.5199,308.4,2014-01-13,1139,D,0
43.0449,24.5052,316.1,2014-01-13,1139,D,0
42.2181,24.4868,300.8,2014-01-13,1139,D,0
42.2229,24.5276,300.8,2014-01-13,1139,D,0
43.3813,24.7976,300.2,2014-01-13,1139,D,0
43.1177,24.3752,302.8,2014-01-13,1139,D,0
42.1985,25.0227,301.7,2014-01-13,1139,D,0
42.7122,24.1743,302.3,2014-01-17,1115,D,2
42.8257,26.5519,303.5,2014-01-17,1115,D,0
42.7114,24.1696,301.9,2014-01-20,1145,D,2
42.8756,24.1896,300.0,2014-01-20,1145,D,0
42.8135,24.7851,313.5,2014-01-20,1145,D,0
42.2404,25.4999,303.4,2014-01-22,1133,D,0
42.2411,24.3509,310.5,2014-01-22,1133,D,0
42.4157,25.9621,328.5,2014-01-22,1133,D,0
42.7129,24.1716,303.6,2014-02-07,1133,D,2
42.7112,24.1722,304.2,2014-02-09,1121,D,2
42.3073,24.607,303.3,2014-02-09,1121,D,0
42.6953,27.6786,300.9,2014-02-11,1109,D,0
41.4285,23.409,311.1,2014-02-11,1109,D,0
41.4394,23.4053,324.3,2014-02-11,1109,D,0
42.7137,24.1779,300.4,2014-02-13,915,D,2
42.8595,24.3621,305.3,2014-02-14,1140,D,0
42.7127,24.1746,308.5,2014-02-15,902,D,2
42.1336,24.4867,301.3,2014-02-15,902,D,0
42.1353,24.4704,300.1,2014-02-15,902,D,0
42.4757,22.8676,300.6,2014-02-15,1222,D,0
42.4219,23.8218,300.7,2014-02-16,945,D,0
42.718,24.1715,303.8,2014-02-16,945,D,2
43.2035,24.2952,304.0,2014-02-16,1127,D,0
42.9903,24.2902,308.9,2014-02-16,1127,D,0
43.0062,24.336,304.2,2014-02-16,1127,D,0
42.999,24.3505,305.6,2014-02-16,1127,D,0
42.9973,24.3384,307.6,2014-02-16,1127,D,0
42.1568,24.9838,305.5,2014-02-16,1127,D,0
42.1657,24.9815,307.2,2014-02-16,1127,D,0
43.1054,24.7745,307.9,2014-02-16,1127,D,0
42.354,24.6844,340.5,2014-02-16,1127,D,0
42.1818,24.2657,355.1,2014-02-16,1127,D,0
42.3523,24.6724,324.7,2014-02-16,1127,D,0
43.098,25.5321,304.2,2014-02-16,1127,D,0
42.9997,24.6835,315.6,2014-02-16,1127,D,0
42.2313,24.1585,313.3,2014-02-16,1127,D,0
42.2401,24.1561,304.9,2014-02-16,1127,D,0
42.7136,24.1719,309.2,2014-02-16,1127,D,2
43.1317,24.8306,308.1,2014-02-16,1127,D,0
43.655,22.7433,306.9,2014-02-16,1128,D,0
42.9065,23.7569,302.3,2014-02-17,850,D,0
42.7865,23.376,309.5,2014-02-17,1210,D,0
41.6312,24.0494,302.9,2014-02-17,1210,D,0
42.7774,23.3723,310.8,2014-02-17,1210,D,0
42.7108,24.1669,306.7,2014-02-18,933,D,2
42.72,24.1696,302.8,2014-02-18,933,D,2
42.9594,24.2353,300.1,2014-02-18,933,D,0
43.3921,24.4884,302.3,2014-02-18,933,D,0
42.7086,24.1799,301.2,2014-02-18,933,D,2
42.9875,24.3897,312.5,2014-02-18,933,D,0
43.0403,24.3648,306.4,2014-02-18,933,D,0
42.5047,25.4682,305.6,2014-02-18,933,D,0
43.3082,25.0311,300.3,2014-02-18,933,D,0
42.5044,25.4615,315.3,2014-02-18,933,D,0
43.1546,24.2974,305.8,2014-02-18,933,D,0
42.9898,24.3765,306.3,2014-02-18,933,D,0
42.8453,26.3709,324.9,2014-02-18,1115,D,0
41.4153,23.2425,306.6,2014-02-18,1115,D,0
42.6494,26.8504,304.5,2014-02-18,1115,D,0
42.714,24.1618,310.7,2014-02-18,1115,D,0
42.7165,24.1759,308.3,2014-02-18,1115,D,2
42.584,25.4823,305.5,2014-02-18,1115,D,0
42.9273,24.5432,305.0,2014-02-18,1115,D,0
42.8433,26.3586,324.6,2014-02-18,1115,D,0
42.6225,23.8782,301.7,2014-02-19,1158,D,0
42.8877,24.2559,323.1,2014-02-19,1158,D,0
42.9532,24.2398,310.6,2014-02-19,1158,D,0
42.8147,22.4782,320.2,2014-02-19,1158,D,0
42.8165,22.4974,308.1,2014-02-19,1158,D,0
42.5766,27.1486,300.6,2014-02-20,921,D,0
42.5407,27.3027,303.2,2014-02-20,921,D,0
42.8185,26.3288,338.7,2014-02-20,1103,D,0
42.8157,26.3137,307.8,2014-02-20,1103,D,0
43.221,26.9007,301.0,2014-02-20,1103,D,0
42.8086,26.3317,301.4,2014-02-20,1103,D,0
42.3594,22.7102,305.6,2014-02-26,1204,D,0
42.7099,24.1754,306.8,2014-02-27,927,D,2
42.3402,25.9558,309.3,2014-02-27,1109,D,0
42.7631,23.3972,302.8,2014-02-27,1109,D,0
42.8501,24.3514,303.7,2014-02-27,1109,D,0
42.8589,23.1015,308.9,2014-02-27,1109,D,0
42.7654,23.3912,304.3,2014-02-27,1109,D,0
42.6723,23.3933,303.2,2014-02-27,1109,D,0
41.8992,25.5739,302.5,2014-02-27,1109,D,0
42.7119,24.1678,304.5,2014-02-27,1109,D,2
43.2339,27.5954,301.0,2014-03-03,902,D,0
43.9532,26.7454,303.9,2014-03-11,1133,D,0
43.9533,26.7524,308.7,2014-03-11,1133,D,0
42.7094,24.1751,300.2,2014-03-12,856,D,2
44.0265,27.0718,303.0,2014-03-13,938,D,0
43.8041,23.8235,322.4,2014-03-13,939,D,0
41.9787,22.9425,300.3,2014-03-13,939,D,0
42.6304,26.6381,301.8,2014-03-13,939,D,0
43.8016,23.8375,306.7,2014-03-13,939,D,0
42.7127,24.1713,305.5,2014-03-13,939,D,2
42.7085,24.1678,307.9,2014-03-13,1121,D,2
43.4763,25.6048,323.0,2014-03-13,1121,D,0
42.3151,24.6154,301.6,2014-03-13,1121,D,0
41.6156,23.745,302.7,2014-03-13,1121,D,0
43.8344,26.2383,309.1,2014-03-13,1121,D,0
43.8172,23.1061,307.2,2014-03-13,1121,D,0
42.6779,24.3888,301.6,2014-03-13,1121,D,0
43.1913,24.4646,304.4,2014-03-13,1121,D,0
42.3132,24.603,305.5,2014-03-13,1121,D,0
43.803,23.8184,303.8,2014-03-13,1121,D,0
42.6597,24.3881,300.0,2014-03-13,1121,D,0
43.8051,23.8311,305.7,2014-03-13,1121,D,0
43.7951,23.5365,301.7,2014-03-13,1121,D,0
41.6074,23.2055,306.0,2014-03-13,1121,D,0
42.2215,24.7254,303.0,2014-03-13,1121,D,0
43.3409,24.2369,304.1,2014-03-13,1121,D,0
43.8218,23.6046,302.4,2014-03-14,1021,D,0
43.1757,27.6522,303.5,2014-03-14,1204,D,0
42.7718,23.367,307.7,2014-03-14,1204,D,0
43.168,27.6436,305.6,2014-03-14,1204,D,0
43.174,27.6066,307.8,2014-03-14,1204,D,0
43.8362,26.6257,306.1,2014-03-15,926,D,0
43.787,23.831,312.3,2014-03-15,926,D,0
44.0141,26.4763,304.8,2014-03-15,926,D,0
43.1554,27.6295,305.7,2014-03-15,926,D,0
43.6958,24.6691,304.9,2014-03-15,926,D,0
43.6978,24.6568,316.2,2014-03-15,926,D,0
43.3177,26.1857,304.0,2014-03-15,926,D,0
44.0164,26.4628,314.4,2014-03-15,926,D,0
42.8479,26.927,301.9,2014-03-15,926,D,0
42.4431,26.0504,301.8,2014-03-15,927,D,0
42.716,24.1703,309.9,2014-03-15,927,D,2
43.1855,23.2678,304.9,2014-03-15,927,D,0
42.883,24.2298,321.9,2014-03-15,927,D,0
42.8849,24.2178,310.0,2014-03-15,927,D,0
42.5031,27.3327,306.7,2014-03-15,927,D,0
42.6283,24.711,309.5,2014-03-15,1109,D,0
44.0229,26.4691,371.4,2014-03-15,1109,D,0
42.4991,27.3339,305.1,2014-03-15,1109,D,0
43.7627,26.8157,312.6,2014-03-15,1109,D,0
42.7126,24.1662,309.4,2014-03-15,1109,D,2
42.8843,24.2396,318.3,2014-03-15,1109,D,0
44.0062,26.9958,306.9,2014-03-15,1109,D,0
44.0207,26.456,387.0,2014-03-15,1109,D,0
44.0138,26.472,340.5,2014-03-15,1109,D,0
42.8812,24.2228,322.6,2014-03-15,1109,D,0
43.3167,26.1397,309.8,2014-03-15,1109,D,0
43.3142,26.1826,323.4,2014-03-15,1109,D,0
43.3165,26.1959,323.3,2014-03-15,1109,D,0
43.0088,25.1998,312.4,2014-03-15,1109,D,0
43.9006,27.8672,311.1,2014-03-15,1109,D,0
43.9025,27.8796,318.2,2014-03-15,1109,D,0
43.1161,24.4786,310.0,2014-03-15,1109,D,0
43.0141,24.4875,305.1,2014-03-15,1109,D,0
43.2338,23.4121,308.9,2014-03-15,1109,D,0
44.1043,26.9729,317.0,2014-03-15,1109,D,0
44.1063,26.9856,309.5,2014-03-15,1109,D,0
42.208,25.6625,324.1,2014-03-15,1109,D,0
43.6528,26.5988,306.4,2014-03-15,1109,D,0
43.7451,24.0377,308.6,2014-03-16,1152,D,0
43.7468,24.0569,309.2,2014-03-16,1152,D,0
44.0482,26.7705,310.9,2014-03-17,914,D,0
43.2571,24.9085,303.6,2014-03-17,914,D,0
44.1032,26.773,310.6,2014-03-17,914,D,0
44.0464,26.7828,310.0,2014-03-17,914,D,0
42.2161,24.2865,307.8,2014-03-17,915,D,0
43.6091,25.0092,312.9,2014-03-17,1057,D,0
43.811,23.4922,304.9,2014-03-17,1057,D,0
43.4434,25.5183,303.3,2014-03-17,1057,D,0
43.6717,26.0008,304.6,2014-03-17,1057,D,0
43.0303,27.8693,316.5,2014-03-17,1057,D,0
43.0275,27.854,305.9,2014-03-17,1057,D,0
43.6445,24.4567,303.0,2014-03-17,2021,N,0
42.9696,24.3389,303.6,2014-03-18,33,N,0
42.0952,24.2276,306.0,2014-03-18,957,D,0
