latitude,longitude,brightness,acq_date,acq_time,daynight,type
-11.7742,43.3683,314.8,2014-01-07,732,D,0
-11.913,43.4469,310.0,2014-03-21,726,D,0
-11.776,43.3649,310.3,2014-04-29,732,D,0
-11.5722,43.336,312.6,2014-05-29,745,D,0
-11.571,43.3367,316.3,2014-06-21,1041,D,0
-11.7217,43.3841,317.7,2014-06-23,739,D,0
-11.4893,43.3079,328.0,2014-06-26,1059,D,0
-11.5052,43.3034,319.3,2014-06-30,745,D,0
-11.4524,43.3864,321.2,2014-06-30,745,D,0
-11.4505,43.3724,348.7,2014-06-30,745,D,0
-11.7307,43.3649,312.2,2014-06-30,1035,D,0
-11.7291,43.3765,312.7,2014-06-30,1035,D,0
-11.7153,43.3672,313.4,2014-07-14,1047,D,0
-11.5489,43.3312,327.9,2014-07-16,1035,D,0
-11.5734,43.3233,320.1,2014-07-30,1047,D,0
-11.5747,43.3142,333.0,2014-07-30,1047,D,0
-11.6127,43.3224,315.1,2014-08-03,1023,D,0
-11.7216,43.3804,310.2,2014-08-03,1023,D,0
-11.6101,43.3269,314.2,2014-08-03,1023,D,0
-11.6617,43.3849,318.2,2014-08-14,714,D,0
-11.7405,43.3489,331.1,2014-08-18,1118,D,0
-11.5934,43.3538,328.6,2014-08-19,732,D,0
-11.7504,43.4218,331.4,2014-08-19,732,D,0
-11.6323,43.3339,322.8,2014-08-19,1023,D,0
-11.6301,43.3519,320.3,2014-08-19,1023,D,0
-11.6371,43.327,312.1,2014-08-26,739,D,0
-11.7713,43.3639,314.0,2014-08-27,1111,D,0
-11.5333,43.3538,316.2,2014-08-27,1111,D,0
-11.5768,43.344,310.6,2014-09-04,1023,D,0
-11.6424,43.3001,332.0,2014-09-09,1041,D,0
-11.4397,43.3711,319.2,2014-09-09,1041,D,0
-11.7286,43.3364,312.0,2014-09-27,739,D,0
-11.918,43.4746,320.0,2014-09-30,1059,D,0
-11.5333,43.3682,320.5,2014-10-06,1022,D,0
-11.4963,43.2925,322.4,2014-10-08,720,D,0
-11.573,43.3534,323.5,2014-10-15,726,D,0
-11.7295,43.3258,315.8,2014-10-18,1047,D,0
-11.7009,43.2881,305.4,2014-10-22,1948,N,0
-11.7413,43.3457,339.1,2014-11-03,757,D,0
-11.7547,43.3499,350.6,2014-11-03,1047,D,0
-11.5501,43.3786,320.8,2014-11-17,1059,D,0
-11.8921,43.4163,310.9,2014-12-03,1059,D,0
