latitude,longitude,brightness,acq_date,acq_time,daynight,type
66.9964,-50.4465,309.4,2014-05-31,1525,D,0
66.8243,-50.7649,303.0,2014-05-31,1525,D,0
67.2953,-51.3894,308.6,2014-06-11,1507,D,0
63.5733,-50.2915,303.5,2014-07-11,1519,D,0
66.9964,-50.4396,310.9,2014-07-11,1519,D,0
63.6411,-49.9964,303.7,2014-07-24,1448,D,0
71.9827,-52.3809,300.3,2014-07-25,1529,D,0
66.6866,-51.3228,306.7,2014-07-25,1547,D,0
66.2266,-49.8999,301.9,2014-08-04,1430,D,0
63.5747,-50.3,303.4,2014-08-07,1501,D,0
60.489,-44.1522,303.0,2014-08-15,1413,D,0
66.3172,-35.9072,302.2,2014-08-17,1359,D,0
66.5838,-36.3455,302.3,2014-08-17,1359,D,0
