latitude,longitude,brightness,acq_date,acq_time,daynight,type
3.4237,38.4829,342.1,2014-01-01,1104,D,0
3.425,38.4921,334.7,2014-01-01,1104,D,0
1.8208,35.5151,348.2,2014-01-03,753,D,0
1.8437,35.5054,341.9,2014-01-03,753,D,0
1.8505,35.4996,323.0,2014-01-03,753,D,0
1.8382,35.5108,334.2,2014-01-03,753,D,0
1.8487,35.5122,330.0,2014-01-03,753,D,0
1.8189,35.5277,323.0,2014-01-03,753,D,0
-1.7465,41.2118,322.6,2014-01-03,1050,D,0
1.8377,35.4965,336.5,2014-01-03,1051,D,0
4.062,34.3793,309.7,2014-01-03,2017,N,0
-0.8728,34.5957,315.7,2014-01-04,837,D,0
-0.181,36.0577,315.8,2014-01-04,837,D,0
-0.8692,34.5909,312.5,2014-01-04,837,D,0
-0.1762,36.0358,322.3,2014-01-04,837,D,0
-0.177,36.0303,316.5,2014-01-04,837,D,0
-2.0874,40.8736,318.6,2014-01-05,1038,D,0
-2.0892,40.8609,324.6,2014-01-05,1038,D,0
1.6461,36.2725,352.2,2014-01-05,1039,D,0
1.6436,36.2777,350.4,2014-01-05,1039,D,0
3.8003,35.08,328.7,2014-01-06,823,D,0
3.802,35.0688,342.6,2014-01-06,823,D,0
3.7903,35.0786,326.3,2014-01-06,823,D,0
0.8063,35.328,314.7,2014-01-06,824,D,0
0.9903,34.857,319.4,2014-01-06,824,D,0
2.9336,34.857,333.0,2014-01-06,824,D,0
2.061,36.1491,338.7,2014-01-06,824,D,0
2.0608,36.1427,334.4,2014-01-06,824,D,0
2.0588,36.1568,332.7,2014-01-06,824,D,0
3.799,35.0689,333.5,2014-01-06,1122,D,0
3.7798,35.0715,350.1,2014-01-06,1122,D,0
3.7909,35.0806,337.5,2014-01-06,1122,D,0
3.7976,35.059,349.5,2014-01-06,1122,D,0
3.7813,35.0824,340.6,2014-01-06,1122,D,0
3.7895,35.0705,331.7,2014-01-06,1122,D,0
2.9299,34.8466,335.5,2014-01-06,1122,D,0
2.9313,34.8563,329.8,2014-01-06,1122,D,0
4.7733,35.2487,330.3,2014-01-06,1123,D,0
3.8098,35.0905,303.9,2014-01-06,2342,N,0
1.1174,38.8755,321.3,2014-01-07,1951,N,0
1.1085,38.8767,316.3,2014-01-07,1951,N,0
1.1187,38.8844,315.6,2014-01-07,1951,N,0
1.1189,38.8881,307.8,2014-01-07,2247,N,0
-0.1421,35.2331,323.8,2014-01-08,812,D,0
1.1126,38.8962,326.2,2014-01-08,812,D,0
1.1146,38.8824,344.7,2014-01-08,812,D,0
1.1113,38.8901,334.9,2014-01-08,812,D,0
1.1133,38.8764,334.4,2014-01-08,812,D,0
0.4999,35.1274,315.1,2014-01-08,812,D,0
-0.1912,35.8222,320.5,2014-01-08,812,D,0
1.1277,38.8702,326.0,2014-01-08,812,D,0
-3.0429,39.9191,341.6,2014-01-08,1108,D,0
-3.0414,39.9299,325.7,2014-01-08,1108,D,0
-2.4313,40.6156,328.4,2014-01-08,1108,D,0
0.492,35.394,373.7,2014-01-08,1109,D,0
0.4933,35.4032,351.3,2014-01-08,1109,D,0
-1.3699,36.9183,326.7,2014-01-08,1109,D,0
4.5114,34.354,328.8,2014-01-08,1110,D,0
3.884,34.1285,302.2,2014-01-08,2035,N,0
3.8834,34.1343,303.6,2014-01-08,2035,N,0
3.8804,34.1398,301.2,2014-01-08,2329,N,0
4.4988,34.3777,313.3,2014-01-08,2329,N,0
4.468,34.339,328.6,2014-01-09,854,D,0
4.4772,34.3104,319.0,2014-01-09,854,D,0
0.3943,34.5278,329.0,2014-01-10,800,D,0
-0.1,35.1577,315.2,2014-01-10,800,D,0
1.1407,34.7995,317.5,2014-01-10,800,D,0
0.6162,35.2298,315.2,2014-01-10,800,D,0
-0.0947,35.1542,317.4,2014-01-10,800,D,0
-3.517,37.7589,328.8,2014-01-10,801,D,0
-0.869,34.4749,318.1,2014-01-10,1057,D,0
-0.0817,35.0861,324.6,2014-01-10,1057,D,0
-0.0817,35.0794,325.8,2014-01-10,1057,D,0
4.8253,35.2275,330.3,2014-01-10,1058,D,0
2.9671,34.5723,333.5,2014-01-10,1058,D,0
4.8236,35.2159,363.0,2014-01-10,1058,D,0
4.5048,34.3939,308.5,2014-01-10,2317,N,0
1.7087,35.9603,323.4,2014-01-11,842,D,0
0.5391,36.2496,318.7,2014-01-12,748,D,0
-2.3797,40.7899,397.3,2014-01-12,1044,D,0
-2.3894,40.7912,326.6,2014-01-12,1044,D,0
-2.3812,40.7794,346.2,2014-01-12,1044,D,0
2.9455,36.0905,340.1,2014-01-12,1045,D,0
1.8881,35.8458,330.7,2014-01-12,1045,D,0
2.946,36.0853,337.1,2014-01-12,1045,D,0
-3.536,37.7572,320.3,2014-01-12,2008,N,0
-3.5374,37.7473,328.2,2014-01-12,2008,N,0
0.5241,36.2433,309.5,2014-01-12,2009,N,0
0.5254,36.2524,308.1,2014-01-12,2009,N,0
0.5243,36.2492,302.2,2014-01-12,2306,N,0
0.3937,34.518,321.4,2014-01-13,830,D,0
-0.4907,36.1089,320.1,2014-01-13,1127,D,0
0.5874,34.1463,324.3,2014-01-13,1127,D,0
0.8895,35.1788,324.6,2014-01-13,1127,D,0
-0.0699,34.8274,324.1,2014-01-13,1127,D,0
1.16,34.8501,328.4,2014-01-13,1128,D,0
-0.2144,36.0173,313.8,2014-01-14,735,D,0
-0.2108,35.993,317.9,2014-01-14,735,D,0
-0.2074,36.0004,322.4,2014-01-14,735,D,0
-2.0959,40.6533,319.3,2014-01-14,736,D,0
-2.1143,40.8402,325.4,2014-01-14,736,D,0
-2.1135,40.8372,317.7,2014-01-14,1031,D,0
3.7709,34.2574,332.6,2014-01-15,817,D,0
3.7876,34.269,327.7,2014-01-15,817,D,0
1.9589,35.7123,321.8,2014-01-15,818,D,0
0.564,35.1877,321.1,2014-01-15,818,D,0
1.9604,35.7021,324.6,2014-01-15,818,D,0
1.0158,34.9501,319.8,2014-01-15,818,D,0
1.9508,35.7008,339.8,2014-01-15,818,D,0
1.9492,35.7109,325.9,2014-01-15,818,D,0
-1.8206,41.0914,320.0,2014-01-15,1114,D,0
1.9575,35.7088,345.4,2014-01-15,1115,D,0
-0.091,34.908,319.3,2014-01-15,1115,D,0
1.9526,35.8034,333.4,2014-01-15,1115,D,0
1.9485,35.7101,351.1,2014-01-15,1115,D,0
1.9472,35.7011,344.5,2014-01-15,1115,D,0
1.9562,35.6998,332.8,2014-01-15,1115,D,0
-0.2758,35.6048,316.0,2014-01-15,1115,D,0
-0.0493,35.7095,317.1,2014-01-15,1115,D,0
3.3758,38.5177,340.0,2014-01-15,1116,D,0
3.9076,34.2185,330.2,2014-01-15,1116,D,0
3.9064,34.2096,328.9,2014-01-15,1116,D,0
3.3705,38.5117,337.1,2014-01-15,1116,D,0
1.9269,35.6964,313.6,2014-01-15,2040,N,0
1.9373,35.6884,312.4,2014-01-15,2040,N,0
1.9488,35.7237,331.3,2014-01-17,805,D,0
1.9475,35.7327,325.8,2014-01-17,805,D,0
1.9385,35.7313,324.6,2014-01-17,805,D,0
0.709,35.3235,319.9,2014-01-17,806,D,0
0.5424,35.2045,319.5,2014-01-17,806,D,0
0.8931,34.8268,320.5,2014-01-17,806,D,0
-4.4277,39.4786,335.1,2014-01-17,1101,D,0
-1.0835,37.192,352.0,2014-01-17,1102,D,0
-1.0821,37.2013,368.1,2014-01-17,1102,D,0
-0.4689,36.3499,328.5,2014-01-17,1103,D,0
3.3515,37.6702,302.7,2014-01-17,2323,N,0
-2.0513,40.578,313.4,2014-01-18,711,D,0
1.9392,35.7431,322.4,2014-01-19,753,D,0
3.1178,34.5665,323.8,2014-01-19,753,D,0
3.1156,34.5817,329.9,2014-01-19,753,D,0
-4.5513,39.3151,324.4,2014-01-19,1049,D,0
-4.6535,39.1641,328.9,2014-01-19,1049,D,0
-3.0397,39.7452,323.2,2014-01-19,1050,D,0
-2.119,40.8439,323.5,2014-01-19,1050,D,0
-3.0383,39.7553,325.0,2014-01-19,1050,D,0
-2.128,40.8452,326.5,2014-01-19,1050,D,0
3.1182,34.5717,327.3,2014-01-19,1051,D,0
4.5294,35.8663,342.8,2014-01-19,1052,D,0
4.6214,34.8791,337.6,2014-01-19,1052,D,0
1.9078,35.7647,318.9,2014-01-20,836,D,0
3.9917,34.1865,321.7,2014-01-20,836,D,0
-0.1835,35.9639,321.8,2014-01-20,1133,D,0
-0.1897,35.9577,326.0,2014-01-20,1133,D,0
3.2831,38.8605,325.0,2014-01-21,740,D,0
3.2895,38.8544,329.5,2014-01-21,740,D,0
-2.4802,40.5858,315.9,2014-01-21,1038,D,0
-2.198,40.8964,322.6,2014-01-21,1038,D,0
0.4987,35.3709,321.4,2014-01-21,1039,D,0
0.498,35.3956,337.3,2014-01-21,1039,D,0
0.5136,35.3932,320.0,2014-01-21,1039,D,0
0.5032,35.4024,340.3,2014-01-21,1039,D,0
1.3735,36.5963,302.1,2014-01-21,2003,N,0
1.8732,35.7743,301.0,2014-01-21,2003,N,0
1.3747,36.6051,318.0,2014-01-21,2003,N,0
4.4449,34.324,312.8,2014-01-21,2004,N,0
4.4371,34.335,311.1,2014-01-21,2004,N,0
1.3825,36.6033,311.3,2014-01-21,2259,N,0
4.419,34.3182,326.7,2014-01-22,823,D,0
3.5796,34.4516,340.1,2014-01-22,823,D,0
3.5892,34.4533,330.3,2014-01-22,823,D,0
-0.0537,35.154,313.3,2014-01-22,824,D,0
0.6681,35.3931,316.5,2014-01-22,824,D,0
-0.1374,35.2285,328.2,2014-01-22,1121,D,0
4.4155,34.3242,366.4,2014-01-22,1122,D,0
4.4062,34.3255,338.0,2014-01-22,1122,D,0
4.4142,34.3146,337.0,2014-01-22,1122,D,0
1.9024,35.7619,304.3,2014-01-22,2046,N,0
1.9022,35.7669,302.7,2014-01-22,2046,N,0
1.8972,35.7872,305.6,2014-01-23,1951,N,0
1.8872,35.7903,308.7,2014-01-23,1951,N,0
1.8943,35.792,333.8,2014-01-24,811,D,0
3.7581,34.8423,326.7,2014-01-24,811,D,0
-0.0645,34.8348,327.8,2014-01-24,812,D,0
-0.0957,35.2345,322.2,2014-01-24,812,D,0
0.9591,35.2651,323.7,2014-01-24,812,D,0
0.7965,35.3675,337.7,2014-01-24,812,D,0
-0.1864,35.9675,318.6,2014-01-24,812,D,0
1.1577,34.8532,320.5,2014-01-24,812,D,0
-0.0632,34.8258,321.9,2014-01-24,812,D,0
-2.0613,36.459,330.0,2014-01-24,813,D,0
-3.5356,37.7251,334.9,2014-01-24,1108,D,0
-4.3976,39.5236,320.9,2014-01-24,1108,D,0
-3.5343,37.734,342.0,2014-01-24,1108,D,0
-3.5253,37.7327,340.3,2014-01-24,1108,D,0
-2.4667,40.3546,321.7,2014-01-24,1108,D,0
-0.0651,34.8312,343.0,2014-01-24,1109,D,0
-0.5591,36.7233,314.8,2014-01-24,1109,D,0
-0.5603,36.7145,332.2,2014-01-24,1109,D,0
0.4535,37.9454,333.0,2014-01-24,1109,D,0
-0.1906,35.9583,327.6,2014-01-24,1109,D,0
0.9522,35.2632,332.4,2014-01-24,1109,D,0
0.9606,34.8752,327.7,2014-01-24,1109,D,0
0.2938,35.3542,319.6,2014-01-24,1109,D,0
-0.2458,35.8929,323.9,2014-01-24,1109,D,0
-0.2548,35.8942,320.0,2014-01-24,1109,D,0
-0.0664,34.8215,330.4,2014-01-24,1109,D,0
3.0903,34.8339,340.7,2014-01-24,1110,D,0
3.4212,34.4478,337.4,2014-01-24,1110,D,0
2.3982,35.0771,330.7,2014-01-24,1110,D,0
3.0917,34.8432,330.1,2014-01-24,1110,D,0
1.8758,35.7929,331.1,2014-01-24,1110,D,0
1.9108,35.7985,306.7,2014-01-25,1939,N,0
